id,dataset_type,class,duration,src_bytes,dst_bytes,src_pkts,dst_pkts,src_win_byt,dst_win_byt,load_s,down_up_ratio,total_bytes,total_pkts,src_mean_pkt_size,dst_mean_pkt_size,pkts_per_sec,win_diff,byte_ratio,label
1,nb15,aggregated,1241086.6159,8773.6602,14710.7032,20.1359,18.9087,123.1219,120.5563,8745014.0483,0.5253,23484.3634,39.0446,138.441,124.0607,151886.543,2.5657,2.9684,0.6295
2,nb15,Generic,61156.85,446.289,1319.714,2.5768,1.1599,4.3575,4.3575,12311534.8703,0.0266,1766.003,3.7367,61.9568,7.6259,318731.3166,0.0,0.2919,1.0
3,nb15,Fuzzers,2673937.5262,6764.3026,518.7721,13.7648,6.0957,162.7431,162.7431,15962032.6045,0.4275,7283.0748,19.8605,238.8056,38.7534,106108.7357,0.0,0.3133,1.0
4,nb15,Normal,1015406.7355,4092.4444,26138.1974,27.5632,33.0279,183.5943,176.6758,3944601.5483,0.8241,30230.6417,60.5911,145.4256,221.44,67932.9617,6.9185,3.9613,0.0
5,nb15,Reconnaissance,1005045.9252,751.3813,1797.0892,7.0346,4.9838,126.9804,126.9804,8811731.9459,0.3818,2548.4705,12.0184,79.2363,24.149,151183.9019,0.0,0.3687,1.0
6,nb15,Exploits,2122901.7682,29655.0041,17748.0419,33.962,23.3759,157.1693,157.1579,7653077.8113,0.7707,47403.046,57.3379,188.6824,180.2228,104815.533,0.0115,7.077,1.0
7,nb15,DoS,2448794.8302,18360.7938,21747.1337,24.1173,21.2523,52.0198,52.0198,15421168.9425,0.2203,40107.9275,45.3697,139.0999,48.4518,225326.1359,0.0,1.9314,1.0
8,sat20,aggregated,3947447.3074,708.835,0.13,3.3788,0.1496,2772.8151,-0.5521,166907519.2343,0.0454,708.965,3.5284,195.1696,0.0176,145797852236.8679,2773.3672,0.0003,1.0
9,sat20,UDP_DDoS,86360.1342,1349.047,0.2475,3.7109,0.0014,2.8601,-0.2912,317580064.6726,0.0002,1349.2945,3.7123,371.3772,0.0335,43567553758.9681,3.1513,0.0006,1.0
10,sat20,Syn_DDoS,8220373.2393,0.3353,0.0,3.0114,0.3136,5838.2244,-0.8408,163646.9103,0.0955,0.3353,3.325,0.167,0.0,258932436825.3186,5839.0652,0.0,1.0
11,ter20,aggregated,1093163.8047,1334.2502,0.7297,2.2317,0.1534,1355.6594,-0.9297,945662412.2691,0.0545,1334.98,2.3851,642.4176,0.3089,90174536420.0844,1356.589,94.3547,1.0
12,ter20,DDoS,13391.5263,1317.8421,0.0002,2.0049,0.0,-0.898,-1.0,1111515956.2702,0.0,1317.8423,2.0049,657.6524,0.0001,68423028007.1785,0.1019,209.4533,1.0
13,ter20,UDP_DDoS,5278595.1501,0.0832,0.0,2.6765,0.2919,5837.5035,-0.8267,79202.1968,0.091,0.0832,2.9684,0.0416,0.0,236740430894.0078,5838.3302,0.0,1.0
14,ter20,Botnet,369838.9882,2327.5161,0.0,2.2912,0.0,0.6237,-1.0,1400215015.9438,0.0,2327.5161,2.2912,1088.34,0.0,62474930668.9779,1.6237,0.0,1.0
15,ter20,Syn_DDoS,3203986.7109,15.172,5.9087,2.5142,0.9848,5838.8849,-0.5831,4945774.8996,0.361,21.0808,3.499,6.0433,2.5015,111628131800.5025,5839.468,0.3865,1.0
16,injection,aggregated,1242807.9211,8760.5365,14685.921,20.1053,18.8762,126.7577,120.3164,10072728.1421,0.5244,23446.4576,38.9814,139.1688,123.8322,286550031.6006,6.4413,2.9633,0.6301
17,injection,Generic,61184.7355,446.4825,1320.5973,2.577,1.1605,4.3561,4.3561,12309906.904,0.0266,1767.0798,3.7374,61.9587,7.6301,318704.509,0.0,0.2921,1.0
18,injection,Normal,1015406.7355,4092.4444,26138.1974,27.5632,33.0279,183.5943,176.6758,3944601.5483,0.8241,30230.6417,60.5911,145.4256,221.44,67932.9617,6.9185,3.9613,0.0
19,injection,DoS,2448285.6161,18377.3682,21767.986,24.1351,21.2714,52.0239,52.0239,15419560.0114,0.2203,40145.3543,45.4065,139.1228,48.4541,225305.9958,0.0,1.9327,1.0
20,injection,Exploits,2124021.6988,29671.336,17757.7492,33.9775,23.3863,157.1823,157.1708,7647250.9256,0.7709,47429.0852,57.3638,188.7117,180.2491,104759.2408,0.0115,7.08,1.0
21,injection,UDP_DDoS,1305313.527,1073.3919,0.0,3.5676,0.0541,1340.8514,-0.973,214297008.6896,0.0135,1073.3919,3.6216,285.3071,0.0,121622370413.1654,1341.8243,0.0,1.0
22,injection,Reconnaissance,1005351.1863,751.3395,1798.21,7.0341,4.9836,126.9436,126.9436,8815192.7257,0.3817,2549.5495,12.0177,79.2259,24.144,151230.0497,0.0,0.3688,1.0
