id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
10,2026-07-12 12:49:15,if_model_nb15_aggregate,nb15,Normal,93000,0,16601,1999,0,None,None,0.0,None,None,None,None,None,0.8925,0.1075
20,2026-07-12 12:54:22,if_model_nb15_aggregate,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,179,16601,1999,1681,0.8201,0.0822,0.0962,0.0887,0.4814,0.0877,0.0962,0.9038,0.8925,0.1075
30,2026-07-12 12:59:26,if_model_nb15_aggregate,nb15,"DoS, Normal",102300,204,16601,1999,1656,0.8214,0.0926,0.1097,0.1004,0.5655,0.1073,0.1097,0.8903,0.8925,0.1075
40,2026-07-12 13:04:35,if_model_nb15_aggregate,nb15,"Exploits, Normal",102300,320,16601,1999,1540,0.827,0.138,0.172,0.1531,0.52,0.1075,0.172,0.828,0.8925,0.1075
50,2026-07-12 13:09:42,if_model_nb15_aggregate,nb15,"Fuzzers, Normal",102300,283,16601,1999,1577,0.8252,0.124,0.1522,0.1366,0.4132,0.0884,0.1522,0.8478,0.8925,0.1075
60,2026-07-12 13:14:49,if_model_nb15_aggregate,nb15,"Generic, Normal",102300,11,16601,1999,1849,0.8119,0.0055,0.0059,0.0057,0.48,0.0902,0.0059,0.9941,0.8925,0.1075
70,2026-07-12 13:19:57,if_model_nb15_aggregate,nb15,"Reconnaissance, Normal",102300,64,16601,1999,1796,0.8145,0.031,0.0344,0.0326,0.2998,0.063,0.0344,0.9656,0.8925,0.1075
80,2026-07-12 13:24:58,if_model_nb15_aggregate,injection,"DDoS, Normal, Generic, UDP_DDoS, Exploits, Fuzzers, DoS, Reconnaissance, Botnet, Syn_DDoS",102300,621,16601,1999,1239,0.8417,0.237,0.3339,0.2772,0.629,0.1777,0.3339,0.6661,0.8925,0.1075
90,2026-07-12 13:29:55,if_model_nb15_aggregate,smote,"Reconnaissance_Smote, Normal, Exploits_Smote, Generic_Smote, Fuzzers_Smote, DoS_Smote",102300,586,16601,1999,1274,0.84,0.2267,0.3151,0.2637,0.6817,0.1646,0.3151,0.6849,0.8925,0.1075
100,2026-07-12 13:34:51,if_model_nb15_aggregate,nb15_stin,"UDP_DDoS, Normal, Botnet, Syn_DDoS, DDoS",102300,1542,16601,1999,318,0.8868,0.4355,0.829,0.571,0.9321,0.4716,0.829,0.171,0.8925,0.1075
110,2026-07-12 13:39:47,if_model_nb15_aggregate,nb15_sat20,"UDP_DDoS, Normal, Syn_DDoS",102300,1291,16601,1999,569,0.8745,0.3924,0.6941,0.5014,0.9101,0.4149,0.6941,0.3059,0.8925,0.1075
120,2026-07-12 13:44:48,if_model_nb15_aggregate,nb15_ter20,"UDP_DDoS, Normal, DDoS, Botnet, Syn_DDoS",102300,1691,16601,1999,169,0.894,0.4583,0.9091,0.6094,0.9472,0.5325,0.9091,0.0909,0.8925,0.1075
130,2026-07-12 13:49:53,if_model_nb15_aggregate,nb15_sat20,"Syn_DDoS, Normal",102300,1860,16601,1999,0,0.9023,0.482,1.0,0.6505,0.9508,0.5581,1.0,0.0,0.8925,0.1075
140,2026-07-12 13:54:54,if_model_nb15_aggregate,nb15_sat20,"UDP_DDoS, Normal",102300,902,16601,1999,958,0.8555,0.3109,0.4849,0.3789,0.8828,0.3738,0.4849,0.5151,0.8925,0.1075
150,2026-07-12 13:59:55,if_model_nb15_aggregate,nb15_ter20,"Botnet, Normal",102300,1590,16601,1999,270,0.8891,0.443,0.8548,0.5836,0.9504,0.5723,0.8548,0.1452,0.8925,0.1075
160,2026-07-12 14:05:01,if_model_nb15_aggregate,nb15_ter20,"DDoS, Normal",102300,1671,16601,1999,189,0.8931,0.4553,0.8984,0.6043,0.9463,0.5637,0.8984,0.1016,0.8925,0.1075
170,2026-07-12 14:10:09,if_model_nb15_aggregate,nb15_ter20,"Syn_DDoS, Normal",102300,1860,16601,1999,0,0.9023,0.482,1.0,0.6505,0.9371,0.4887,1.0,0.0,0.8925,0.1075
180,2026-07-12 14:15:15,if_model_nb15_aggregate,nb15_ter20,"UDP_DDoS, Normal",102300,1858,16601,1999,2,0.9022,0.4817,0.9989,0.65,0.9503,0.5571,0.9989,0.0011,0.8925,0.1075
