id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
5,2026-07-06 16:53:37,model_generic,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,1058,18595,5,803,0.9605,0.9953,0.5685,0.7237,0.8862,0.7875,0.5685,0.4315,0.9997,0.0003
11,2026-07-06 16:56:57,model_generic,nb15,"DoS, Normal",102300,1256,18595,5,605,0.9702,0.996,0.6749,0.8046,0.9551,0.9095,0.6749,0.3251,0.9997,0.0003
17,2026-07-06 17:00:19,model_generic,nb15,"Exploits, Normal",102300,706,18595,5,1154,0.9434,0.993,0.3796,0.5492,0.9198,0.8388,0.3796,0.6204,0.9997,0.0003
23,2026-07-06 17:03:36,model_generic,nb15,"Fuzzers, Normal",102300,207,18595,5,1654,0.9189,0.9764,0.1112,0.1997,0.6376,0.3054,0.1112,0.8888,0.9997,0.0003
29,2026-07-06 17:06:51,model_generic,nb15,"Generic, Normal",102300,1838,18595,5,23,0.9986,0.9973,0.9876,0.9924,0.998,0.9957,0.9876,0.0124,0.9997,0.0003
35,2026-07-06 17:10:05,model_generic,nb15,"Reconnaissance, Normal",102300,243,18595,5,1618,0.9207,0.9798,0.1306,0.2304,0.6785,0.3946,0.1306,0.8694,0.9997,0.0003
41,2026-07-06 17:13:15,model_generic,hybrid,"Syn_DDoS, Normal, DDoS, UDP_DDoS, Botnet",102300,47,18595,5,1814,0.9111,0.9038,0.0253,0.0491,0.6615,0.3507,0.0253,0.9747,0.9997,0.0003
47,2026-07-06 17:16:27,model_generic,nb15_sat20,"UDP_DDoS, Normal, Syn_DDoS",102300,28,18595,5,1833,0.9102,0.8485,0.015,0.0296,0.7195,0.4766,0.015,0.985,0.9997,0.0003
53,2026-07-06 17:19:39,model_generic,nb15_ter20,"UDP_DDoS, Normal, DDoS, Botnet, Syn_DDoS",102300,81,18595,5,1780,0.9128,0.9419,0.0435,0.0832,0.6197,0.2663,0.0435,0.9565,0.9997,0.0003
59,2026-07-06 17:22:49,model_generic,nb15_sat20,"Syn_DDoS, Normal",102300,0,18595,5,1861,0.9088,0.0,0.0,0.0,0.6403,0.3091,0.0,1.0,0.9997,0.0003
65,2026-07-06 17:26:03,model_generic,nb15_sat20,"UDP_DDoS, Normal",102300,37,18595,5,1824,0.9106,0.881,0.0199,0.0389,0.7677,0.5701,0.0199,0.9801,0.9997,0.0003
71,2026-07-06 17:29:17,model_generic,nb15_ter20,"Botnet, Normal",102300,225,18595,5,1636,0.9198,0.9783,0.1209,0.2152,0.6006,0.2697,0.1209,0.8791,0.9997,0.0003
77,2026-07-06 17:32:29,model_generic,nb15_ter20,"DDoS, Normal",102300,1,18595,5,1860,0.9089,0.1667,0.0005,0.0011,0.5492,0.1397,0.0005,0.9995,0.9997,0.0003
83,2026-07-06 17:35:33,model_generic,nb15_ter20,"Syn_DDoS, Normal",102300,0,18595,5,1861,0.9088,0.0,0.0,0.0,0.9237,0.7665,0.0,1.0,0.9997,0.0003
89,2026-07-06 17:38:43,model_generic,nb15_ter20,"UDP_DDoS, Normal",102300,0,18595,5,1861,0.9088,0.0,0.0,0.0,0.6239,0.2666,0.0,1.0,0.9997,0.0003
