id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
1,2026-07-07 19:16:18,model_nb15_aggregate,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,1529,18478,122,331,0.9779,0.9261,0.822,0.871,0.9734,0.9147,0.822,0.178,0.9934,0.0066
8,2026-07-07 19:18:34,model_nb15_aggregate,nb15,"DoS, Normal",102300,1708,18478,122,152,0.9866,0.9333,0.9183,0.9257,0.9857,0.9557,0.9183,0.0817,0.9934,0.0066
15,2026-07-07 19:20:47,model_nb15_aggregate,nb15,"Exploits, Normal",102300,1572,18478,122,288,0.98,0.928,0.8452,0.8846,0.9766,0.9252,0.8452,0.1548,0.9934,0.0066
22,2026-07-07 19:22:58,model_nb15_aggregate,nb15,"Fuzzers, Normal",102300,461,18478,122,1399,0.9257,0.7907,0.2478,0.3774,0.8694,0.5469,0.2478,0.7522,0.9934,0.0066
29,2026-07-07 19:25:12,model_nb15_aggregate,nb15,"Generic, Normal",102300,1846,18478,122,14,0.9934,0.938,0.9925,0.9645,0.9984,0.9941,0.9925,0.0075,0.9934,0.0066
36,2026-07-07 19:27:19,model_nb15_aggregate,nb15,"Reconnaissance, Normal",102300,1604,18478,122,256,0.9815,0.9293,0.8624,0.8946,0.9808,0.9289,0.8624,0.1376,0.9934,0.0066
43,2026-07-07 19:29:32,model_nb15_aggregate,hybrid,"DDoS, Normal, Generic, UDP_DDoS, Exploits, Fuzzers, DoS, Reconnaissance, Botnet, Syn_DDoS",102300,1125,18478,122,735,0.9581,0.9022,0.6048,0.7242,0.9366,0.8301,0.6048,0.3952,0.9934,0.0066
50,2026-07-07 19:31:41,model_nb15_aggregate,nb15_stin,"UDP_DDoS, Normal, Botnet, Syn_DDoS, DDoS",102300,244,18478,122,1616,0.9151,0.6667,0.1312,0.2192,0.8753,0.5836,0.1312,0.8688,0.9934,0.0066
57,2026-07-07 19:33:52,model_nb15_aggregate,nb15_sat20,"UDP_DDoS, Normal, Syn_DDoS",102300,358,18478,122,1502,0.9206,0.7458,0.1925,0.306,0.982,0.7806,0.1925,0.8075,0.9934,0.0066
64,2026-07-07 19:36:01,model_nb15_aggregate,nb15_ter20,"UDP_DDoS, Normal, DDoS, Botnet, Syn_DDoS",102300,199,18478,122,1661,0.9129,0.6199,0.107,0.1825,0.8282,0.5025,0.107,0.893,0.9934,0.0066
71,2026-07-07 19:38:13,model_nb15_aggregate,nb15_sat20,"Syn_DDoS, Normal",102300,0,18478,122,1860,0.9031,0.0,0.0,0.0,0.9835,0.8372,0.0,1.0,0.9934,0.0066
78,2026-07-07 19:40:20,model_nb15_aggregate,nb15_sat20,"UDP_DDoS, Normal",102300,602,18478,122,1258,0.9326,0.8315,0.3237,0.4659,0.9774,0.8032,0.3237,0.6763,0.9934,0.0066
85,2026-07-07 19:42:32,model_nb15_aggregate,nb15_ter20,"Botnet, Normal",102300,594,18478,122,1266,0.9322,0.8296,0.3194,0.4612,0.9643,0.7465,0.3194,0.6806,0.9934,0.0066
92,2026-07-07 19:44:48,model_nb15_aggregate,nb15_ter20,"DDoS, Normal",102300,33,18478,122,1827,0.9047,0.2129,0.0177,0.0328,0.6442,0.2493,0.0177,0.9823,0.9934,0.0066
99,2026-07-07 19:46:59,model_nb15_aggregate,nb15_ter20,"Syn_DDoS, Normal",102300,0,18478,122,1860,0.9031,0.0,0.0,0.0,0.9767,0.7502,0.0,1.0,0.9934,0.0066
106,2026-07-07 19:49:06,model_nb15_aggregate,nb15_ter20,"UDP_DDoS, Normal",102300,0,18478,122,1860,0.9031,0.0,0.0,0.0,0.9829,0.8207,0.0,1.0,0.9934,0.0066
