id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
5,2026-07-09 17:20:58,model_nb15_generic,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,1087,18594,6,773,0.9619,0.9945,0.5844,0.7362,0.8887,0.7906,0.5844,0.4156,0.9997,0.0003
13,2026-07-09 17:21:10,model_nb15_generic,nb15,"DoS, Normal",102300,1315,18594,6,545,0.9731,0.9955,0.707,0.8268,0.9524,0.9066,0.707,0.293,0.9997,0.0003
21,2026-07-09 17:21:23,model_nb15_generic,nb15,"Exploits, Normal",102300,698,18594,6,1162,0.9429,0.9915,0.3753,0.5445,0.9217,0.8384,0.3753,0.6247,0.9997,0.0003
29,2026-07-09 17:21:34,model_nb15_generic,nb15,"Fuzzers, Normal",102300,238,18594,6,1622,0.9204,0.9754,0.128,0.2262,0.6346,0.3087,0.128,0.872,0.9997,0.0003
37,2026-07-09 17:21:47,model_nb15_generic,nb15,"Generic, Normal",102300,1837,18594,6,23,0.9986,0.9967,0.9876,0.9922,0.998,0.9957,0.9876,0.0124,0.9997,0.0003
45,2026-07-09 17:21:59,model_nb15_generic,nb15,"Reconnaissance, Normal",102300,263,18594,6,1597,0.9217,0.9777,0.1414,0.2471,0.6773,0.3805,0.1414,0.8586,0.9997,0.0003
53,2026-07-09 17:22:10,model_nb15_generic,smote,"Reconnaissance_Smote, Normal, Exploits_Smote, Generic_Smote, Fuzzers_Smote, DoS_Smote",102300,197,18594,6,1663,0.9184,0.9704,0.1059,0.191,0.9907,0.9461,0.1059,0.8941,0.9997,0.0003
61,2026-07-09 17:22:21,model_nb15_generic,injection,"DDoS, Normal, Generic, UDP_DDoS, Exploits, Fuzzers, DoS, Reconnaissance, Botnet, Syn_DDoS",102300,761,18594,6,1099,0.946,0.9922,0.4091,0.5794,0.8111,0.6501,0.4091,0.5909,0.9997,0.0003
69,2026-07-09 17:22:32,model_nb15_generic,nb15_stin,"UDP_DDoS, Normal, Botnet, Syn_DDoS, DDoS",102300,13,18594,6,1847,0.9094,0.6842,0.007,0.0138,0.6539,0.3365,0.007,0.993,0.9997,0.0003
77,2026-07-09 17:22:42,model_nb15_generic,nb15_sat20,"UDP_DDoS, Normal, Syn_DDoS",102300,28,18594,6,1832,0.9102,0.8235,0.0151,0.0296,0.7268,0.472,0.0151,0.9849,0.9997,0.0003
85,2026-07-09 17:22:53,model_nb15_generic,nb15_ter20,"UDP_DDoS, Normal, DDoS, Botnet, Syn_DDoS",102300,2,18594,6,1858,0.9089,0.25,0.0011,0.0021,0.6192,0.2661,0.0011,0.9989,0.9997,0.0003
93,2026-07-09 17:23:05,model_nb15_generic,nb15_sat20,"Syn_DDoS, Normal",102300,0,18594,6,1860,0.9088,0.0,0.0,0.0,0.6407,0.2904,0.0,1.0,0.9997,0.0003
101,2026-07-09 17:23:16,model_nb15_generic,nb15_sat20,"UDP_DDoS, Normal",102300,37,18594,6,1823,0.9106,0.8605,0.0199,0.0389,0.7723,0.5651,0.0199,0.9801,0.9997,0.0003
109,2026-07-09 17:23:27,model_nb15_generic,nb15_ter20,"Botnet, Normal",102300,7,18594,6,1853,0.9091,0.5385,0.0038,0.0075,0.5964,0.2484,0.0038,0.9962,0.9997,0.0003
117,2026-07-09 17:23:38,model_nb15_generic,nb15_ter20,"DDoS, Normal",102300,0,18594,6,1860,0.9088,0.0,0.0,0.0,0.5497,0.1521,0.0,1.0,0.9997,0.0003
125,2026-07-09 17:23:48,model_nb15_generic,nb15_ter20,"Syn_DDoS, Normal",102300,0,18594,6,1860,0.9088,0.0,0.0,0.0,0.9349,0.7997,0.0,1.0,0.9997,0.0003
133,2026-07-09 17:23:59,model_nb15_generic,nb15_ter20,"UDP_DDoS, Normal",102300,0,18594,6,1860,0.9088,0.0,0.0,0.0,0.6259,0.2722,0.0,1.0,0.9997,0.0003
