id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
6,2026-07-06 16:53:42,model_reconnaissance,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,1187,18526,74,674,0.9634,0.9413,0.6378,0.7604,0.9006,0.7872,0.6378,0.3622,0.996,0.004
12,2026-07-06 16:57:02,model_reconnaissance,nb15,"DoS, Normal",102300,1426,18526,74,435,0.9751,0.9507,0.7663,0.8486,0.9457,0.8818,0.7663,0.2337,0.996,0.004
18,2026-07-06 17:00:23,model_reconnaissance,nb15,"Exploits, Normal",102300,774,18526,74,1086,0.9433,0.9127,0.4161,0.5716,0.8722,0.7097,0.4161,0.5839,0.996,0.004
24,2026-07-06 17:03:41,model_reconnaissance,nb15,"Fuzzers, Normal",102300,255,18526,74,1606,0.9179,0.7751,0.137,0.2329,0.6403,0.2835,0.137,0.863,0.996,0.004
30,2026-07-06 17:06:56,model_reconnaissance,nb15,"Generic, Normal",102300,1666,18526,74,195,0.9869,0.9575,0.8952,0.9253,0.9928,0.9565,0.8952,0.1048,0.996,0.004
36,2026-07-06 17:10:10,model_reconnaissance,nb15,"Reconnaissance, Normal",102300,1753,18526,74,108,0.9911,0.9595,0.942,0.9507,0.9954,0.9812,0.942,0.058,0.996,0.004
42,2026-07-06 17:13:20,model_reconnaissance,hybrid,"Syn_DDoS, Normal, DDoS, UDP_DDoS, Botnet",102300,16,18526,74,1845,0.9062,0.1778,0.0086,0.0164,0.9458,0.6646,0.0086,0.9914,0.996,0.004
48,2026-07-06 17:16:32,model_reconnaissance,nb15_sat20,"UDP_DDoS, Normal, Syn_DDoS",102300,31,18526,74,1830,0.9069,0.2952,0.0167,0.0315,0.9878,0.7857,0.0167,0.9833,0.996,0.004
54,2026-07-06 17:19:44,model_reconnaissance,nb15_ter20,"UDP_DDoS, Normal, DDoS, Botnet, Syn_DDoS",102300,16,18526,74,1845,0.9062,0.1778,0.0086,0.0164,0.9152,0.5818,0.0086,0.9914,0.996,0.004
60,2026-07-06 17:22:55,model_reconnaissance,nb15_sat20,"Syn_DDoS, Normal",102300,0,18526,74,1861,0.9054,0.0,0.0,0.0,0.9903,0.8161,0.0,1.0,0.996,0.004
66,2026-07-06 17:26:08,model_reconnaissance,nb15_sat20,"UDP_DDoS, Normal",102300,46,18526,74,1815,0.9077,0.3833,0.0247,0.0464,0.9838,0.7752,0.0247,0.9753,0.996,0.004
72,2026-07-06 17:29:22,model_reconnaissance,nb15_ter20,"Botnet, Normal",102300,24,18526,74,1837,0.9066,0.2449,0.0129,0.0245,0.819,0.442,0.0129,0.9871,0.996,0.004
78,2026-07-06 17:32:34,model_reconnaissance,nb15_ter20,"DDoS, Normal",102300,35,18526,74,1826,0.9071,0.3211,0.0188,0.0355,0.9474,0.6154,0.0188,0.9812,0.996,0.004
84,2026-07-06 17:35:38,model_reconnaissance,nb15_ter20,"Syn_DDoS, Normal",102300,0,18526,74,1861,0.9054,0.0,0.0,0.0,0.9886,0.7873,0.0,1.0,0.996,0.004
90,2026-07-06 17:38:48,model_reconnaissance,nb15_ter20,"UDP_DDoS, Normal",102300,0,18526,74,1861,0.9054,0.0,0.0,0.0,0.9899,0.8087,0.0,1.0,0.996,0.004
