id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
7,2026-07-13 16:52:12,rf_model_injection_aggregate,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,1548,18438,162,312,0.9768,0.9053,0.8323,0.8672,0.9716,0.9133,0.8323,0.1677,0.9913,0.0087
17,2026-07-13 16:52:47,rf_model_injection_aggregate,nb15,"DoS, Normal",102300,1724,18438,162,136,0.9854,0.9141,0.9269,0.9204,0.9902,0.9647,0.9269,0.0731,0.9913,0.0087
27,2026-07-13 16:53:18,rf_model_injection_aggregate,nb15,"Exploits, Normal",102300,1616,18438,162,244,0.9802,0.9089,0.8688,0.8884,0.9805,0.9334,0.8688,0.1312,0.9913,0.0087
37,2026-07-13 16:53:49,rf_model_injection_aggregate,nb15,"Fuzzers, Normal",102300,486,18438,162,1374,0.9249,0.75,0.2613,0.3876,0.8584,0.5409,0.2613,0.7387,0.9913,0.0087
47,2026-07-13 16:54:21,rf_model_injection_aggregate,nb15,"Generic, Normal",102300,1844,18438,162,16,0.9913,0.9192,0.9914,0.954,0.9986,0.9929,0.9914,0.0086,0.9913,0.0087
57,2026-07-13 16:54:55,rf_model_injection_aggregate,nb15,"Reconnaissance, Normal",102300,1617,18438,162,243,0.9802,0.9089,0.8694,0.8887,0.9897,0.9486,0.8694,0.1306,0.9913,0.0087
67,2026-07-13 16:55:26,rf_model_injection_aggregate,injection,"Generic, Normal, Fuzzers, Exploits, DoS, Reconnaissance, Syn_DDoS, DDoS, UDP_DDoS, Botnet",102300,1552,18438,162,308,0.977,0.9055,0.8344,0.8685,0.9722,0.917,0.8344,0.1656,0.9913,0.0087
77,2026-07-13 16:55:57,rf_model_injection_aggregate,smote,"Reconnaissance_Smote, Normal, Exploits_Smote, Generic_Smote, Fuzzers_Smote, DoS_Smote",102300,448,18438,162,1412,0.9231,0.7344,0.2409,0.3628,0.9873,0.7931,0.2409,0.7591,0.9913,0.0087
87,2026-07-13 16:56:31,rf_model_injection_aggregate,nb15_stin,"UDP_DDoS, Normal, Botnet, Syn_DDoS, DDoS",102300,1860,18438,162,0,0.9921,0.9199,1.0,0.9583,0.9997,0.9949,1.0,0.0,0.9913,0.0087
97,2026-07-13 16:57:04,rf_model_injection_aggregate,nb15_sat20,"UDP_DDoS, Normal, Syn_DDoS",102300,1860,18438,162,0,0.9921,0.9199,1.0,0.9583,0.9998,0.9954,1.0,0.0,0.9913,0.0087
107,2026-07-13 16:57:36,rf_model_injection_aggregate,nb15_ter20,"UDP_DDoS, Normal, DDoS, Botnet, Syn_DDoS",102300,1859,18438,162,1,0.992,0.9198,0.9995,0.958,0.9997,0.9946,0.9995,0.0005,0.9913,0.0087
117,2026-07-13 16:58:09,rf_model_injection_aggregate,nb15_sat20,"Syn_DDoS, Normal",102300,1860,18438,162,0,0.9921,0.9199,1.0,0.9583,0.9998,0.9954,1.0,0.0,0.9913,0.0087
127,2026-07-13 16:58:38,rf_model_injection_aggregate,nb15_sat20,"UDP_DDoS, Normal",102300,1860,18438,162,0,0.9921,0.9199,1.0,0.9583,0.9998,0.9957,1.0,0.0,0.9913,0.0087
137,2026-07-13 16:59:07,rf_model_injection_aggregate,nb15_ter20,"Botnet, Normal",102300,1857,18438,162,3,0.9919,0.9198,0.9984,0.9575,0.9997,0.9944,0.9984,0.0016,0.9913,0.0087
147,2026-07-13 16:59:38,rf_model_injection_aggregate,nb15_ter20,"DDoS, Normal",102300,1860,18438,162,0,0.9921,0.9199,1.0,0.9583,0.9998,0.9954,1.0,0.0,0.9913,0.0087
157,2026-07-13 17:00:12,rf_model_injection_aggregate,nb15_ter20,"Syn_DDoS, Normal",102300,1860,18438,162,0,0.9921,0.9199,1.0,0.9583,0.9995,0.9912,1.0,0.0,0.9913,0.0087
167,2026-07-13 17:00:43,rf_model_injection_aggregate,nb15_ter20,"UDP_DDoS, Normal",102300,1859,18438,162,1,0.992,0.9198,0.9995,0.958,0.9997,0.9951,0.9995,0.0005,0.9913,0.0087
