id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
6,2026-07-10 23:13:24,rf_model_nb15_reconnaissance,nb15,Normal,93000,0,18524,76,0,None,None,0.0,None,None,None,None,None,0.9959,0.0041
16,2026-07-10 23:14:08,rf_model_nb15_reconnaissance,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,1200,18524,76,660,0.964,0.9404,0.6452,0.7653,0.9009,0.7918,0.6452,0.3548,0.9959,0.0041
26,2026-07-10 23:15:01,rf_model_nb15_reconnaissance,nb15,"DoS, Normal",102300,1436,18524,76,424,0.9756,0.9497,0.772,0.8517,0.9469,0.8836,0.772,0.228,0.9959,0.0041
36,2026-07-10 23:15:53,rf_model_nb15_reconnaissance,nb15,"Exploits, Normal",102300,804,18524,76,1056,0.9447,0.9136,0.4323,0.5869,0.8771,0.7217,0.4323,0.5677,0.9959,0.0041
46,2026-07-10 23:16:45,rf_model_nb15_reconnaissance,nb15,"Fuzzers, Normal",102300,274,18524,76,1586,0.9188,0.7829,0.1473,0.248,0.6224,0.2689,0.1473,0.8527,0.9959,0.0041
56,2026-07-10 23:17:37,rf_model_nb15_reconnaissance,nb15,"Generic, Normal",102300,1669,18524,76,191,0.987,0.9564,0.8973,0.9259,0.9932,0.9607,0.8973,0.1027,0.9959,0.0041
66,2026-07-10 23:18:39,rf_model_nb15_reconnaissance,nb15,"Reconnaissance, Normal",102300,1761,18524,76,99,0.9914,0.9586,0.9468,0.9527,0.9957,0.9813,0.9468,0.0532,0.9959,0.0041
76,2026-07-10 23:19:39,rf_model_nb15_reconnaissance,injection,"DDoS, Normal, Generic, UDP_DDoS, Exploits, Fuzzers, DoS, Reconnaissance, Botnet, Syn_DDoS",102300,954,18524,76,906,0.952,0.9262,0.5129,0.6602,0.8749,0.7304,0.5129,0.4871,0.9959,0.0041
86,2026-07-10 23:20:40,rf_model_nb15_reconnaissance,smote,"Reconnaissance_Smote, Normal, Exploits_Smote, Generic_Smote, Fuzzers_Smote, DoS_Smote",102300,130,18524,76,1730,0.9117,0.6311,0.0699,0.1258,0.9317,0.6883,0.0699,0.9301,0.9959,0.0041
96,2026-07-10 23:21:40,rf_model_nb15_reconnaissance,nb15_stin,"UDP_DDoS, Normal, Botnet, Syn_DDoS, DDoS",102300,434,18524,76,1426,0.9266,0.851,0.2333,0.3662,0.8315,0.5882,0.2333,0.7667,0.9959,0.0041
106,2026-07-10 23:22:38,rf_model_nb15_reconnaissance,nb15_sat20,"UDP_DDoS, Normal, Syn_DDoS",102300,748,18524,76,1112,0.9419,0.9078,0.4022,0.5574,0.9882,0.8698,0.4022,0.5978,0.9959,0.0041
116,2026-07-10 23:23:38,rf_model_nb15_reconnaissance,nb15_ter20,"UDP_DDoS, Normal, DDoS, Botnet, Syn_DDoS",102300,214,18524,76,1646,0.9158,0.7379,0.1151,0.1991,0.7399,0.42,0.1151,0.8849,0.9959,0.0041
126,2026-07-10 23:24:36,rf_model_nb15_reconnaissance,nb15_sat20,"Syn_DDoS, Normal",102300,1554,18524,76,306,0.9813,0.9534,0.8355,0.8905,0.9966,0.9371,0.8355,0.1645,0.9959,0.0041
136,2026-07-10 23:25:35,rf_model_nb15_reconnaissance,nb15_sat20,"UDP_DDoS, Normal",102300,67,18524,76,1793,0.9087,0.4685,0.036,0.0669,0.9793,0.8081,0.036,0.964,0.9959,0.0041
146,2026-07-10 23:26:33,rf_model_nb15_reconnaissance,nb15_ter20,"Botnet, Normal",102300,4,18524,76,1856,0.9056,0.05,0.0022,0.0041,0.5798,0.1751,0.0022,0.9978,0.9959,0.0041
156,2026-07-10 23:27:30,rf_model_nb15_reconnaissance,nb15_ter20,"DDoS, Normal",102300,0,18524,76,1860,0.9054,0.0,0.0,0.0,0.7182,0.3569,0.0,1.0,0.9959,0.0041
166,2026-07-10 23:28:29,rf_model_nb15_reconnaissance,nb15_ter20,"Syn_DDoS, Normal",102300,359,18524,76,1501,0.9229,0.8253,0.193,0.3129,0.9944,0.891,0.193,0.807,0.9959,0.0041
176,2026-07-10 23:29:25,rf_model_nb15_reconnaissance,nb15_ter20,"UDP_DDoS, Normal",102300,1393,18524,76,467,0.9735,0.9483,0.7489,0.8369,0.9965,0.934,0.7489,0.2511,0.9959,0.0041
