id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
151,2026-07-13 23:27:10,rf_model_nb15_aggregate,nb15_ter20,"DDoS, Normal",102300,1258,18432,168,602,0.9624,0.8822,0.6763,0.7657,0.9857,0.798,0.6763,0.3237,0.991,0.009
152,2026-07-13 23:27:11,rf_model_nb15_dos,nb15_ter20,"DDoS, Normal",102300,8,18541,59,1852,0.9066,0.1194,0.0043,0.0083,0.9735,0.7579,0.0043,0.9957,0.9968,0.0032
153,2026-07-13 23:27:11,rf_model_nb15_exploits,nb15_ter20,"DDoS, Normal",102300,114,18478,122,1746,0.9087,0.4831,0.0613,0.1088,0.9868,0.8014,0.0613,0.9387,0.9934,0.0066
154,2026-07-13 23:27:11,rf_model_nb15_fuzzers,nb15_ter20,"DDoS, Normal",102300,1460,18012,588,400,0.9517,0.7129,0.7849,0.7472,0.9749,0.7607,0.7849,0.2151,0.9684,0.0316
155,2026-07-13 23:27:11,rf_model_nb15_generic,nb15_ter20,"DDoS, Normal",102300,0,18594,6,1860,0.9088,0.0,0.0,0.0,0.5497,0.1521,0.0,1.0,0.9997,0.0003
156,2026-07-13 23:27:12,rf_model_nb15_reconnaissance,nb15_ter20,"DDoS, Normal",102300,0,18524,76,1860,0.9054,0.0,0.0,0.0,0.7182,0.3569,0.0,1.0,0.9959,0.0041
157,2026-07-13 23:27:12,rf_model_injection_aggregate,nb15_ter20,"DDoS, Normal",102300,1700,18430,170,160,0.9839,0.9091,0.914,0.9115,0.9983,0.9756,0.914,0.086,0.9909,0.0091
158,2026-07-13 23:27:13,rf_model_smote_aggregate,nb15_ter20,"DDoS, Normal",102300,1860,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
159,2026-07-13 23:27:13,if_model_nb15_normal,nb15_ter20,"DDoS, Normal",102300,1673,16620,1980,187,0.8941,0.458,0.8995,0.6069,0.9517,0.5836,0.8995,0.1005,0.8935,0.1065
160,2026-07-13 23:27:13,if_model_nb15_aggregate,nb15_ter20,"DDoS, Normal",102300,1671,16601,1999,189,0.8931,0.4553,0.8984,0.6043,0.9463,0.5637,0.8984,0.1016,0.8925,0.1075
