id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
7,2026-07-13 23:46:48,rf_model_injection_aggregate,nb15,Normal,93000,0,18450,150,0,None,None,0.0,None,None,None,None,None,0.9919,0.0081
17,2026-07-13 23:46:51,rf_model_injection_aggregate,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,1526,18450,150,334,0.9763,0.9105,0.8204,0.8631,0.9702,0.9121,0.8204,0.1796,0.9919,0.0081
27,2026-07-13 23:46:55,rf_model_injection_aggregate,nb15,"DoS, Normal",102300,1716,18450,150,144,0.9856,0.9196,0.9226,0.9211,0.9922,0.9646,0.9226,0.0774,0.9919,0.0081
37,2026-07-13 23:46:58,rf_model_injection_aggregate,nb15,"Exploits, Normal",102300,1591,18450,150,269,0.9795,0.9138,0.8554,0.8836,0.9832,0.9363,0.8554,0.1446,0.9919,0.0081
47,2026-07-13 23:47:02,rf_model_injection_aggregate,nb15,"Fuzzers, Normal",102300,472,18450,150,1388,0.9248,0.7588,0.2538,0.3803,0.8568,0.5346,0.2538,0.7462,0.9919,0.0081
57,2026-07-13 23:47:05,rf_model_injection_aggregate,nb15,"Generic, Normal",102300,1844,18450,150,16,0.9919,0.9248,0.9914,0.9569,0.999,0.9938,0.9914,0.0086,0.9919,0.0081
67,2026-07-13 23:47:08,rf_model_injection_aggregate,nb15,"Reconnaissance, Normal",102300,1599,18450,150,261,0.9799,0.9142,0.8597,0.8861,0.9904,0.9493,0.8597,0.1403,0.9919,0.0081
77,2026-07-13 23:47:12,rf_model_injection_aggregate,injection,"Generic, Normal, DoS, Fuzzers, DDoS, Exploits, Reconnaissance, Syn_DDoS, Botnet, UDP_DDoS",102300,1541,18450,150,319,0.9771,0.9113,0.8285,0.8679,0.9755,0.919,0.8285,0.1715,0.9919,0.0081
87,2026-07-13 23:47:15,rf_model_injection_aggregate,smote,"Reconnaissance_Smote, Normal, Exploits_Smote, Generic_Smote, Fuzzers_Smote, DoS_Smote",102300,993,18450,150,867,0.9503,0.8688,0.5339,0.6613,0.991,0.8469,0.5339,0.4661,0.9919,0.0081
97,2026-07-13 23:47:18,rf_model_injection_aggregate,nb15_stin,"UDP_DDoS, Normal, Botnet, Syn_DDoS, DDoS",102300,1826,18450,150,34,0.991,0.9241,0.9817,0.952,0.9985,0.9754,0.9817,0.0183,0.9919,0.0081
107,2026-07-13 23:47:22,rf_model_injection_aggregate,nb15_sat20,"UDP_DDoS, Normal, Syn_DDoS",102300,1822,18450,150,38,0.9908,0.9239,0.9796,0.9509,0.9987,0.9778,0.9796,0.0204,0.9919,0.0081
117,2026-07-13 23:47:25,rf_model_injection_aggregate,nb15_ter20,"UDP_DDoS, Normal, DDoS, Botnet, Syn_DDoS",102300,1825,18450,150,35,0.991,0.9241,0.9812,0.9518,0.9984,0.9758,0.9812,0.0188,0.9919,0.0081
127,2026-07-13 23:47:28,rf_model_injection_aggregate,nb15_sat20,"Syn_DDoS, Normal",102300,1782,18450,150,78,0.9889,0.9224,0.9581,0.9399,0.9988,0.9835,0.9581,0.0419,0.9919,0.0081
137,2026-07-13 23:47:30,rf_model_injection_aggregate,nb15_sat20,"UDP_DDoS, Normal",102300,1858,18450,150,2,0.9926,0.9253,0.9989,0.9607,0.9987,0.9705,0.9989,0.0011,0.9919,0.0081
147,2026-07-13 23:47:33,rf_model_injection_aggregate,nb15_ter20,"Botnet, Normal",102300,1844,18450,150,16,0.9919,0.9248,0.9914,0.9569,0.9984,0.9762,0.9914,0.0086,0.9919,0.0081
157,2026-07-13 23:47:36,rf_model_injection_aggregate,nb15_ter20,"DDoS, Normal",102300,1847,18450,150,13,0.992,0.9249,0.993,0.9577,0.9986,0.978,0.993,0.007,0.9919,0.0081
167,2026-07-13 23:47:38,rf_model_injection_aggregate,nb15_ter20,"Syn_DDoS, Normal",102300,1727,18450,150,133,0.9862,0.9201,0.9285,0.9243,0.9976,0.9618,0.9285,0.0715,0.9919,0.0081
177,2026-07-13 23:47:41,rf_model_injection_aggregate,nb15_ter20,"UDP_DDoS, Normal",102300,1771,18450,150,89,0.9883,0.9219,0.9522,0.9368,0.9982,0.9774,0.9522,0.0478,0.9919,0.0081
