id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
31,2026-07-13 15:48:09,rf_model_nb15_aggregate,nb15,"Fuzzers, Normal",102300,493,18432,168,1367,0.925,0.7458,0.2651,0.3911,0.8594,0.5374,0.2651,0.7349,0.991,0.009
32,2026-07-13 15:48:13,rf_model_nb15_dos,nb15,"Fuzzers, Normal",102300,283,18541,59,1577,0.92,0.8275,0.1522,0.257,0.7195,0.3753,0.1522,0.8478,0.9968,0.0032
33,2026-07-13 15:48:18,rf_model_nb15_exploits,nb15,"Fuzzers, Normal",102300,348,18478,122,1512,0.9201,0.7404,0.1871,0.2987,0.7089,0.3591,0.1871,0.8129,0.9934,0.0066
34,2026-07-13 15:48:22,rf_model_nb15_fuzzers,nb15,"Fuzzers, Normal",102300,954,18012,588,906,0.927,0.6187,0.5129,0.5608,0.9269,0.633,0.5129,0.4871,0.9684,0.0316
35,2026-07-13 15:48:26,rf_model_nb15_generic,nb15,"Fuzzers, Normal",102300,238,18594,6,1622,0.9204,0.9754,0.128,0.2262,0.6346,0.3087,0.128,0.872,0.9997,0.0003
36,2026-07-13 15:48:32,rf_model_nb15_reconnaissance,nb15,"Fuzzers, Normal",102300,274,18524,76,1586,0.9188,0.7829,0.1473,0.248,0.6224,0.2689,0.1473,0.8527,0.9959,0.0041
37,2026-07-13 15:48:38,rf_model_injection_aggregate,nb15,"Fuzzers, Normal",102300,447,18452,148,1413,0.9237,0.7513,0.2403,0.3642,0.843,0.5181,0.2403,0.7597,0.992,0.008
38,2026-07-13 15:48:43,rf_model_smote_aggregate,nb15,"Fuzzers, Normal",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.5457,0.1638,0.0,1.0,1.0,0.0
39,2026-07-13 15:48:48,if_model_nb15_normal,nb15,"Fuzzers, Normal",102300,308,16620,1980,1552,0.8274,0.1346,0.1656,0.1485,0.4422,0.0982,0.1656,0.8344,0.8935,0.1065
40,2026-07-13 15:48:52,if_model_nb15_aggregate,nb15,"Fuzzers, Normal",102300,283,16601,1999,1577,0.8252,0.124,0.1522,0.1366,0.4132,0.0884,0.1522,0.8478,0.8925,0.1075
