id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
9,2026-07-13 15:46:07,if_model_nb15_normal,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,214,16620,1980,1646,0.8228,0.0975,0.1151,0.1056,0.5943,0.1169,0.1151,0.8849,0.8935,0.1065
19,2026-07-13 15:47:01,if_model_nb15_normal,nb15,"DoS, Normal",102300,213,16620,1980,1647,0.8227,0.0971,0.1145,0.1051,0.6752,0.1448,0.1145,0.8855,0.8935,0.1065
29,2026-07-13 15:47:55,if_model_nb15_normal,nb15,"Exploits, Normal",102300,320,16620,1980,1540,0.828,0.1391,0.172,0.1538,0.5627,0.1216,0.172,0.828,0.8935,0.1065
39,2026-07-13 15:48:48,if_model_nb15_normal,nb15,"Fuzzers, Normal",102300,308,16620,1980,1552,0.8274,0.1346,0.1656,0.1485,0.4422,0.0982,0.1656,0.8344,0.8935,0.1065
49,2026-07-13 15:49:36,if_model_nb15_normal,nb15,"Generic, Normal",102300,95,16620,1980,1765,0.817,0.0458,0.0511,0.0483,0.685,0.1472,0.0511,0.9489,0.8935,0.1065
59,2026-07-13 15:50:24,if_model_nb15_normal,nb15,"Reconnaissance, Normal",102300,66,16620,1980,1794,0.8155,0.0323,0.0355,0.0338,0.379,0.0783,0.0355,0.9645,0.8935,0.1065
69,2026-07-13 15:51:14,if_model_nb15_normal,injection,"Generic, Normal, Fuzzers, DoS, Exploits, Reconnaissance, Syn_DDoS, Botnet, DDoS, UDP_DDoS",102300,269,16620,1980,1591,0.8255,0.1196,0.1446,0.1309,0.6038,0.1245,0.1446,0.8554,0.8935,0.1065
79,2026-07-13 15:52:02,if_model_nb15_normal,smote,"Reconnaissance_Smote, Normal, Exploits_Smote, Generic_Smote, Fuzzers_Smote, DoS_Smote",102300,615,16620,1980,1245,0.8424,0.237,0.3306,0.2761,0.7907,0.1959,0.3306,0.6694,0.8935,0.1065
89,2026-07-13 15:52:49,if_model_nb15_normal,nb15_stin,"UDP_DDoS, Normal, Botnet, Syn_DDoS, DDoS",102300,1439,16620,1980,421,0.8826,0.4209,0.7737,0.5452,0.934,0.4737,0.7737,0.2263,0.8935,0.1065
99,2026-07-13 15:53:37,if_model_nb15_normal,nb15_sat20,"UDP_DDoS, Normal, Syn_DDoS",102300,1123,16620,1980,737,0.8672,0.3619,0.6038,0.4525,0.9126,0.3888,0.6038,0.3962,0.8935,0.1065
109,2026-07-13 15:54:25,if_model_nb15_normal,nb15_ter20,"UDP_DDoS, Normal, DDoS, Botnet, Syn_DDoS",102300,1636,16620,1980,224,0.8923,0.4524,0.8796,0.5975,0.9483,0.5545,0.8796,0.1204,0.8935,0.1065
119,2026-07-13 15:55:15,if_model_nb15_normal,nb15_sat20,"Syn_DDoS, Normal",102300,1478,16620,1980,382,0.8846,0.4274,0.7946,0.5558,0.9336,0.4904,0.7946,0.2054,0.8935,0.1065
129,2026-07-13 15:56:03,if_model_nb15_normal,nb15_sat20,"UDP_DDoS, Normal",102300,905,16620,1980,955,0.8565,0.3137,0.4866,0.3815,0.9006,0.3836,0.4866,0.5134,0.8935,0.1065
139,2026-07-13 15:56:51,if_model_nb15_normal,nb15_ter20,"Botnet, Normal",102300,1819,16620,1980,41,0.9012,0.4788,0.978,0.6429,0.9597,0.6497,0.978,0.022,0.8935,0.1065
149,2026-07-13 15:57:39,if_model_nb15_normal,nb15_ter20,"DDoS, Normal",102300,1673,16620,1980,187,0.8941,0.458,0.8995,0.6069,0.9517,0.5836,0.8995,0.1005,0.8935,0.1065
159,2026-07-13 15:58:27,if_model_nb15_normal,nb15_ter20,"Syn_DDoS, Normal",102300,1032,16620,1980,828,0.8628,0.3426,0.5548,0.4236,0.916,0.4146,0.5548,0.4452,0.8935,0.1065
169,2026-07-13 15:59:19,if_model_nb15_normal,nb15_ter20,"UDP_DDoS, Normal",102300,1520,16620,1980,340,0.8866,0.4343,0.8172,0.5672,0.9345,0.4742,0.8172,0.1828,0.8935,0.1065
