id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
7,2026-07-13 16:08:09,rf_model_injection_aggregate,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,1529,18456,144,331,0.9768,0.9139,0.822,0.8656,0.9686,0.9089,0.822,0.178,0.9923,0.0077
17,2026-07-13 16:08:57,rf_model_injection_aggregate,nb15,"DoS, Normal",102300,1697,18456,144,163,0.985,0.9218,0.9124,0.917,0.993,0.9638,0.9124,0.0876,0.9923,0.0077
27,2026-07-13 16:09:47,rf_model_injection_aggregate,nb15,"Exploits, Normal",102300,1591,18456,144,269,0.9798,0.917,0.8554,0.8851,0.9812,0.9318,0.8554,0.1446,0.9923,0.0077
37,2026-07-13 16:10:35,rf_model_injection_aggregate,nb15,"Fuzzers, Normal",102300,458,18456,144,1402,0.9244,0.7608,0.2462,0.3721,0.8515,0.5261,0.2462,0.7538,0.9923,0.0077
47,2026-07-13 16:11:25,rf_model_injection_aggregate,nb15,"Generic, Normal",102300,1846,18456,144,14,0.9923,0.9276,0.9925,0.959,0.9994,0.9935,0.9925,0.0075,0.9923,0.0077
57,2026-07-13 16:12:13,rf_model_injection_aggregate,nb15,"Reconnaissance, Normal",102300,1623,18456,144,237,0.9814,0.9185,0.8726,0.895,0.9903,0.9506,0.8726,0.1274,0.9923,0.0077
67,2026-07-13 16:13:01,rf_model_injection_aggregate,injection,"Fuzzers, Normal, DoS, Generic, Exploits, Reconnaissance, Syn_DDoS, Botnet, DDoS, UDP_DDoS",102300,1511,18456,144,349,0.9759,0.913,0.8124,0.8597,0.9674,0.904,0.8124,0.1876,0.9923,0.0077
77,2026-07-13 16:13:48,rf_model_injection_aggregate,smote,"Reconnaissance_Smote, Normal, Exploits_Smote, Generic_Smote, Fuzzers_Smote, DoS_Smote",102300,643,18456,144,1217,0.9335,0.817,0.3457,0.4858,0.9906,0.8343,0.3457,0.6543,0.9923,0.0077
87,2026-07-13 16:14:34,rf_model_injection_aggregate,nb15_stin,"UDP_DDoS, Normal, Botnet, Syn_DDoS, DDoS",102300,1857,18456,144,3,0.9928,0.928,0.9984,0.9619,0.9997,0.9944,0.9984,0.0016,0.9923,0.0077
97,2026-07-13 16:15:19,rf_model_injection_aggregate,nb15_sat20,"UDP_DDoS, Normal, Syn_DDoS",102300,1860,18456,144,0,0.993,0.9281,1.0,0.9627,0.9997,0.9949,1.0,0.0,0.9923,0.0077
107,2026-07-13 16:16:06,rf_model_injection_aggregate,nb15_ter20,"UDP_DDoS, Normal, DDoS, Botnet, Syn_DDoS",102300,1857,18456,144,3,0.9928,0.928,0.9984,0.9619,0.9997,0.9942,0.9984,0.0016,0.9923,0.0077
117,2026-07-13 16:16:52,rf_model_injection_aggregate,nb15_sat20,"Syn_DDoS, Normal",102300,1860,18456,144,0,0.993,0.9281,1.0,0.9627,0.9998,0.9951,1.0,0.0,0.9923,0.0077
127,2026-07-13 16:17:38,rf_model_injection_aggregate,nb15_sat20,"UDP_DDoS, Normal",102300,1860,18456,144,0,0.993,0.9281,1.0,0.9627,0.9997,0.9949,1.0,0.0,0.9923,0.0077
137,2026-07-13 16:18:22,rf_model_injection_aggregate,nb15_ter20,"Botnet, Normal",102300,1853,18456,144,7,0.9926,0.9279,0.9962,0.9609,0.9996,0.9936,0.9962,0.0038,0.9923,0.0077
147,2026-07-13 16:19:07,rf_model_injection_aggregate,nb15_ter20,"DDoS, Normal",102300,1860,18456,144,0,0.993,0.9281,1.0,0.9627,0.9997,0.9946,1.0,0.0,0.9923,0.0077
157,2026-07-13 16:19:53,rf_model_injection_aggregate,nb15_ter20,"Syn_DDoS, Normal",102300,1860,18456,144,0,0.993,0.9281,1.0,0.9627,0.9997,0.9937,1.0,0.0,0.9923,0.0077
167,2026-07-13 16:20:40,rf_model_injection_aggregate,nb15_ter20,"UDP_DDoS, Normal",102300,1859,18456,144,1,0.9929,0.9281,0.9995,0.9625,0.9997,0.9951,0.9995,0.0005,0.9923,0.0077
