id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
131,2026-07-13 17:42:30,rf_model_nb15_aggregate,nb15_sat20,"UDP_DDoS, Normal",102300,1739,18432,168,121,0.9859,0.9119,0.9349,0.9233,0.9944,0.9095,0.9349,0.0651,0.991,0.009
132,2026-07-13 17:42:30,rf_model_nb15_dos,nb15_sat20,"UDP_DDoS, Normal",102300,1436,18541,59,424,0.9764,0.9605,0.772,0.856,0.9942,0.9338,0.772,0.228,0.9968,0.0032
133,2026-07-13 17:42:30,rf_model_nb15_exploits,nb15_sat20,"UDP_DDoS, Normal",102300,1439,18478,122,421,0.9735,0.9218,0.7737,0.8413,0.9954,0.9217,0.7737,0.2263,0.9934,0.0066
134,2026-07-13 17:42:31,rf_model_nb15_fuzzers,nb15_sat20,"UDP_DDoS, Normal",102300,1168,18012,588,692,0.9374,0.6651,0.628,0.646,0.9763,0.731,0.628,0.372,0.9684,0.0316
135,2026-07-13 17:42:31,rf_model_nb15_generic,nb15_sat20,"UDP_DDoS, Normal",102300,37,18594,6,1823,0.9106,0.8605,0.0199,0.0389,0.7723,0.5651,0.0199,0.9801,0.9997,0.0003
136,2026-07-13 17:42:31,rf_model_nb15_reconnaissance,nb15_sat20,"UDP_DDoS, Normal",102300,67,18524,76,1793,0.9087,0.4685,0.036,0.0669,0.9793,0.8081,0.036,0.964,0.9959,0.0041
137,2026-07-13 17:42:32,rf_model_injection_aggregate,nb15_sat20,"UDP_DDoS, Normal",102300,1733,18452,148,127,0.9866,0.9213,0.9317,0.9265,0.9958,0.9237,0.9317,0.0683,0.992,0.008
138,2026-07-13 17:42:32,rf_model_smote_aggregate,nb15_sat20,"UDP_DDoS, Normal",102300,1860,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
139,2026-07-13 17:42:32,if_model_nb15_normal,nb15_sat20,"UDP_DDoS, Normal",102300,905,16620,1980,955,0.8565,0.3137,0.4866,0.3815,0.9006,0.3836,0.4866,0.5134,0.8935,0.1065
140,2026-07-13 17:42:33,if_model_nb15_aggregate,nb15_sat20,"UDP_DDoS, Normal",102300,902,16601,1999,958,0.8555,0.3109,0.4849,0.3789,0.8828,0.3738,0.4849,0.5151,0.8925,0.1075
