id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
141,2026-07-13 17:42:34,rf_model_nb15_aggregate,nb15_ter20,"Botnet, Normal",102300,1388,18432,168,472,0.9687,0.892,0.7462,0.8126,0.9917,0.8457,0.7462,0.2538,0.991,0.009
142,2026-07-13 17:42:34,rf_model_nb15_dos,nb15_ter20,"Botnet, Normal",102300,40,18541,59,1820,0.9082,0.404,0.0215,0.0408,0.9644,0.7779,0.0215,0.9785,0.9968,0.0032
143,2026-07-13 17:42:34,rf_model_nb15_exploits,nb15_ter20,"Botnet, Normal",102300,102,18478,122,1758,0.9081,0.4554,0.0548,0.0979,0.99,0.8059,0.0548,0.9452,0.9934,0.0066
144,2026-07-13 17:42:34,rf_model_nb15_fuzzers,nb15_ter20,"Botnet, Normal",102300,1336,18012,588,524,0.9457,0.6944,0.7183,0.7061,0.9707,0.647,0.7183,0.2817,0.9684,0.0316
145,2026-07-13 17:42:35,rf_model_nb15_generic,nb15_ter20,"Botnet, Normal",102300,7,18594,6,1853,0.9091,0.5385,0.0038,0.0075,0.5964,0.2484,0.0038,0.9962,0.9997,0.0003
146,2026-07-13 17:42:35,rf_model_nb15_reconnaissance,nb15_ter20,"Botnet, Normal",102300,4,18524,76,1856,0.9056,0.05,0.0022,0.0041,0.5798,0.1751,0.0022,0.9978,0.9959,0.0041
147,2026-07-13 17:42:35,rf_model_injection_aggregate,nb15_ter20,"Botnet, Normal",102300,743,18452,148,1117,0.9382,0.8339,0.3995,0.5402,0.9913,0.8667,0.3995,0.6005,0.992,0.008
148,2026-07-13 17:42:36,rf_model_smote_aggregate,nb15_ter20,"Botnet, Normal",102300,1860,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
149,2026-07-13 17:42:36,if_model_nb15_normal,nb15_ter20,"Botnet, Normal",102300,1819,16620,1980,41,0.9012,0.4788,0.978,0.6429,0.9597,0.6497,0.978,0.022,0.8935,0.1065
150,2026-07-13 17:42:36,if_model_nb15_aggregate,nb15_ter20,"Botnet, Normal",102300,1590,16601,1999,270,0.8891,0.443,0.8548,0.5836,0.9504,0.5723,0.8548,0.1452,0.8925,0.1075
