id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
1,2026-07-07 12:29:51,model_nb15_aggregate,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,1550,18432,168,310,0.9766,0.9022,0.8333,0.8664,0.9715,0.914,0.8333,0.1667,0.991,0.009
2,2026-07-07 12:30:42,model_nb15_dos,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,1355,18541,59,505,0.9724,0.9583,0.7285,0.8277,0.9312,0.8445,0.7285,0.2715,0.9968,0.0032
3,2026-07-07 12:31:06,model_nb15_exploits,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,765,18478,122,1095,0.9405,0.8625,0.4113,0.557,0.9171,0.7393,0.4113,0.5887,0.9934,0.0066
4,2026-07-07 12:31:43,model_nb15_fuzzers,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,561,18012,588,1299,0.9078,0.4883,0.3016,0.3729,0.9023,0.5251,0.3016,0.6984,0.9684,0.0316
5,2026-07-07 12:33:34,model_nb15_generic,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,1087,18594,6,773,0.9619,0.9945,0.5844,0.7362,0.8887,0.7906,0.5844,0.4156,0.9997,0.0003
6,2026-07-07 12:33:40,model_nb15_reconnaissance,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,1200,18524,76,660,0.964,0.9404,0.6452,0.7653,0.9009,0.7918,0.6452,0.3548,0.9959,0.0041
7,2026-07-07 12:33:54,model_hybrid_aggregate,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,1500,18501,99,360,0.9776,0.9381,0.8065,0.8673,0.9694,0.9122,0.8065,0.1935,0.9947,0.0053
8,2026-07-07 12:34:47,model_nb15_aggregate,nb15,"DoS, Normal",102300,1716,18432,168,144,0.9848,0.9108,0.9226,0.9167,0.9912,0.9633,0.9226,0.0774,0.991,0.009
9,2026-07-07 12:35:40,model_nb15_dos,nb15,"DoS, Normal",102300,1746,18541,59,114,0.9915,0.9673,0.9387,0.9528,0.994,0.9795,0.9387,0.0613,0.9968,0.0032
10,2026-07-07 12:36:04,model_nb15_exploits,nb15,"DoS, Normal",102300,1733,18478,122,127,0.9878,0.9342,0.9317,0.933,0.993,0.97,0.9317,0.0683,0.9934,0.0066
11,2026-07-07 12:36:40,model_nb15_fuzzers,nb15,"DoS, Normal",102300,1442,18012,588,418,0.9508,0.7103,0.7753,0.7414,0.9514,0.8456,0.7753,0.2247,0.9684,0.0316
12,2026-07-07 12:38:30,model_nb15_generic,nb15,"DoS, Normal",102300,1315,18594,6,545,0.9731,0.9955,0.707,0.8268,0.9524,0.9066,0.707,0.293,0.9997,0.0003
13,2026-07-07 12:38:36,model_nb15_reconnaissance,nb15,"DoS, Normal",102300,1436,18524,76,424,0.9756,0.9497,0.772,0.8517,0.9469,0.8836,0.772,0.228,0.9959,0.0041
