id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
5,2026-07-07 19:17:57,model_nb15_generic,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,1100,18593,7,760,0.9625,0.9937,0.5914,0.7415,0.8753,0.7702,0.5914,0.4086,0.9996,0.0004
12,2026-07-07 19:20:12,model_nb15_generic,nb15,"DoS, Normal",102300,1321,18593,7,539,0.9733,0.9947,0.7102,0.8287,0.953,0.9087,0.7102,0.2898,0.9996,0.0004
19,2026-07-07 19:22:22,model_nb15_generic,nb15,"Exploits, Normal",102300,758,18593,7,1102,0.9458,0.9908,0.4075,0.5775,0.9023,0.809,0.4075,0.5925,0.9996,0.0004
26,2026-07-07 19:24:37,model_nb15_generic,nb15,"Fuzzers, Normal",102300,237,18593,7,1623,0.9203,0.9713,0.1274,0.2253,0.6326,0.2998,0.1274,0.8726,0.9996,0.0004
33,2026-07-07 19:26:44,model_nb15_generic,nb15,"Generic, Normal",102300,1839,18593,7,21,0.9986,0.9962,0.9887,0.9924,0.9983,0.9967,0.9887,0.0113,0.9996,0.0004
40,2026-07-07 19:28:54,model_nb15_generic,nb15,"Reconnaissance, Normal",102300,267,18593,7,1593,0.9218,0.9745,0.1435,0.2502,0.5765,0.2446,0.1435,0.8565,0.9996,0.0004
47,2026-07-07 19:31:05,model_nb15_generic,hybrid,"DDoS, Normal, Generic, UDP_DDoS, Exploits, Fuzzers, DoS, Reconnaissance, Botnet, Syn_DDoS",102300,769,18593,7,1091,0.9463,0.991,0.4134,0.5835,0.7719,0.5864,0.4134,0.5866,0.9996,0.0004
54,2026-07-07 19:33:16,model_nb15_generic,nb15_stin,"UDP_DDoS, Normal, Botnet, Syn_DDoS, DDoS",102300,13,18593,7,1847,0.9094,0.65,0.007,0.0138,0.5592,0.1781,0.007,0.993,0.9996,0.0004
61,2026-07-07 19:35:26,model_nb15_generic,nb15_sat20,"UDP_DDoS, Normal, Syn_DDoS",102300,34,18593,7,1826,0.9104,0.8293,0.0183,0.0358,0.6685,0.369,0.0183,0.9817,0.9996,0.0004
68,2026-07-07 19:37:37,model_nb15_generic,nb15_ter20,"UDP_DDoS, Normal, DDoS, Botnet, Syn_DDoS",102300,7,18593,7,1853,0.9091,0.5,0.0038,0.0075,0.5061,0.0992,0.0038,0.9962,0.9996,0.0004
75,2026-07-07 19:39:46,model_nb15_generic,nb15_sat20,"Syn_DDoS, Normal",102300,0,18593,7,1860,0.9087,0.0,0.0,0.0,0.55,0.141,0.0,1.0,0.9996,0.0004
82,2026-07-07 19:41:58,model_nb15_generic,nb15_sat20,"UDP_DDoS, Normal",102300,44,18593,7,1816,0.9109,0.8627,0.0237,0.046,0.7356,0.4979,0.0237,0.9763,0.9996,0.0004
89,2026-07-07 19:44:12,model_nb15_generic,nb15_ter20,"Botnet, Normal",102300,0,18593,7,1860,0.9087,0.0,0.0,0.0,0.5037,0.0971,0.0,1.0,0.9996,0.0004
96,2026-07-07 19:46:23,model_nb15_generic,nb15_ter20,"DDoS, Normal",102300,1,18593,7,1859,0.9088,0.125,0.0005,0.0011,0.4953,0.0939,0.0005,0.9995,0.9996,0.0004
103,2026-07-07 19:48:32,model_nb15_generic,nb15_ter20,"Syn_DDoS, Normal",102300,0,18593,7,1860,0.9087,0.0,0.0,0.0,0.5117,0.1068,0.0,1.0,0.9996,0.0004
110,2026-07-07 19:50:41,model_nb15_generic,nb15_ter20,"UDP_DDoS, Normal",102300,0,18593,7,1860,0.9087,0.0,0.0,0.0,0.5534,0.1518,0.0,1.0,0.9996,0.0004
