id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
6,2026-07-07 19:18:01,model_nb15_reconnaissance,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,1251,18491,109,609,0.9649,0.9199,0.6726,0.777,0.8962,0.788,0.6726,0.3274,0.9941,0.0059
13,2026-07-07 19:20:16,model_nb15_reconnaissance,nb15,"DoS, Normal",102300,1438,18491,109,422,0.974,0.9295,0.7731,0.8441,0.938,0.8747,0.7731,0.2269,0.9941,0.0059
20,2026-07-07 19:22:26,model_nb15_reconnaissance,nb15,"Exploits, Normal",102300,806,18491,109,1054,0.9432,0.8809,0.4333,0.5809,0.8658,0.7093,0.4333,0.5667,0.9941,0.0059
27,2026-07-07 19:24:41,model_nb15_reconnaissance,nb15,"Fuzzers, Normal",102300,275,18491,109,1585,0.9172,0.7161,0.1478,0.2451,0.6291,0.2756,0.1478,0.8522,0.9941,0.0059
34,2026-07-07 19:26:48,model_nb15_reconnaissance,nb15,"Generic, Normal",102300,1819,18491,109,41,0.9927,0.9435,0.978,0.9604,0.993,0.9753,0.978,0.022,0.9941,0.0059
41,2026-07-07 19:28:58,model_nb15_reconnaissance,nb15,"Reconnaissance, Normal",102300,1760,18491,109,100,0.9898,0.9417,0.9462,0.944,0.9947,0.9744,0.9462,0.0538,0.9941,0.0059
48,2026-07-07 19:31:09,model_nb15_reconnaissance,hybrid,"DDoS, Normal, Generic, UDP_DDoS, Exploits, Fuzzers, DoS, Reconnaissance, Botnet, Syn_DDoS",102300,1013,18491,109,847,0.9533,0.9029,0.5446,0.6794,0.8331,0.6718,0.5446,0.4554,0.9941,0.0059
55,2026-07-07 19:33:20,model_nb15_reconnaissance,nb15_stin,"UDP_DDoS, Normal, Botnet, Syn_DDoS, DDoS",102300,511,18491,109,1349,0.9287,0.8242,0.2747,0.4121,0.712,0.4244,0.2747,0.7253,0.9941,0.0059
62,2026-07-07 19:35:29,model_nb15_reconnaissance,nb15_sat20,"UDP_DDoS, Normal, Syn_DDoS",102300,801,18491,109,1059,0.9429,0.8802,0.4306,0.5783,0.9076,0.7482,0.4306,0.5694,0.9941,0.0059
69,2026-07-07 19:37:41,model_nb15_reconnaissance,nb15_ter20,"UDP_DDoS, Normal, DDoS, Botnet, Syn_DDoS",102300,331,18491,109,1529,0.9199,0.7523,0.178,0.2878,0.6125,0.2672,0.178,0.822,0.9941,0.0059
76,2026-07-07 19:39:50,model_nb15_reconnaissance,nb15_sat20,"Syn_DDoS, Normal",102300,1699,18491,109,161,0.9868,0.9397,0.9134,0.9264,0.9958,0.952,0.9134,0.0866,0.9941,0.0059
83,2026-07-07 19:42:01,model_nb15_reconnaissance,nb15_sat20,"UDP_DDoS, Normal",102300,48,18491,109,1812,0.9061,0.3057,0.0258,0.0476,0.8167,0.5364,0.0258,0.9742,0.9941,0.0059
90,2026-07-07 19:44:15,model_nb15_reconnaissance,nb15_ter20,"Botnet, Normal",102300,8,18491,109,1852,0.9042,0.0684,0.0043,0.0081,0.5142,0.1029,0.0043,0.9957,0.9941,0.0059
97,2026-07-07 19:46:27,model_nb15_reconnaissance,nb15_ter20,"DDoS, Normal",102300,0,18491,109,1860,0.9038,0.0,0.0,0.0,0.4845,0.0905,0.0,1.0,0.9941,0.0059
104,2026-07-07 19:48:35,model_nb15_reconnaissance,nb15_ter20,"Syn_DDoS, Normal",102300,1074,18491,109,786,0.9563,0.9079,0.5774,0.7059,0.9936,0.9242,0.5774,0.4226,0.9941,0.0059
111,2026-07-07 19:50:45,model_nb15_reconnaissance,nb15_ter20,"UDP_DDoS, Normal",102300,1695,18491,109,165,0.9866,0.9396,0.9113,0.9252,0.9957,0.9475,0.9113,0.0887,0.9941,0.0059
