id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
2,2026-07-08 08:58:58,model_nb15_dos,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,1291,18523,77,569,0.9684,0.9437,0.6941,0.7999,0.908,0.8317,0.6941,0.3059,0.9959,0.0041
9,2026-07-08 08:59:51,model_nb15_dos,nb15,"DoS, Normal",102300,1722,18523,77,138,0.9895,0.9572,0.9258,0.9412,0.9883,0.9713,0.9258,0.0742,0.9959,0.0041
16,2026-07-08 09:00:47,model_nb15_dos,nb15,"Exploits, Normal",102300,1273,18523,77,587,0.9675,0.943,0.6844,0.7931,0.9574,0.8942,0.6844,0.3156,0.9959,0.0041
23,2026-07-08 09:01:41,model_nb15_dos,nb15,"Fuzzers, Normal",102300,321,18523,77,1539,0.921,0.8065,0.1726,0.2843,0.6623,0.3686,0.1726,0.8274,0.9959,0.0041
30,2026-07-08 09:02:34,model_nb15_dos,nb15,"Generic, Normal",102300,1837,18523,77,23,0.9951,0.9598,0.9876,0.9735,0.9972,0.9914,0.9876,0.0124,0.9959,0.0041
37,2026-07-08 09:03:26,model_nb15_dos,nb15,"Reconnaissance, Normal",102300,328,18523,77,1532,0.9214,0.8099,0.1763,0.2896,0.7211,0.4723,0.1763,0.8237,0.9959,0.0041
44,2026-07-08 09:04:22,model_nb15_dos,hybrid,"DDoS, Normal, Generic, UDP_DDoS, Exploits, Fuzzers, DoS, Reconnaissance, Botnet, Syn_DDoS",102300,1109,18523,77,751,0.9595,0.9351,0.5962,0.7282,0.8344,0.7271,0.5962,0.4038,0.9959,0.0041
51,2026-07-08 09:05:14,model_nb15_dos,nb15_stin,"UDP_DDoS, Normal, Botnet, Syn_DDoS, DDoS",102300,716,18523,77,1144,0.9403,0.9029,0.3849,0.5398,0.6922,0.5036,0.3849,0.6151,0.9959,0.0041
58,2026-07-08 09:06:07,model_nb15_dos,nb15_sat20,"UDP_DDoS, Normal, Syn_DDoS",102300,1321,18523,77,539,0.9699,0.9449,0.7102,0.8109,0.9306,0.8312,0.7102,0.2898,0.9959,0.0041
65,2026-07-08 09:07:00,model_nb15_dos,nb15_ter20,"UDP_DDoS, Normal, DDoS, Botnet, Syn_DDoS",102300,378,18523,77,1482,0.9238,0.8308,0.2032,0.3266,0.5545,0.3161,0.2032,0.7968,0.9959,0.0041
72,2026-07-08 09:07:52,model_nb15_dos,nb15_sat20,"Syn_DDoS, Normal",102300,1699,18523,77,161,0.9884,0.9566,0.9134,0.9345,0.997,0.9724,0.9134,0.0866,0.9959,0.0041
79,2026-07-08 09:08:45,model_nb15_dos,nb15_sat20,"UDP_DDoS, Normal",102300,924,18523,77,936,0.9505,0.9231,0.4968,0.6459,0.865,0.6878,0.4968,0.5032,0.9959,0.0041
86,2026-07-08 09:09:39,model_nb15_dos,nb15_ter20,"Botnet, Normal",102300,34,18523,77,1826,0.907,0.3063,0.0183,0.0345,0.445,0.1301,0.0183,0.9817,0.9959,0.0041
93,2026-07-08 09:10:33,model_nb15_dos,nb15_ter20,"DDoS, Normal",102300,76,18523,77,1784,0.909,0.4967,0.0409,0.0755,0.4136,0.1173,0.0409,0.9591,0.9959,0.0041
100,2026-07-08 09:11:26,model_nb15_dos,nb15_ter20,"Syn_DDoS, Normal",102300,1124,18523,77,736,0.9603,0.9359,0.6043,0.7344,0.9911,0.9208,0.6043,0.3957,0.9959,0.0041
107,2026-07-08 09:12:18,model_nb15_dos,nb15_ter20,"UDP_DDoS, Normal",102300,1694,18523,77,166,0.9881,0.9565,0.9108,0.9331,0.997,0.9721,0.9108,0.0892,0.9959,0.0041
