id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
1,2026-07-08 08:58:48,model_nb15_aggregate,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,1506,18476,124,354,0.9766,0.9239,0.8097,0.863,0.9723,0.915,0.8097,0.1903,0.9933,0.0067
2,2026-07-08 08:58:58,model_nb15_dos,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,1291,18523,77,569,0.9684,0.9437,0.6941,0.7999,0.908,0.8317,0.6941,0.3059,0.9959,0.0041
3,2026-07-08 08:59:04,model_nb15_exploits,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,744,18478,122,1116,0.9395,0.8591,0.4,0.5459,0.9149,0.7912,0.4,0.6,0.9934,0.0066
4,2026-07-08 08:59:12,model_nb15_fuzzers,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,544,18257,343,1316,0.9189,0.6133,0.2925,0.3961,0.8381,0.4688,0.2925,0.7075,0.9816,0.0184
5,2026-07-08 08:59:25,model_nb15_generic,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,1087,18593,7,773,0.9619,0.9936,0.5844,0.736,0.8518,0.7667,0.5844,0.4156,0.9996,0.0004
6,2026-07-08 08:59:27,model_nb15_reconnaissance,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,1254,18490,110,606,0.965,0.9194,0.6742,0.7779,0.876,0.7851,0.6742,0.3258,0.9941,0.0059
7,2026-07-08 08:59:30,model_hybrid_aggregate,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,1470,18482,118,390,0.9752,0.9257,0.7903,0.8527,0.9619,0.8962,0.7903,0.2097,0.9937,0.0063
8,2026-07-08 08:59:42,model_nb15_aggregate,nb15,"DoS, Normal",102300,1669,18476,124,191,0.9846,0.9308,0.8973,0.9138,0.9826,0.9544,0.8973,0.1027,0.9933,0.0067
9,2026-07-08 08:59:51,model_nb15_dos,nb15,"DoS, Normal",102300,1722,18523,77,138,0.9895,0.9572,0.9258,0.9412,0.9883,0.9713,0.9258,0.0742,0.9959,0.0041
10,2026-07-08 08:59:58,model_nb15_exploits,nb15,"DoS, Normal",102300,1700,18478,122,160,0.9862,0.933,0.914,0.9234,0.9848,0.9569,0.914,0.086,0.9934,0.0066
11,2026-07-08 09:00:07,model_nb15_fuzzers,nb15,"DoS, Normal",102300,1456,18257,343,404,0.9635,0.8093,0.7828,0.7958,0.9532,0.855,0.7828,0.2172,0.9816,0.0184
12,2026-07-08 09:00:19,model_nb15_generic,nb15,"DoS, Normal",102300,1299,18593,7,561,0.9722,0.9946,0.6984,0.8206,0.9381,0.8955,0.6984,0.3016,0.9996,0.0004
13,2026-07-08 09:00:22,model_nb15_reconnaissance,nb15,"DoS, Normal",102300,1433,18490,110,427,0.9738,0.9287,0.7704,0.8422,0.93,0.8742,0.7704,0.2296,0.9941,0.0059
14,2026-07-08 09:00:25,model_hybrid_aggregate,nb15,"DoS, Normal",102300,1636,18482,118,224,0.9833,0.9327,0.8796,0.9054,0.9799,0.9446,0.8796,0.1204,0.9937,0.0063
15,2026-07-08 09:00:37,model_nb15_aggregate,nb15,"Exploits, Normal",102300,1505,18476,124,355,0.9766,0.9239,0.8091,0.8627,0.9749,0.9192,0.8091,0.1909,0.9933,0.0067
16,2026-07-08 09:00:47,model_nb15_dos,nb15,"Exploits, Normal",102300,1273,18523,77,587,0.9675,0.943,0.6844,0.7931,0.9574,0.8942,0.6844,0.3156,0.9959,0.0041
17,2026-07-08 09:00:53,model_nb15_exploits,nb15,"Exploits, Normal",102300,1631,18478,122,229,0.9828,0.9304,0.8769,0.9029,0.9872,0.952,0.8769,0.1231,0.9934,0.0066
18,2026-07-08 09:01:02,model_nb15_fuzzers,nb15,"Exploits, Normal",102300,795,18257,343,1065,0.9312,0.6986,0.4274,0.5304,0.867,0.604,0.4274,0.5726,0.9816,0.0184
19,2026-07-08 09:01:14,model_nb15_generic,nb15,"Exploits, Normal",102300,709,18593,7,1151,0.9434,0.9902,0.3812,0.5505,0.8747,0.7784,0.3812,0.6188,0.9996,0.0004
20,2026-07-08 09:01:16,model_nb15_reconnaissance,nb15,"Exploits, Normal",102300,827,18490,110,1033,0.9441,0.8826,0.4446,0.5913,0.8302,0.6823,0.4446,0.5554,0.9941,0.0059
21,2026-07-08 09:01:19,model_hybrid_aggregate,nb15,"Exploits, Normal",102300,1438,18482,118,422,0.9736,0.9242,0.7731,0.8419,0.9604,0.8905,0.7731,0.2269,0.9937,0.0063
22,2026-07-08 09:01:32,model_nb15_aggregate,nb15,"Fuzzers, Normal",102300,470,18476,124,1390,0.926,0.7912,0.2527,0.383,0.8583,0.5485,0.2527,0.7473,0.9933,0.0067
23,2026-07-08 09:01:41,model_nb15_dos,nb15,"Fuzzers, Normal",102300,321,18523,77,1539,0.921,0.8065,0.1726,0.2843,0.6623,0.3686,0.1726,0.8274,0.9959,0.0041
24,2026-07-08 09:01:48,model_nb15_exploits,nb15,"Fuzzers, Normal",102300,326,18478,122,1534,0.9191,0.7277,0.1753,0.2825,0.6609,0.3498,0.1753,0.8247,0.9934,0.0066
25,2026-07-08 09:01:56,model_nb15_fuzzers,nb15,"Fuzzers, Normal",102300,845,18257,343,1015,0.9336,0.7113,0.4543,0.5545,0.9334,0.6513,0.4543,0.5457,0.9816,0.0184
