id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
7,2026-07-07 19:18:08,model_hybrid_aggregate,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,1494,18476,124,366,0.9761,0.9234,0.8032,0.8591,0.964,0.8952,0.8032,0.1968,0.9933,0.0067
14,2026-07-07 19:20:23,model_hybrid_aggregate,nb15,"DoS, Normal",102300,1679,18476,124,181,0.9851,0.9312,0.9027,0.9167,0.982,0.946,0.9027,0.0973,0.9933,0.0067
21,2026-07-07 19:22:33,model_hybrid_aggregate,nb15,"Exploits, Normal",102300,1509,18476,124,351,0.9768,0.9241,0.8113,0.864,0.9661,0.9005,0.8113,0.1887,0.9933,0.0067
28,2026-07-07 19:24:47,model_hybrid_aggregate,nb15,"Fuzzers, Normal",102300,407,18476,124,1453,0.9229,0.7665,0.2188,0.3404,0.8497,0.5111,0.2188,0.7812,0.9933,0.0067
35,2026-07-07 19:26:54,model_hybrid_aggregate,nb15,"Generic, Normal",102300,1845,18476,124,15,0.9932,0.937,0.9919,0.9637,0.9985,0.9924,0.9919,0.0081,0.9933,0.0067
42,2026-07-07 19:29:05,model_hybrid_aggregate,nb15,"Reconnaissance, Normal",102300,1595,18476,124,265,0.981,0.9279,0.8575,0.8913,0.969,0.9001,0.8575,0.1425,0.9933,0.0067
49,2026-07-07 19:31:15,model_hybrid_aggregate,hybrid,"DDoS, Normal, Generic, UDP_DDoS, Exploits, Fuzzers, DoS, Reconnaissance, Botnet, Syn_DDoS",102300,1598,18476,124,262,0.9811,0.928,0.8591,0.8922,0.9707,0.922,0.8591,0.1409,0.9933,0.0067
56,2026-07-07 19:33:27,model_hybrid_aggregate,nb15_stin,"UDP_DDoS, Normal, Botnet, Syn_DDoS, DDoS",102300,1749,18476,124,111,0.9885,0.9338,0.9403,0.937,0.9899,0.9697,0.9403,0.0597,0.9933,0.0067
63,2026-07-07 19:35:37,model_hybrid_aggregate,nb15_sat20,"UDP_DDoS, Normal, Syn_DDoS",102300,1842,18476,124,18,0.9931,0.9369,0.9903,0.9629,0.9992,0.9929,0.9903,0.0097,0.9933,0.0067
70,2026-07-07 19:37:47,model_hybrid_aggregate,nb15_ter20,"UDP_DDoS, Normal, DDoS, Botnet, Syn_DDoS",102300,1717,18476,124,143,0.987,0.9326,0.9231,0.9279,0.9909,0.9687,0.9231,0.0769,0.9933,0.0067
77,2026-07-07 19:39:56,model_hybrid_aggregate,nb15_sat20,"Syn_DDoS, Normal",102300,1860,18476,124,0,0.9939,0.9375,1.0,0.9677,0.9998,0.9957,1.0,0.0,0.9933,0.0067
84,2026-07-07 19:42:08,model_hybrid_aggregate,nb15_sat20,"UDP_DDoS, Normal",102300,1822,18476,124,38,0.9921,0.9363,0.9796,0.9574,0.9967,0.987,0.9796,0.0204,0.9933,0.0067
91,2026-07-07 19:44:22,model_hybrid_aggregate,nb15_ter20,"Botnet, Normal",102300,1797,18476,124,63,0.9909,0.9355,0.9661,0.9505,0.9941,0.9831,0.9661,0.0339,0.9933,0.0067
98,2026-07-07 19:46:34,model_hybrid_aggregate,nb15_ter20,"DDoS, Normal",102300,1589,18476,124,271,0.9807,0.9276,0.8543,0.8894,0.9802,0.9367,0.8543,0.1457,0.9933,0.0067
105,2026-07-07 19:48:41,model_hybrid_aggregate,nb15_ter20,"Syn_DDoS, Normal",102300,1860,18476,124,0,0.9939,0.9375,1.0,0.9677,0.9997,0.9952,1.0,0.0,0.9933,0.0067
112,2026-07-07 19:50:51,model_hybrid_aggregate,nb15_ter20,"UDP_DDoS, Normal",102300,1859,18476,124,1,0.9939,0.9375,0.9995,0.9675,0.9998,0.9957,0.9995,0.0005,0.9933,0.0067
