id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
2,2026-07-07 19:16:43,model_nb15_dos,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,1324,18519,81,536,0.9698,0.9423,0.7118,0.811,0.9157,0.8285,0.7118,0.2882,0.9956,0.0044
9,2026-07-07 19:19:00,model_nb15_dos,nb15,"DoS, Normal",102300,1739,18519,81,121,0.9901,0.9555,0.9349,0.9451,0.9903,0.9734,0.9349,0.0651,0.9956,0.0044
16,2026-07-07 19:21:12,model_nb15_dos,nb15,"Exploits, Normal",102300,1391,18519,81,469,0.9731,0.945,0.7478,0.8349,0.9578,0.8976,0.7478,0.2522,0.9956,0.0044
23,2026-07-07 19:23:22,model_nb15_dos,nb15,"Fuzzers, Normal",102300,298,18519,81,1562,0.9197,0.7863,0.1602,0.2662,0.6821,0.3366,0.1602,0.8398,0.9956,0.0044
30,2026-07-07 19:25:35,model_nb15_dos,nb15,"Generic, Normal",102300,1841,18519,81,19,0.9951,0.9579,0.9898,0.9736,0.9978,0.9945,0.9898,0.0102,0.9956,0.0044
37,2026-07-07 19:27:43,model_nb15_dos,nb15,"Reconnaissance, Normal",102300,331,18519,81,1529,0.9213,0.8034,0.178,0.2914,0.7701,0.4845,0.178,0.822,0.9956,0.0044
44,2026-07-07 19:29:56,model_nb15_dos,hybrid,"DDoS, Normal, Generic, UDP_DDoS, Exploits, Fuzzers, DoS, Reconnaissance, Botnet, Syn_DDoS",102300,1134,18519,81,726,0.9606,0.9333,0.6097,0.7376,0.8597,0.728,0.6097,0.3903,0.9956,0.0044
51,2026-07-07 19:32:05,model_nb15_dos,nb15_stin,"UDP_DDoS, Normal, Botnet, Syn_DDoS, DDoS",102300,712,18519,81,1148,0.9399,0.8979,0.3828,0.5368,0.7429,0.4881,0.3828,0.6172,0.9956,0.0044
58,2026-07-07 19:34:16,model_nb15_dos,nb15_sat20,"UDP_DDoS, Normal, Syn_DDoS",102300,1314,18519,81,546,0.9694,0.9419,0.7065,0.8074,0.9416,0.824,0.7065,0.2935,0.9956,0.0044
65,2026-07-07 19:36:25,model_nb15_dos,nb15_ter20,"UDP_DDoS, Normal, DDoS, Botnet, Syn_DDoS",102300,375,18519,81,1485,0.9235,0.8224,0.2016,0.3238,0.629,0.3052,0.2016,0.7984,0.9956,0.0044
72,2026-07-07 19:38:36,model_nb15_dos,nb15_sat20,"Syn_DDoS, Normal",102300,1699,18519,81,161,0.9882,0.9545,0.9134,0.9335,0.9971,0.967,0.9134,0.0866,0.9956,0.0044
79,2026-07-07 19:40:45,model_nb15_dos,nb15_sat20,"UDP_DDoS, Normal",102300,916,18519,81,944,0.9499,0.9188,0.4925,0.6412,0.8863,0.7014,0.4925,0.5075,0.9956,0.0044
86,2026-07-07 19:42:58,model_nb15_dos,nb15_ter20,"Botnet, Normal",102300,38,18519,81,1822,0.907,0.3193,0.0204,0.0384,0.5368,0.1191,0.0204,0.9796,0.9956,0.0044
93,2026-07-07 19:45:12,model_nb15_dos,nb15_ter20,"DDoS, Normal",102300,76,18519,81,1784,0.9088,0.4841,0.0409,0.0754,0.5115,0.116,0.0409,0.9591,0.9956,0.0044
100,2026-07-07 19:47:22,model_nb15_dos,nb15_ter20,"Syn_DDoS, Normal",102300,1074,18519,81,786,0.9576,0.9299,0.5774,0.7124,0.9941,0.9347,0.5774,0.4226,0.9956,0.0044
107,2026-07-07 19:49:30,model_nb15_dos,nb15_ter20,"UDP_DDoS, Normal",102300,1694,18519,81,166,0.9879,0.9544,0.9108,0.932,0.997,0.9643,0.9108,0.0892,0.9956,0.0044
