id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
4,2026-07-07 19:17:22,model_nb15_fuzzers,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,525,18255,345,1335,0.9179,0.6034,0.2823,0.3846,0.8336,0.4551,0.2823,0.7177,0.9815,0.0185
11,2026-07-07 19:19:37,model_nb15_fuzzers,nb15,"DoS, Normal",102300,1433,18255,345,427,0.9623,0.806,0.7704,0.7878,0.9423,0.8446,0.7704,0.2296,0.9815,0.0185
18,2026-07-07 19:21:49,model_nb15_fuzzers,nb15,"Exploits, Normal",102300,757,18255,345,1103,0.9292,0.6869,0.407,0.5111,0.8535,0.567,0.407,0.593,0.9815,0.0185
25,2026-07-07 19:24:01,model_nb15_fuzzers,nb15,"Fuzzers, Normal",102300,850,18255,345,1010,0.9338,0.7113,0.457,0.5565,0.9357,0.6574,0.457,0.543,0.9815,0.0185
32,2026-07-07 19:26:11,model_nb15_fuzzers,nb15,"Generic, Normal",102300,10,18255,345,1850,0.8927,0.0282,0.0054,0.009,0.7924,0.3162,0.0054,0.9946,0.9815,0.0185
39,2026-07-07 19:28:21,model_nb15_fuzzers,nb15,"Reconnaissance, Normal",102300,297,18255,345,1563,0.9067,0.4626,0.1597,0.2374,0.6545,0.2744,0.1597,0.8403,0.9815,0.0185
46,2026-07-07 19:30:32,model_nb15_fuzzers,hybrid,"DDoS, Normal, Generic, UDP_DDoS, Exploits, Fuzzers, DoS, Reconnaissance, Botnet, Syn_DDoS",102300,569,18255,345,1291,0.92,0.6225,0.3059,0.4102,0.8706,0.5073,0.3059,0.6941,0.9815,0.0185
53,2026-07-07 19:32:41,model_nb15_fuzzers,nb15_stin,"UDP_DDoS, Normal, Botnet, Syn_DDoS, DDoS",102300,604,18255,345,1256,0.9217,0.6365,0.3247,0.43,0.934,0.5983,0.3247,0.6753,0.9815,0.0185
60,2026-07-07 19:34:51,model_nb15_fuzzers,nb15_sat20,"UDP_DDoS, Normal, Syn_DDoS",102300,709,18255,345,1151,0.9269,0.6727,0.3812,0.4866,0.9456,0.6186,0.3812,0.6188,0.9815,0.0185
67,2026-07-07 19:37:02,model_nb15_fuzzers,nb15_ter20,"UDP_DDoS, Normal, DDoS, Botnet, Syn_DDoS",102300,626,18255,345,1234,0.9228,0.6447,0.3366,0.4422,0.9398,0.6379,0.3366,0.6634,0.9815,0.0185
74,2026-07-07 19:39:13,model_nb15_fuzzers,nb15_sat20,"Syn_DDoS, Normal",102300,0,18255,345,1860,0.8922,0.0,0.0,0.0,0.9288,0.5425,0.0,1.0,0.9815,0.0185
81,2026-07-07 19:41:22,model_nb15_fuzzers,nb15_sat20,"UDP_DDoS, Normal",102300,1248,18255,345,612,0.9532,0.7834,0.671,0.7228,0.9555,0.7487,0.671,0.329,0.9815,0.0185
88,2026-07-07 19:43:36,model_nb15_fuzzers,nb15_ter20,"Botnet, Normal",102300,1017,18255,345,843,0.9419,0.7467,0.5468,0.6313,0.9687,0.7854,0.5468,0.4532,0.9815,0.0185
95,2026-07-07 19:45:49,model_nb15_fuzzers,nb15_ter20,"DDoS, Normal",102300,631,18255,345,1229,0.9231,0.6465,0.3392,0.445,0.9238,0.6495,0.3392,0.6608,0.9815,0.0185
102,2026-07-07 19:47:58,model_nb15_fuzzers,nb15_ter20,"Syn_DDoS, Normal",102300,1,18255,345,1859,0.8923,0.0029,0.0005,0.0009,0.8907,0.4096,0.0005,0.9995,0.9815,0.0185
109,2026-07-07 19:50:07,model_nb15_fuzzers,nb15_ter20,"UDP_DDoS, Normal",102300,0,18255,345,1860,0.8922,0.0,0.0,0.0,0.9286,0.5206,0.0,1.0,0.9815,0.0185
