id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
1,2026-07-08 08:58:48,model_nb15_aggregate,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,1506,18476,124,354,0.9766,0.9239,0.8097,0.863,0.9723,0.915,0.8097,0.1903,0.9933,0.0067
8,2026-07-08 08:59:42,model_nb15_aggregate,nb15,"DoS, Normal",102300,1669,18476,124,191,0.9846,0.9308,0.8973,0.9138,0.9826,0.9544,0.8973,0.1027,0.9933,0.0067
15,2026-07-08 09:00:37,model_nb15_aggregate,nb15,"Exploits, Normal",102300,1505,18476,124,355,0.9766,0.9239,0.8091,0.8627,0.9749,0.9192,0.8091,0.1909,0.9933,0.0067
22,2026-07-08 09:01:32,model_nb15_aggregate,nb15,"Fuzzers, Normal",102300,470,18476,124,1390,0.926,0.7912,0.2527,0.383,0.8583,0.5485,0.2527,0.7473,0.9933,0.0067
29,2026-07-08 09:02:26,model_nb15_aggregate,nb15,"Generic, Normal",102300,1843,18476,124,17,0.9931,0.937,0.9909,0.9632,0.9987,0.9955,0.9909,0.0091,0.9933,0.0067
36,2026-07-08 09:03:17,model_nb15_aggregate,nb15,"Reconnaissance, Normal",102300,1604,18476,124,256,0.9814,0.9282,0.8624,0.8941,0.9793,0.9339,0.8624,0.1376,0.9933,0.0067
43,2026-07-08 09:04:12,model_nb15_aggregate,hybrid,"DDoS, Normal, Generic, UDP_DDoS, Exploits, Fuzzers, DoS, Reconnaissance, Botnet, Syn_DDoS",102300,1128,18476,124,732,0.9582,0.901,0.6065,0.7249,0.9249,0.8111,0.6065,0.3935,0.9933,0.0067
50,2026-07-08 09:05:05,model_nb15_aggregate,nb15_stin,"UDP_DDoS, Normal, Botnet, Syn_DDoS, DDoS",102300,298,18476,124,1562,0.9176,0.7062,0.1602,0.2612,0.8427,0.5153,0.1602,0.8398,0.9933,0.0067
57,2026-07-08 09:05:58,model_nb15_aggregate,nb15_sat20,"UDP_DDoS, Normal, Syn_DDoS",102300,546,18476,124,1314,0.9297,0.8149,0.2935,0.4316,0.9594,0.6956,0.2935,0.7065,0.9933,0.0067
64,2026-07-08 09:06:51,model_nb15_aggregate,nb15_ter20,"UDP_DDoS, Normal, DDoS, Botnet, Syn_DDoS",102300,200,18476,124,1660,0.9128,0.6173,0.1075,0.1832,0.7883,0.454,0.1075,0.8925,0.9933,0.0067
71,2026-07-08 09:07:43,model_nb15_aggregate,nb15_sat20,"Syn_DDoS, Normal",102300,0,18476,124,1860,0.903,0.0,0.0,0.0,0.9361,0.6292,0.0,1.0,0.9933,0.0067
78,2026-07-08 09:08:35,model_nb15_aggregate,nb15_sat20,"UDP_DDoS, Normal",102300,906,18476,124,954,0.9473,0.8796,0.4871,0.627,0.9766,0.8221,0.4871,0.5129,0.9933,0.0067
85,2026-07-08 09:09:30,model_nb15_aggregate,nb15_ter20,"Botnet, Normal",102300,597,18476,124,1263,0.9322,0.828,0.321,0.4626,0.9733,0.7815,0.321,0.679,0.9933,0.0067
92,2026-07-08 09:10:24,model_nb15_aggregate,nb15_ter20,"DDoS, Normal",102300,33,18476,124,1827,0.9046,0.2102,0.0177,0.0327,0.5843,0.2486,0.0177,0.9823,0.9933,0.0067
99,2026-07-08 09:11:18,model_nb15_aggregate,nb15_ter20,"Syn_DDoS, Normal",102300,11,18476,124,1849,0.9036,0.0815,0.0059,0.011,0.8834,0.4526,0.0059,0.9941,0.9933,0.0067
106,2026-07-08 09:12:09,model_nb15_aggregate,nb15_ter20,"UDP_DDoS, Normal",102300,0,18476,124,1860,0.903,0.0,0.0,0.0,0.9358,0.6275,0.0,1.0,0.9933,0.0067
