id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
4,2026-07-08 08:59:12,model_nb15_fuzzers,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,544,18257,343,1316,0.9189,0.6133,0.2925,0.3961,0.8381,0.4688,0.2925,0.7075,0.9816,0.0184
11,2026-07-08 09:00:07,model_nb15_fuzzers,nb15,"DoS, Normal",102300,1456,18257,343,404,0.9635,0.8093,0.7828,0.7958,0.9532,0.855,0.7828,0.2172,0.9816,0.0184
18,2026-07-08 09:01:02,model_nb15_fuzzers,nb15,"Exploits, Normal",102300,795,18257,343,1065,0.9312,0.6986,0.4274,0.5304,0.867,0.604,0.4274,0.5726,0.9816,0.0184
25,2026-07-08 09:01:56,model_nb15_fuzzers,nb15,"Fuzzers, Normal",102300,845,18257,343,1015,0.9336,0.7113,0.4543,0.5545,0.9334,0.6513,0.4543,0.5457,0.9816,0.0184
32,2026-07-08 09:02:49,model_nb15_fuzzers,nb15,"Generic, Normal",102300,12,18257,343,1848,0.8929,0.0338,0.0065,0.0108,0.8045,0.3295,0.0065,0.9935,0.9816,0.0184
39,2026-07-08 09:03:42,model_nb15_fuzzers,nb15,"Reconnaissance, Normal",102300,298,18257,343,1562,0.9069,0.4649,0.1602,0.2383,0.607,0.2715,0.1602,0.8398,0.9816,0.0184
46,2026-07-08 09:04:37,model_nb15_fuzzers,hybrid,"DDoS, Normal, Generic, UDP_DDoS, Exploits, Fuzzers, DoS, Reconnaissance, Botnet, Syn_DDoS",102300,575,18257,343,1285,0.9204,0.6264,0.3091,0.414,0.8611,0.499,0.3091,0.6909,0.9816,0.0184
53,2026-07-08 09:05:29,model_nb15_fuzzers,nb15_stin,"UDP_DDoS, Normal, Botnet, Syn_DDoS, DDoS",102300,603,18257,343,1257,0.9218,0.6374,0.3242,0.4298,0.8961,0.5252,0.3242,0.6758,0.9816,0.0184
60,2026-07-08 09:06:22,model_nb15_fuzzers,nb15_sat20,"UDP_DDoS, Normal, Syn_DDoS",102300,712,18257,343,1148,0.9271,0.6749,0.3828,0.4885,0.8873,0.5129,0.3828,0.6172,0.9816,0.0184
67,2026-07-08 09:07:14,model_nb15_fuzzers,nb15_ter20,"UDP_DDoS, Normal, DDoS, Botnet, Syn_DDoS",102300,621,18257,343,1239,0.9227,0.6442,0.3339,0.4398,0.9146,0.5915,0.3339,0.6661,0.9816,0.0184
74,2026-07-08 09:08:06,model_nb15_fuzzers,nb15_sat20,"Syn_DDoS, Normal",102300,0,18257,343,1860,0.8923,0.0,0.0,0.0,0.7996,0.3148,0.0,1.0,0.9816,0.0184
81,2026-07-08 09:09:00,model_nb15_fuzzers,nb15_sat20,"UDP_DDoS, Normal",102300,1252,18257,343,608,0.9535,0.785,0.6731,0.7247,0.9561,0.7493,0.6731,0.3269,0.9816,0.0184
88,2026-07-08 09:09:55,model_nb15_fuzzers,nb15_ter20,"Botnet, Normal",102300,1019,18257,343,841,0.9421,0.7482,0.5478,0.6325,0.9735,0.7882,0.5478,0.4522,0.9816,0.0184
95,2026-07-08 09:10:48,model_nb15_fuzzers,nb15_ter20,"DDoS, Normal",102300,616,18257,343,1244,0.9224,0.6423,0.3312,0.437,0.919,0.6511,0.3312,0.6688,0.9816,0.0184
102,2026-07-08 09:11:41,model_nb15_fuzzers,nb15_ter20,"Syn_DDoS, Normal",102300,1,18257,343,1859,0.8924,0.0029,0.0005,0.0009,0.8067,0.2644,0.0005,0.9995,0.9816,0.0184
109,2026-07-08 09:12:31,model_nb15_fuzzers,nb15_ter20,"UDP_DDoS, Normal",102300,0,18257,343,1860,0.8923,0.0,0.0,0.0,0.7998,0.3142,0.0,1.0,0.9816,0.0184
