id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
5,2026-07-08 08:59:25,model_nb15_generic,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,1087,18593,7,773,0.9619,0.9936,0.5844,0.736,0.8518,0.7667,0.5844,0.4156,0.9996,0.0004
12,2026-07-08 09:00:19,model_nb15_generic,nb15,"DoS, Normal",102300,1299,18593,7,561,0.9722,0.9946,0.6984,0.8206,0.9381,0.8955,0.6984,0.3016,0.9996,0.0004
19,2026-07-08 09:01:14,model_nb15_generic,nb15,"Exploits, Normal",102300,709,18593,7,1151,0.9434,0.9902,0.3812,0.5505,0.8747,0.7784,0.3812,0.6188,0.9996,0.0004
26,2026-07-08 09:02:08,model_nb15_generic,nb15,"Fuzzers, Normal",102300,232,18593,7,1628,0.9201,0.9707,0.1247,0.2211,0.5829,0.3215,0.1247,0.8753,0.9996,0.0004
33,2026-07-08 09:03:00,model_nb15_generic,nb15,"Generic, Normal",102300,1833,18593,7,27,0.9983,0.9962,0.9855,0.9908,0.9969,0.9952,0.9855,0.0145,0.9996,0.0004
40,2026-07-08 09:03:54,model_nb15_generic,nb15,"Reconnaissance, Normal",102300,258,18593,7,1602,0.9214,0.9736,0.1387,0.2428,0.4881,0.2466,0.1387,0.8613,0.9996,0.0004
47,2026-07-08 09:04:49,model_nb15_generic,hybrid,"DDoS, Normal, Generic, UDP_DDoS, Exploits, Fuzzers, DoS, Reconnaissance, Botnet, Syn_DDoS",102300,755,18593,7,1105,0.9457,0.9908,0.4059,0.5759,0.7317,0.59,0.4059,0.5941,0.9996,0.0004
54,2026-07-08 09:05:41,model_nb15_generic,nb15_stin,"UDP_DDoS, Normal, Botnet, Syn_DDoS, DDoS",102300,14,18593,7,1846,0.9094,0.6667,0.0075,0.0149,0.4916,0.2096,0.0075,0.9925,0.9996,0.0004
61,2026-07-08 09:06:34,model_nb15_generic,nb15_sat20,"UDP_DDoS, Normal, Syn_DDoS",102300,38,18593,7,1822,0.9106,0.8444,0.0204,0.0399,0.5844,0.365,0.0204,0.9796,0.9996,0.0004
68,2026-07-08 09:07:26,model_nb15_generic,nb15_ter20,"UDP_DDoS, Normal, DDoS, Botnet, Syn_DDoS",102300,7,18593,7,1853,0.9091,0.5,0.0038,0.0075,0.4556,0.1296,0.0038,0.9962,0.9996,0.0004
75,2026-07-08 09:08:18,model_nb15_generic,nb15_sat20,"Syn_DDoS, Normal",102300,0,18593,7,1860,0.9087,0.0,0.0,0.0,0.4253,0.101,0.0,1.0,0.9996,0.0004
82,2026-07-08 09:09:12,model_nb15_generic,nb15_sat20,"UDP_DDoS, Normal",102300,50,18593,7,1810,0.9112,0.8772,0.0269,0.0522,0.6803,0.5236,0.0269,0.9731,0.9996,0.0004
89,2026-07-08 09:10:07,model_nb15_generic,nb15_ter20,"Botnet, Normal",102300,0,18593,7,1860,0.9087,0.0,0.0,0.0,0.4961,0.196,0.0,1.0,0.9996,0.0004
96,2026-07-08 09:11:00,model_nb15_generic,nb15_ter20,"DDoS, Normal",102300,1,18593,7,1859,0.9088,0.125,0.0005,0.0011,0.3933,0.096,0.0005,0.9995,0.9996,0.0004
103,2026-07-08 09:11:53,model_nb15_generic,nb15_ter20,"Syn_DDoS, Normal",102300,0,18593,7,1860,0.9087,0.0,0.0,0.0,0.6106,0.2616,0.0,1.0,0.9996,0.0004
110,2026-07-08 09:12:43,model_nb15_generic,nb15_ter20,"UDP_DDoS, Normal",102300,0,18593,7,1860,0.9087,0.0,0.0,0.0,0.4269,0.1015,0.0,1.0,0.9996,0.0004
