id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
4,2026-07-07 17:42:33,model_nb15_fuzzers,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,565,18007,593,1295,0.9077,0.4879,0.3038,0.3744,0.9046,0.5351,0.3038,0.6962,0.9681,0.0319
11,2026-07-07 17:46:47,model_nb15_fuzzers,nb15,"DoS, Normal",102300,1435,18007,593,425,0.9502,0.7076,0.7715,0.7382,0.9461,0.8401,0.7715,0.2285,0.9681,0.0319
18,2026-07-07 17:50:58,model_nb15_fuzzers,nb15,"Exploits, Normal",102300,766,18007,593,1094,0.9175,0.5636,0.4118,0.4759,0.8783,0.5685,0.4118,0.5882,0.9681,0.0319
25,2026-07-07 17:55:10,model_nb15_fuzzers,nb15,"Fuzzers, Normal",102300,945,18007,593,915,0.9263,0.6144,0.5081,0.5562,0.926,0.6245,0.5081,0.4919,0.9681,0.0319
32,2026-07-07 17:59:18,model_nb15_fuzzers,nb15,"Generic, Normal",102300,72,18007,593,1788,0.8836,0.1083,0.0387,0.057,0.9117,0.3654,0.0387,0.9613,0.9681,0.0319
39,2026-07-07 18:04:26,model_nb15_fuzzers,nb15,"Reconnaissance, Normal",102300,395,18007,593,1465,0.8994,0.3998,0.2124,0.2774,0.8947,0.4327,0.2124,0.7876,0.9681,0.0319
46,2026-07-07 18:09:25,model_nb15_fuzzers,hybrid,"DDoS, Normal, Generic, UDP_DDoS, Exploits, Fuzzers, DoS, Reconnaissance, Botnet, Syn_DDoS",102300,627,18007,593,1233,0.9108,0.5139,0.3371,0.4071,0.9179,0.5341,0.3371,0.6629,0.9681,0.0319
53,2026-07-07 18:14:25,model_nb15_fuzzers,nb15_stin,"UDP_DDoS, Normal, Botnet, Syn_DDoS, DDoS",102300,640,18007,593,1220,0.9114,0.5191,0.3441,0.4138,0.9321,0.4742,0.3441,0.6559,0.9681,0.0319
60,2026-07-07 18:19:27,model_nb15_fuzzers,nb15_sat20,"UDP_DDoS, Normal, Syn_DDoS",102300,416,18007,593,1444,0.9004,0.4123,0.2237,0.29,0.9243,0.4196,0.2237,0.7763,0.9681,0.0319
67,2026-07-07 18:24:31,model_nb15_fuzzers,nb15_ter20,"UDP_DDoS, Normal, DDoS, Botnet, Syn_DDoS",102300,769,18007,593,1091,0.9177,0.5646,0.4134,0.4773,0.9368,0.5226,0.4134,0.5866,0.9681,0.0319
74,2026-07-07 18:29:27,model_nb15_fuzzers,nb15_sat20,"Syn_DDoS, Normal",102300,0,18007,593,1860,0.8801,0.0,0.0,0.0,0.8761,0.3263,0.0,1.0,0.9681,0.0319
81,2026-07-07 18:35:50,model_nb15_fuzzers,nb15_sat20,"UDP_DDoS, Normal",102300,848,18007,593,1012,0.9216,0.5885,0.4559,0.5138,0.9654,0.5869,0.4559,0.5441,0.9681,0.0319
88,2026-07-07 18:41:28,model_nb15_fuzzers,nb15_ter20,"Botnet, Normal",102300,982,18007,593,878,0.9281,0.6235,0.528,0.5718,0.9528,0.5409,0.528,0.472,0.9681,0.0319
95,2026-07-07 18:46:27,model_nb15_fuzzers,nb15_ter20,"DDoS, Normal",102300,1046,18007,593,814,0.9312,0.6382,0.5624,0.5979,0.9653,0.6879,0.5624,0.4376,0.9681,0.0319
102,2026-07-07 18:50:23,model_nb15_fuzzers,nb15_ter20,"Syn_DDoS, Normal",102300,1,18007,593,1859,0.8802,0.0017,0.0005,0.0008,0.8558,0.2684,0.0005,0.9995,0.9681,0.0319
109,2026-07-07 18:54:26,model_nb15_fuzzers,nb15_ter20,"UDP_DDoS, Normal",102300,0,18007,593,1860,0.8801,0.0,0.0,0.0,0.8675,0.311,0.0,1.0,0.9681,0.0319
