id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
1,2026-07-07 17:40:47,model_nb15_aggregate,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,1536,18444,156,324,0.9765,0.9078,0.8258,0.8649,0.9712,0.9122,0.8258,0.1742,0.9916,0.0084
2,2026-07-07 17:41:36,model_nb15_dos,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,1210,18540,60,650,0.9653,0.9528,0.6505,0.7732,0.9331,0.8438,0.6505,0.3495,0.9968,0.0032
3,2026-07-07 17:42:00,model_nb15_exploits,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,764,18482,118,1096,0.9407,0.8662,0.4108,0.5573,0.9036,0.6997,0.4108,0.5892,0.9937,0.0063
4,2026-07-07 17:42:33,model_nb15_fuzzers,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,565,18007,593,1295,0.9077,0.4879,0.3038,0.3744,0.9046,0.5351,0.3038,0.6962,0.9681,0.0319
5,2026-07-07 17:44:04,model_nb15_generic,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,1050,18593,7,810,0.9601,0.9934,0.5645,0.7199,0.886,0.7872,0.5645,0.4355,0.9996,0.0004
6,2026-07-07 17:44:10,model_nb15_reconnaissance,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,1183,18530,70,677,0.9635,0.9441,0.636,0.76,0.899,0.7852,0.636,0.364,0.9962,0.0038
7,2026-07-07 17:44:23,model_hybrid_aggregate,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,1490,18509,91,370,0.9775,0.9424,0.8011,0.866,0.9689,0.9108,0.8011,0.1989,0.9951,0.0049
8,2026-07-07 17:45:08,model_nb15_aggregate,nb15,"DoS, Normal",102300,1701,18444,156,159,0.9846,0.916,0.9145,0.9153,0.9891,0.9605,0.9145,0.0855,0.9916,0.0084
9,2026-07-07 17:45:51,model_nb15_dos,nb15,"DoS, Normal",102300,1733,18540,60,127,0.9909,0.9665,0.9317,0.9488,0.9945,0.979,0.9317,0.0683,0.9968,0.0032
10,2026-07-07 17:46:16,model_nb15_exploits,nb15,"DoS, Normal",102300,1716,18482,118,144,0.9872,0.9357,0.9226,0.9291,0.9911,0.9677,0.9226,0.0774,0.9937,0.0063
11,2026-07-07 17:46:47,model_nb15_fuzzers,nb15,"DoS, Normal",102300,1435,18007,593,425,0.9502,0.7076,0.7715,0.7382,0.9461,0.8401,0.7715,0.2285,0.9681,0.0319
12,2026-07-07 17:48:15,model_nb15_generic,nb15,"DoS, Normal",102300,1249,18593,7,611,0.9698,0.9944,0.6715,0.8017,0.9513,0.9042,0.6715,0.3285,0.9996,0.0004
13,2026-07-07 17:48:21,model_nb15_reconnaissance,nb15,"DoS, Normal",102300,1427,18530,70,433,0.9754,0.9532,0.7672,0.8502,0.9439,0.8796,0.7672,0.2328,0.9962,0.0038
14,2026-07-07 17:48:33,model_hybrid_aggregate,nb15,"DoS, Normal",102300,1664,18509,91,196,0.986,0.9481,0.8946,0.9206,0.9901,0.9632,0.8946,0.1054,0.9951,0.0049
15,2026-07-07 17:49:16,model_nb15_aggregate,nb15,"Exploits, Normal",102300,1574,18444,156,286,0.9784,0.9098,0.8462,0.8769,0.9828,0.9325,0.8462,0.1538,0.9916,0.0084
16,2026-07-07 17:50:01,model_nb15_dos,nb15,"Exploits, Normal",102300,1403,18540,60,457,0.9747,0.959,0.7543,0.8444,0.975,0.9261,0.7543,0.2457,0.9968,0.0032
17,2026-07-07 17:50:25,model_nb15_exploits,nb15,"Exploits, Normal",102300,1666,18482,118,194,0.9848,0.9339,0.8957,0.9144,0.9883,0.9557,0.8957,0.1043,0.9937,0.0063
18,2026-07-07 17:50:58,model_nb15_fuzzers,nb15,"Exploits, Normal",102300,766,18007,593,1094,0.9175,0.5636,0.4118,0.4759,0.8783,0.5685,0.4118,0.5882,0.9681,0.0319
19,2026-07-07 17:52:27,model_nb15_generic,nb15,"Exploits, Normal",102300,682,18593,7,1178,0.9421,0.9898,0.3667,0.5351,0.9213,0.84,0.3667,0.6333,0.9996,0.0004
