id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
2,2026-07-16 16:39:15,nb15_dos,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,1098,18484,116,762,0.9571,0.9044,0.5903,0.7144,0.7981,0.5816,0.5903,0.4097,0.9938,0.0062
9,2026-07-16 16:39:28,nb15_dos,nb15,"Normal, DoS",102300,1736,18484,116,124,0.9883,0.9374,0.9333,0.9353,0.9671,0.8732,0.9333,0.0667,0.9938,0.0062
16,2026-07-16 16:39:40,nb15_dos,nb15,"Normal, Exploits",102300,1347,18484,116,513,0.9693,0.9207,0.7242,0.8107,0.8574,0.6874,0.7242,0.2758,0.9938,0.0062
23,2026-07-16 16:39:53,nb15_dos,nb15,"Normal, Fuzzers",102300,325,18484,116,1535,0.9193,0.737,0.1747,0.2825,0.6094,0.2306,0.1747,0.8253,0.9938,0.0062
30,2026-07-16 16:40:05,nb15_dos,nb15,"Normal, Generic",102300,1171,18484,116,689,0.9607,0.9099,0.6296,0.7442,0.8077,0.609,0.6296,0.3704,0.9938,0.0062
37,2026-07-16 16:40:18,nb15_dos,nb15,"Normal, Reconnaissance",102300,376,18484,116,1484,0.9218,0.7642,0.2022,0.3197,0.6203,0.2627,0.2022,0.7978,0.9938,0.0062
44,2026-07-16 16:40:30,nb15_dos,injection,"Normal, Generic, Exploits, DoS, Fuzzers, Reconnaissance, UDP_DDoS, DDoS, Syn_DDoS, Botnet",102300,1084,18484,116,776,0.9564,0.9033,0.5828,0.7085,0.7935,0.5739,0.5828,0.4172,0.9938,0.0062
51,2026-07-16 16:40:42,nb15_dos,nb15_stin,"Normal, DDoS, Syn_DDoS, UDP_DDoS, Botnet",102300,784,18484,116,1076,0.9417,0.8711,0.4215,0.5681,0.701,0.4218,0.4215,0.5785,0.9938,0.0062
58,2026-07-16 16:40:54,nb15_dos,nb15_sat20,"Normal, Syn_DDoS, UDP_DDoS",102300,1408,18484,116,452,0.9722,0.9239,0.757,0.8322,0.8727,0.7238,0.757,0.243,0.9938,0.0062
65,2026-07-16 16:41:07,nb15_dos,nb15_ter20,"Normal, DDoS, UDP_DDoS, Botnet, Syn_DDoS",102300,366,18484,116,1494,0.9213,0.7593,0.1968,0.3126,0.5868,0.2248,0.1968,0.8032,0.9938,0.0062
72,2026-07-16 16:41:19,nb15_dos,nb15_sat20,"Normal, Syn_DDoS",102300,1707,18484,116,153,0.9869,0.9364,0.9177,0.927,0.9549,0.8692,0.9177,0.0823,0.9938,0.0062
79,2026-07-16 16:41:30,nb15_dos,nb15_sat20,"Normal, UDP_DDoS",102300,1153,18484,116,707,0.9598,0.9086,0.6199,0.737,0.8025,0.6,0.6199,0.3801,0.9938,0.0062
86,2026-07-16 16:41:42,nb15_dos,nb15_ter20,"Normal, Botnet",102300,61,18484,116,1799,0.9064,0.3446,0.0328,0.0599,0.5026,0.0998,0.0328,0.9672,0.9938,0.0062
93,2026-07-16 16:41:54,nb15_dos,nb15_ter20,"Normal, DDoS",102300,83,18484,116,1777,0.9075,0.4171,0.0446,0.0806,0.5081,0.1057,0.0446,0.9554,0.9938,0.0062
100,2026-07-16 16:42:06,nb15_dos,nb15_ter20,"Normal, Syn_DDoS",102300,1126,18484,116,734,0.9585,0.9066,0.6054,0.726,0.7951,0.5869,0.6054,0.3946,0.9938,0.0062
107,2026-07-16 16:42:18,nb15_dos,nb15_ter20,"Normal, UDP_DDoS",102300,1518,18484,116,342,0.9776,0.929,0.8161,0.8689,0.9029,0.7772,0.8161,0.1839,0.9938,0.0062
