id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
10,2026-07-17 09:17:56,injection_aggregate,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,1538,18321,279,322,0.9706,0.8465,0.8269,0.8366,0.9131,0.7187,0.8269,0.1731,0.985,0.015
20,2026-07-17 09:18:11,injection_aggregate,nb15,"Normal, DoS",102300,1696,18321,279,164,0.9783,0.8587,0.9118,0.8845,0.9502,0.7646,0.9118,0.0882,0.985,0.015
30,2026-07-17 09:18:27,injection_aggregate,nb15,"Normal, Exploits",102300,1561,18321,279,299,0.9717,0.8484,0.8392,0.8438,0.9098,0.7145,0.8392,0.1608,0.985,0.015
40,2026-07-17 09:18:44,injection_aggregate,nb15,"Normal, Fuzzers",102300,516,18321,279,1344,0.9207,0.6491,0.2774,0.3887,0.6758,0.2902,0.2774,0.7226,0.985,0.015
50,2026-07-17 09:19:00,injection_aggregate,nb15,"Normal, Generic",102300,1842,18321,279,18,0.9855,0.8685,0.9903,0.9254,0.9882,0.864,0.9903,0.0097,0.985,0.015
60,2026-07-17 09:19:16,injection_aggregate,nb15,"Normal, Reconnaissance",102300,1615,18321,279,245,0.9744,0.8527,0.8683,0.8604,0.9225,0.7113,0.8683,0.1317,0.985,0.015
70,2026-07-17 09:19:32,injection_aggregate,injection,"Normal, Generic, Exploits, DoS, Fuzzers, Reconnaissance, UDP_DDoS, DDoS, Syn_DDoS, Botnet",102300,1535,18321,279,325,0.9705,0.8462,0.8253,0.8356,0.9119,0.7176,0.8253,0.1747,0.985,0.015
80,2026-07-17 09:19:48,injection_aggregate,nb15_stin,"Normal, DDoS, Syn_DDoS, UDP_DDoS, Botnet",102300,1827,18321,279,33,0.9848,0.8675,0.9823,0.9213,0.9834,0.8562,0.9823,0.0177,0.985,0.015
90,2026-07-17 09:20:04,injection_aggregate,nb15_sat20,"Normal, Syn_DDoS, UDP_DDoS",102300,1825,18321,279,35,0.9847,0.8674,0.9812,0.9208,0.9829,0.8552,0.9812,0.0188,0.985,0.015
100,2026-07-17 09:20:20,injection_aggregate,nb15_ter20,"Normal, DDoS, UDP_DDoS, Botnet, Syn_DDoS",102300,1828,18321,279,32,0.9848,0.8676,0.9828,0.9216,0.9842,0.8573,0.9828,0.0172,0.985,0.015
110,2026-07-17 09:20:36,injection_aggregate,nb15_sat20,"Normal, Syn_DDoS",102300,1789,18321,279,71,0.9829,0.8651,0.9618,0.9109,0.9728,0.838,0.9618,0.0382,0.985,0.015
120,2026-07-17 09:20:52,injection_aggregate,nb15_sat20,"Normal, UDP_DDoS",102300,1859,18321,279,1,0.9863,0.8695,0.9995,0.93,0.9924,0.8715,0.9995,0.0005,0.985,0.015
130,2026-07-17 09:21:08,injection_aggregate,nb15_ter20,"Normal, Botnet",102300,1858,18321,279,2,0.9863,0.8694,0.9989,0.9297,0.9921,0.8711,0.9989,0.0011,0.985,0.015
140,2026-07-17 09:21:25,injection_aggregate,nb15_ter20,"Normal, DDoS",102300,1859,18321,279,1,0.9863,0.8695,0.9995,0.93,0.9924,0.8715,0.9995,0.0005,0.985,0.015
150,2026-07-17 09:21:41,injection_aggregate,nb15_ter20,"Normal, Syn_DDoS",102300,1800,18321,279,60,0.9834,0.8658,0.9677,0.9139,0.9759,0.8432,0.9677,0.0323,0.985,0.015
160,2026-07-17 09:21:58,injection_aggregate,nb15_ter20,"Normal, UDP_DDoS",102300,1675,18321,279,185,0.9773,0.8572,0.9005,0.8783,0.9408,0.7834,0.9005,0.0995,0.985,0.015
