id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
5,2026-07-16 16:56:06,nb15_generic,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,1119,18591,9,741,0.9633,0.992,0.6016,0.749,0.8009,0.6335,0.6016,0.3984,0.9995,0.0005
12,2026-07-16 16:56:18,nb15_generic,nb15,"Normal, DoS",102300,1361,18591,9,499,0.9752,0.9934,0.7317,0.8427,0.8663,0.7505,0.7317,0.2683,0.9995,0.0005
19,2026-07-16 16:56:30,nb15_generic,nb15,"Normal, Exploits",102300,798,18591,9,1062,0.9477,0.9888,0.429,0.5984,0.7138,0.4746,0.429,0.571,0.9995,0.0005
26,2026-07-16 16:56:42,nb15_generic,nb15,"Normal, Fuzzers",102300,225,18591,9,1635,0.9196,0.9615,0.121,0.2149,0.5616,0.1975,0.121,0.879,0.9995,0.0005
33,2026-07-16 16:56:54,nb15_generic,nb15,"Normal, Generic",102300,1835,18591,9,25,0.9983,0.9951,0.9866,0.9908,0.993,0.983,0.9866,0.0134,0.9995,0.0005
40,2026-07-16 16:57:05,nb15_generic,nb15,"Normal, Reconnaissance",102300,262,18591,9,1598,0.9215,0.9668,0.1409,0.2459,0.5694,0.2122,0.1409,0.8591,0.9995,0.0005
47,2026-07-16 16:57:18,nb15_generic,injection,"Normal, Generic, Exploits, DoS, Fuzzers, Reconnaissance, UDP_DDoS, DDoS, Syn_DDoS, Botnet",102300,1107,18591,9,753,0.9628,0.9919,0.5952,0.744,0.7968,0.6263,0.5952,0.4048,0.9995,0.0005
54,2026-07-16 16:57:29,nb15_generic,nb15_stin,"Normal, DDoS, Syn_DDoS, UDP_DDoS, Botnet",102300,257,18591,9,1603,0.9212,0.9662,0.1382,0.2418,0.5678,0.2118,0.1382,0.8618,0.9995,0.0005
61,2026-07-16 16:57:42,nb15_generic,nb15_sat20,"Normal, Syn_DDoS, UDP_DDoS",102300,610,18591,9,1250,0.9385,0.9855,0.328,0.4921,0.6629,0.3843,0.328,0.672,0.9995,0.0005
68,2026-07-16 16:57:54,nb15_generic,nb15_ter20,"Normal, DDoS, UDP_DDoS, Botnet, Syn_DDoS",102300,36,18591,9,1824,0.9104,0.8,0.0194,0.0378,0.5091,0.1053,0.0194,0.9806,0.9995,0.0005
75,2026-07-16 16:58:05,nb15_generic,nb15_sat20,"Normal, Syn_DDoS",102300,169,18591,9,1691,0.9169,0.9494,0.0909,0.1658,0.5441,0.1689,0.0909,0.9091,0.9995,0.0005
82,2026-07-16 16:58:18,nb15_generic,nb15_sat20,"Normal, UDP_DDoS",102300,985,18591,9,875,0.9568,0.9909,0.5296,0.6903,0.764,0.5675,0.5296,0.4704,0.9995,0.0005
89,2026-07-16 16:58:29,nb15_generic,nb15_ter20,"Normal, Botnet",102300,6,18591,9,1854,0.9089,0.4,0.0032,0.0064,0.5002,0.0919,0.0032,0.9968,0.9995,0.0005
96,2026-07-16 16:58:41,nb15_generic,nb15_ter20,"Normal, DDoS",102300,18,18591,9,1842,0.9095,0.6667,0.0097,0.0191,0.5034,0.0965,0.0097,0.9903,0.9995,0.0005
103,2026-07-16 16:58:53,nb15_generic,nb15_ter20,"Normal, Syn_DDoS",102300,0,18591,9,1860,0.9087,0.0,0.0,0.0,0.4985,0.0909,0.0,1.0,0.9995,0.0005
110,2026-07-16 16:59:06,nb15_generic,nb15_ter20,"Normal, UDP_DDoS",102300,170,18591,9,1690,0.917,0.9497,0.0914,0.1667,0.5444,0.1694,0.0914,0.9086,0.9995,0.0005
