id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
4,2026-07-16 17:02:39,nb15_fuzzers,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,637,17896,704,1223,0.9058,0.475,0.3425,0.398,0.7279,0.2757,0.3425,0.6575,0.9622,0.0378
11,2026-07-16 17:02:51,nb15_fuzzers,nb15,"Normal, DoS",102300,1451,17896,704,409,0.9456,0.6733,0.7801,0.7228,0.8709,0.499,0.7801,0.2199,0.9622,0.0378
18,2026-07-16 17:03:03,nb15_fuzzers,nb15,"Normal, Exploits",102300,768,17896,704,1092,0.9122,0.5217,0.4129,0.461,0.6751,0.2439,0.4129,0.5871,0.9622,0.0378
25,2026-07-16 17:03:15,nb15_fuzzers,nb15,"Normal, Fuzzers",102300,897,17896,704,963,0.9185,0.5603,0.4823,0.5183,0.7719,0.3597,0.4823,0.5177,0.9622,0.0378
32,2026-07-16 17:03:27,nb15_fuzzers,nb15,"Normal, Generic",102300,283,17896,704,1577,0.8885,0.2867,0.1522,0.1988,0.7184,0.2452,0.1522,0.8478,0.9622,0.0378
39,2026-07-16 17:03:38,nb15_fuzzers,nb15,"Normal, Reconnaissance",102300,350,17896,704,1510,0.8918,0.3321,0.1882,0.2402,0.5852,0.1424,0.1882,0.8118,0.9622,0.0378
46,2026-07-16 17:03:50,nb15_fuzzers,injection,"Normal, Generic, Exploits, DoS, Fuzzers, Reconnaissance, UDP_DDoS, DDoS, Syn_DDoS, Botnet",102300,639,17896,704,1221,0.9059,0.4758,0.3435,0.399,0.7215,0.2711,0.3435,0.6565,0.9622,0.0378
53,2026-07-16 17:04:02,nb15_fuzzers,nb15_stin,"Normal, DDoS, Syn_DDoS, UDP_DDoS, Botnet",102300,829,17896,704,1031,0.9152,0.5408,0.4457,0.4887,0.7302,0.3298,0.4457,0.5543,0.9622,0.0378
60,2026-07-16 17:04:14,nb15_fuzzers,nb15_sat20,"Normal, Syn_DDoS, UDP_DDoS",102300,798,17896,704,1062,0.9137,0.5313,0.429,0.4747,0.7332,0.3297,0.429,0.571,0.9622,0.0378
67,2026-07-16 17:04:26,nb15_fuzzers,nb15_ter20,"Normal, DDoS, UDP_DDoS, Botnet, Syn_DDoS",102300,894,17896,704,966,0.9184,0.5594,0.4806,0.5171,0.7412,0.3479,0.4806,0.5194,0.9622,0.0378
74,2026-07-16 17:04:38,nb15_fuzzers,nb15_sat20,"Normal, Syn_DDoS",102300,0,17896,704,1860,0.8747,0.0,0.0,0.0,0.5612,0.1432,0.0,1.0,0.9622,0.0378
81,2026-07-16 17:04:50,nb15_fuzzers,nb15_sat20,"Normal, UDP_DDoS",102300,1513,17896,704,347,0.9486,0.6825,0.8134,0.7422,0.8834,0.5734,0.8134,0.1866,0.9622,0.0378
88,2026-07-16 17:05:03,nb15_fuzzers,nb15_ter20,"Normal, Botnet",102300,1639,17896,704,221,0.9548,0.6995,0.8812,0.7799,0.9322,0.6445,0.8812,0.1188,0.9622,0.0378
95,2026-07-16 17:05:15,nb15_fuzzers,nb15_ter20,"Normal, DDoS",102300,903,17896,704,957,0.9188,0.5619,0.4855,0.5209,0.7136,0.3222,0.4855,0.5145,0.9622,0.0378
102,2026-07-16 17:05:28,nb15_fuzzers,nb15_ter20,"Normal, Syn_DDoS",102300,36,17896,704,1824,0.8764,0.0486,0.0194,0.0277,0.5309,0.1128,0.0194,0.9806,0.9622,0.0378
109,2026-07-16 17:05:40,nb15_fuzzers,nb15_ter20,"Normal, UDP_DDoS",102300,0,17896,704,1860,0.8747,0.0,0.0,0.0,0.6005,0.1845,0.0,1.0,0.9622,0.0378
