id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
6,2026-07-16 16:49:22,nb15_reconnaissance,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,1233,18514,86,627,0.9652,0.9348,0.6629,0.7757,0.8325,0.6553,0.6629,0.3371,0.9954,0.0046
13,2026-07-16 16:49:35,nb15_reconnaissance,nb15,"Normal, DoS",102300,1481,18514,86,379,0.9773,0.9451,0.7962,0.8643,0.8972,0.7629,0.7962,0.2038,0.9954,0.0046
20,2026-07-16 16:49:48,nb15_reconnaissance,nb15,"Normal, Exploits",102300,827,18514,86,1033,0.9453,0.9058,0.4446,0.5965,0.7179,0.4472,0.4446,0.5554,0.9954,0.0046
27,2026-07-16 16:50:00,nb15_reconnaissance,nb15,"Normal, Fuzzers",102300,273,18514,86,1587,0.9182,0.7604,0.1468,0.2461,0.5887,0.2086,0.1468,0.8532,0.9954,0.0046
34,2026-07-16 16:50:14,nb15_reconnaissance,nb15,"Normal, Generic",102300,1758,18514,86,102,0.9908,0.9534,0.9452,0.9492,0.9703,0.9094,0.9452,0.0548,0.9954,0.0046
41,2026-07-16 16:50:26,nb15_reconnaissance,nb15,"Normal, Reconnaissance",102300,1751,18514,86,109,0.9905,0.9532,0.9414,0.9473,0.968,0.891,0.9414,0.0586,0.9954,0.0046
48,2026-07-16 16:50:38,nb15_reconnaissance,injection,"Normal, Generic, Exploits, DoS, Fuzzers, Reconnaissance, UDP_DDoS, DDoS, Syn_DDoS, Botnet",102300,1232,18514,86,628,0.9651,0.9347,0.6624,0.7753,0.8336,0.6572,0.6624,0.3376,0.9954,0.0046
55,2026-07-16 16:50:50,nb15_reconnaissance,nb15_stin,"Normal, DDoS, Syn_DDoS, UDP_DDoS, Botnet",102300,108,18514,86,1752,0.9102,0.5567,0.0581,0.1052,0.5208,0.119,0.0581,0.9419,0.9954,0.0046
62,2026-07-16 16:51:04,nb15_reconnaissance,nb15_sat20,"Normal, Syn_DDoS, UDP_DDoS",102300,10,18514,86,1850,0.9054,0.1042,0.0054,0.0102,0.4941,0.091,0.0054,0.9946,0.9954,0.0046
69,2026-07-16 16:51:17,nb15_reconnaissance,nb15_ter20,"Normal, DDoS, UDP_DDoS, Botnet, Syn_DDoS",102300,173,18514,86,1687,0.9133,0.668,0.093,0.1633,0.5388,0.1463,0.093,0.907,0.9954,0.0046
76,2026-07-16 16:51:29,nb15_reconnaissance,nb15_sat20,"Normal, Syn_DDoS",102300,0,18514,86,1860,0.9049,0.0,0.0,0.0,0.4914,0.0909,0.0,1.0,0.9954,0.0046
83,2026-07-16 16:51:42,nb15_reconnaissance,nb15_sat20,"Normal, UDP_DDoS",102300,18,18514,86,1842,0.9058,0.1731,0.0097,0.0183,0.4963,0.0918,0.0097,0.9903,0.9954,0.0046
90,2026-07-16 16:51:54,nb15_reconnaissance,nb15_ter20,"Normal, Botnet",102300,257,18514,86,1603,0.9174,0.7493,0.1382,0.2333,0.5614,0.1837,0.1382,0.8618,0.9954,0.0046
97,2026-07-16 16:52:06,nb15_reconnaissance,nb15_ter20,"Normal, DDoS",102300,15,18514,86,1845,0.9056,0.1485,0.0081,0.0153,0.4955,0.0914,0.0081,0.9919,0.9954,0.0046
104,2026-07-16 16:52:19,nb15_reconnaissance,nb15_ter20,"Normal, Syn_DDoS",102300,702,18514,86,1158,0.9392,0.8909,0.3774,0.5302,0.6825,0.3954,0.3774,0.6226,0.9954,0.0046
111,2026-07-16 16:52:31,nb15_reconnaissance,nb15_ter20,"Normal, UDP_DDoS",102300,0,18514,86,1860,0.9049,0.0,0.0,0.0,0.4914,0.0909,0.0,1.0,0.9954,0.0046
