id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
1,2026-07-16 16:59:15,nb15_aggregate,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,1531,18286,314,329,0.9686,0.8298,0.8231,0.8265,0.9099,0.7011,0.8231,0.1769,0.9831,0.0169
8,2026-07-16 16:59:27,nb15_aggregate,nb15,"Normal, DoS",102300,1693,18286,314,167,0.9765,0.8435,0.9102,0.8756,0.9477,0.7469,0.9102,0.0898,0.9831,0.0169
15,2026-07-16 16:59:40,nb15_aggregate,nb15,"Normal, Exploits",102300,1568,18286,314,292,0.9704,0.8332,0.843,0.8381,0.911,0.7048,0.843,0.157,0.9831,0.0169
22,2026-07-16 16:59:53,nb15_aggregate,nb15,"Normal, Fuzzers",102300,534,18286,314,1326,0.9198,0.6297,0.2871,0.3944,0.6767,0.2861,0.2871,0.7129,0.9831,0.0169
29,2026-07-16 17:00:05,nb15_aggregate,nb15,"Normal, Generic",102300,1845,18286,314,15,0.9839,0.8546,0.9919,0.9181,0.9879,0.8522,0.9919,0.0081,0.9831,0.0169
36,2026-07-16 17:00:17,nb15_aggregate,nb15,"Normal, Reconnaissance",102300,1622,18286,314,238,0.973,0.8378,0.872,0.8546,0.93,0.7117,0.872,0.128,0.9831,0.0169
43,2026-07-16 17:00:30,nb15_aggregate,injection,"Normal, Generic, Exploits, DoS, Fuzzers, Reconnaissance, UDP_DDoS, DDoS, Syn_DDoS, Botnet",102300,1540,18286,314,320,0.969,0.8306,0.828,0.8293,0.9117,0.7055,0.828,0.172,0.9831,0.0169
50,2026-07-16 17:00:43,nb15_aggregate,nb15_stin,"Normal, DDoS, Syn_DDoS, UDP_DDoS, Botnet",102300,627,18286,314,1233,0.9244,0.6663,0.3371,0.4477,0.6467,0.2877,0.3371,0.6629,0.9831,0.0169
57,2026-07-16 17:00:54,nb15_aggregate,nb15_sat20,"Normal, Syn_DDoS, UDP_DDoS",102300,289,18286,314,1571,0.9079,0.4793,0.1554,0.2347,0.5514,0.1524,0.1554,0.8446,0.9831,0.0169
64,2026-07-16 17:01:06,nb15_aggregate,nb15_ter20,"Normal, DDoS, UDP_DDoS, Botnet, Syn_DDoS",102300,896,18286,314,964,0.9375,0.7405,0.4817,0.5837,0.7224,0.4075,0.4817,0.5183,0.9831,0.0169
71,2026-07-16 17:01:17,nb15_aggregate,nb15_sat20,"Normal, Syn_DDoS",102300,134,18286,314,1726,0.9003,0.2991,0.072,0.1161,0.508,0.1064,0.072,0.928,0.9831,0.0169
78,2026-07-16 17:01:29,nb15_aggregate,nb15_sat20,"Normal, UDP_DDoS",102300,397,18286,314,1463,0.9131,0.5584,0.2134,0.3088,0.5817,0.1922,0.2134,0.7866,0.9831,0.0169
85,2026-07-16 17:01:41,nb15_aggregate,nb15_ter20,"Normal, Botnet",102300,1092,18286,314,768,0.9471,0.7767,0.5871,0.6687,0.7765,0.4965,0.5871,0.4129,0.9831,0.0169
92,2026-07-16 17:01:53,nb15_aggregate,nb15_ter20,"Normal, DDoS",102300,1176,18286,314,684,0.9512,0.7893,0.6323,0.7021,0.8001,0.5355,0.6323,0.3677,0.9831,0.0169
99,2026-07-16 17:02:05,nb15_aggregate,nb15_ter20,"Normal, Syn_DDoS",102300,75,18286,314,1785,0.8974,0.1928,0.0403,0.0667,0.4915,0.0952,0.0403,0.9597,0.9831,0.0169
106,2026-07-16 17:02:17,nb15_aggregate,nb15_ter20,"Normal, UDP_DDoS",102300,3,18286,314,1857,0.8939,0.0095,0.0016,0.0028,0.4713,0.0908,0.0016,0.9984,0.9831,0.0169
