id,model_name,seed_0,seed_1,seed_101,seed_123,seed_12345,seed_1337,seed_2026,seed_42,seed_7,seed_999
1,injection_aggregate,0.8632,0.86480625,0.864125,0.86446875,0.8563375,0.8585375,0.86050625,0.85610625,0.85675,0.85904375
2,nb15_sat20_aggregate,0.5628625,0.5628625,0.5628625,0.5628625,0.5628625,0.5628625,0.5628625,0.5628625,0.5628625,0.5628625
3,nb15_sat20_syn_ddos,0.25770625,0.278525,0.282475,0.278525,0.278525,0.278525,0.278525,0.25770625,0.278525,0.25770625
4,nb15_sat20_udp_ddos,0.5604,0.5604,0.5628625,0.5628625,0.5628625,0.53023125,0.54233125,0.5604,0.5433375,0.5604
5,nb15_stin_aggregate,0.56288125,0.5628625,0.5628625,0.5628625,0.5628625,0.56288125,0.56288125,0.56288125,0.56288125,0.56288125
6,nb15_ter20_aggregate,0.56288125,0.5628625,0.5628625,0.5628625,0.5628625,0.56288125,0.56288125,0.56288125,0.56288125,0.56288125
7,nb15_ter20_botnet,0.53025,0.5604,0.5628625,0.5628625,0.5628625,0.53025,0.5433375,0.5604,0.53025,0.53025
8,nb15_ter20_ddos,0.53023125,0.53023125,0.53023125,0.53023125,0.335325,0.53023125,0.335325,0.53023125,0.53023125,0.53023125
9,nb15_ter20_syn_ddos,0.56288125,0.56288125,0.56288125,0.56288125,0.5628625,0.56288125,0.56288125,0.5628625,0.5628625,0.56288125
10,nb15_ter20_udp_ddos,0.5433375,0.5604,0.56288125,0.5604,0.5604,0.56288125,0.5604,0.5433375,0.5604,0.5433375
