id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
1,2026-07-16 17:16:02,nb15_aggregate,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,1495,18536,64,365,0.979,0.9589,0.8038,0.8745,0.9841,0.9241,0.8038,0.1962,0.9966,0.0034
8,2026-07-16 17:16:16,nb15_aggregate,nb15,"Normal, DoS",102300,1675,18536,64,185,0.9878,0.9632,0.9005,0.9308,0.993,0.9631,0.9005,0.0995,0.9966,0.0034
15,2026-07-16 17:16:29,nb15_aggregate,nb15,"Normal, Exploits",102300,1520,18536,64,340,0.9803,0.9596,0.8172,0.8827,0.9902,0.9444,0.8172,0.1828,0.9966,0.0034
22,2026-07-16 17:16:42,nb15_aggregate,nb15,"Normal, Fuzzers",102300,331,18536,64,1529,0.9221,0.838,0.178,0.2936,0.9257,0.5729,0.178,0.822,0.9966,0.0034
29,2026-07-16 17:16:55,nb15_aggregate,nb15,"Normal, Generic",102300,1843,18536,64,17,0.996,0.9664,0.9909,0.9785,0.9992,0.9966,0.9909,0.0091,0.9966,0.0034
36,2026-07-16 17:17:08,nb15_aggregate,nb15,"Normal, Reconnaissance",102300,1646,18536,64,214,0.9864,0.9626,0.8849,0.9221,0.9955,0.9587,0.8849,0.1151,0.9966,0.0034
43,2026-07-16 17:17:22,nb15_aggregate,injection,"Normal, Generic, Exploits, DoS, Fuzzers, Reconnaissance, UDP_DDoS, DDoS, Syn_DDoS, Botnet",102300,1496,18536,64,364,0.9791,0.959,0.8043,0.8749,0.986,0.9313,0.8043,0.1957,0.9966,0.0034
50,2026-07-16 17:17:35,nb15_aggregate,nb15_stin,"Normal, DDoS, Syn_DDoS, UDP_DDoS, Botnet",102300,17,18536,64,1843,0.9068,0.2099,0.0091,0.0175,0.7283,0.4721,0.0091,0.9909,0.9966,0.0034
57,2026-07-16 17:17:47,nb15_aggregate,nb15_sat20,"Normal, Syn_DDoS, UDP_DDoS",102300,21,18536,64,1839,0.907,0.2471,0.0113,0.0216,0.6196,0.4007,0.0113,0.9887,0.9966,0.0034
64,2026-07-16 17:18:00,nb15_aggregate,nb15_ter20,"Normal, DDoS, UDP_DDoS, Botnet, Syn_DDoS",102300,11,18536,64,1849,0.9065,0.1467,0.0059,0.0114,0.8114,0.5607,0.0059,0.9941,0.9966,0.0034
71,2026-07-16 17:18:13,nb15_aggregate,nb15_sat20,"Normal, Syn_DDoS",102300,0,18536,64,1860,0.906,0.0,0.0,0.0,0.2061,0.0727,0.0,1.0,0.9966,0.0034
78,2026-07-16 17:18:25,nb15_aggregate,nb15_sat20,"Normal, UDP_DDoS",102300,38,18536,64,1822,0.9078,0.3725,0.0204,0.0387,0.9822,0.7915,0.0204,0.9796,0.9966,0.0034
85,2026-07-16 17:18:38,nb15_aggregate,nb15_ter20,"Normal, Botnet",102300,23,18536,64,1837,0.9071,0.2644,0.0124,0.0236,0.9832,0.8147,0.0124,0.9876,0.9966,0.0034
92,2026-07-16 17:18:50,nb15_aggregate,nb15_ter20,"Normal, DDoS",102300,11,18536,64,1849,0.9065,0.1467,0.0059,0.0114,0.9718,0.7041,0.0059,0.9941,0.9966,0.0034
99,2026-07-16 17:19:03,nb15_aggregate,nb15_ter20,"Normal, Syn_DDoS",102300,0,18536,64,1860,0.906,0.0,0.0,0.0,0.308,0.0807,0.0,1.0,0.9966,0.0034
106,2026-07-16 17:19:15,nb15_aggregate,nb15_ter20,"Normal, UDP_DDoS",102300,0,18536,64,1860,0.906,0.0,0.0,0.0,0.2149,0.0691,0.0,1.0,0.9966,0.0034
