id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
6,2026-07-16 17:16:12,nb15_reconnaissance,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,1251,18522,78,609,0.9664,0.9413,0.6726,0.7846,0.9354,0.807,0.6726,0.3274,0.9958,0.0042
13,2026-07-16 17:16:25,nb15_reconnaissance,nb15,"Normal, DoS",102300,1449,18522,78,411,0.9761,0.9489,0.779,0.8556,0.965,0.8925,0.779,0.221,0.9958,0.0042
20,2026-07-16 17:16:38,nb15_reconnaissance,nb15,"Normal, Exploits",102300,763,18522,78,1097,0.9426,0.9073,0.4102,0.565,0.8835,0.6689,0.4102,0.5898,0.9958,0.0042
27,2026-07-16 17:16:51,nb15_reconnaissance,nb15,"Normal, Fuzzers",102300,257,18522,78,1603,0.9178,0.7672,0.1382,0.2342,0.8302,0.3778,0.1382,0.8618,0.9958,0.0042
34,2026-07-16 17:17:04,nb15_reconnaissance,nb15,"Normal, Generic",102300,1820,18522,78,40,0.9942,0.9589,0.9785,0.9686,0.9954,0.9699,0.9785,0.0215,0.9958,0.0042
41,2026-07-16 17:17:18,nb15_reconnaissance,nb15,"Normal, Reconnaissance",102300,1761,18522,78,99,0.9913,0.9576,0.9468,0.9521,0.9985,0.9877,0.9468,0.0532,0.9958,0.0042
48,2026-07-16 17:17:31,nb15_reconnaissance,injection,"Normal, Generic, Exploits, DoS, Fuzzers, Reconnaissance, UDP_DDoS, DDoS, Syn_DDoS, Botnet",102300,1239,18522,78,621,0.9658,0.9408,0.6661,0.78,0.9316,0.8044,0.6661,0.3339,0.9958,0.0042
55,2026-07-16 17:17:44,nb15_reconnaissance,nb15_stin,"Normal, DDoS, Syn_DDoS, UDP_DDoS, Botnet",102300,1,18522,78,1859,0.9053,0.0127,0.0005,0.001,0.7844,0.2126,0.0005,0.9995,0.9958,0.0042
62,2026-07-16 17:17:56,nb15_reconnaissance,nb15_sat20,"Normal, Syn_DDoS, UDP_DDoS",102300,0,18522,78,1860,0.9053,0.0,0.0,0.0,0.7954,0.2904,0.0,1.0,0.9958,0.0042
69,2026-07-16 17:18:09,nb15_reconnaissance,nb15_ter20,"Normal, DDoS, UDP_DDoS, Botnet, Syn_DDoS",102300,0,18522,78,1860,0.9053,0.0,0.0,0.0,0.7798,0.1926,0.0,1.0,0.9958,0.0042
76,2026-07-16 17:18:22,nb15_reconnaissance,nb15_sat20,"Normal, Syn_DDoS",102300,0,18522,78,1860,0.9053,0.0,0.0,0.0,0.621,0.1433,0.0,1.0,0.9958,0.0042
83,2026-07-16 17:18:34,nb15_reconnaissance,nb15_sat20,"Normal, UDP_DDoS",102300,0,18522,78,1860,0.9053,0.0,0.0,0.0,0.947,0.5346,0.0,1.0,0.9958,0.0042
90,2026-07-16 17:18:47,nb15_reconnaissance,nb15_ter20,"Normal, Botnet",102300,0,18522,78,1860,0.9053,0.0,0.0,0.0,0.7513,0.1798,0.0,1.0,0.9958,0.0042
97,2026-07-16 17:19:00,nb15_reconnaissance,nb15_ter20,"Normal, DDoS",102300,0,18522,78,1860,0.9053,0.0,0.0,0.0,0.8436,0.2809,0.0,1.0,0.9958,0.0042
104,2026-07-16 17:19:12,nb15_reconnaissance,nb15_ter20,"Normal, Syn_DDoS",102300,0,18522,78,1860,0.9053,0.0,0.0,0.0,0.747,0.1985,0.0,1.0,0.9958,0.0042
111,2026-07-16 17:19:24,nb15_reconnaissance,nb15_ter20,"Normal, UDP_DDoS",102300,0,18522,78,1860,0.9053,0.0,0.0,0.0,0.6188,0.1359,0.0,1.0,0.9958,0.0042
