id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
5,2026-07-16 17:30:18,nb15_generic,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,1007,18593,7,853,0.958,0.9931,0.5414,0.7008,0.9538,0.8319,0.5414,0.4586,0.9996,0.0004
12,2026-07-16 17:30:31,nb15_generic,nb15,"Normal, DoS",102300,1097,18593,7,763,0.9624,0.9937,0.5898,0.7402,0.9804,0.9171,0.5898,0.4102,0.9996,0.0004
19,2026-07-16 17:30:45,nb15_generic,nb15,"Normal, Exploits",102300,601,18593,7,1259,0.9381,0.9885,0.3231,0.487,0.9705,0.854,0.3231,0.6769,0.9996,0.0004
26,2026-07-16 17:31:00,nb15_generic,nb15,"Normal, Fuzzers",102300,163,18593,7,1697,0.9167,0.9588,0.0876,0.1606,0.8769,0.4561,0.0876,0.9124,0.9996,0.0004
33,2026-07-16 17:31:13,nb15_generic,nb15,"Normal, Generic",102300,1837,18593,7,23,0.9985,0.9962,0.9876,0.9919,0.9995,0.9977,0.9876,0.0124,0.9996,0.0004
40,2026-07-16 17:31:27,nb15_generic,nb15,"Normal, Reconnaissance",102300,197,18593,7,1663,0.9184,0.9657,0.1059,0.1909,0.8509,0.4353,0.1059,0.8941,0.9996,0.0004
47,2026-07-16 17:31:41,nb15_generic,injection,"Normal, Generic, Exploits, DoS, Fuzzers, Reconnaissance, UDP_DDoS, DDoS, Syn_DDoS, Botnet",102300,995,18593,7,865,0.9574,0.993,0.5349,0.6953,0.9566,0.8377,0.5349,0.4651,0.9996,0.0004
54,2026-07-16 17:31:55,nb15_generic,nb15_stin,"Normal, DDoS, Syn_DDoS, UDP_DDoS, Botnet",102300,190,18593,7,1670,0.918,0.9645,0.1022,0.1847,0.717,0.5157,0.1022,0.8978,0.9996,0.0004
61,2026-07-16 17:32:10,nb15_generic,nb15_sat20,"Normal, Syn_DDoS, UDP_DDoS",102300,487,18593,7,1373,0.9326,0.9858,0.2618,0.4138,0.6042,0.4116,0.2618,0.7382,0.9996,0.0004
68,2026-07-16 17:32:25,nb15_generic,nb15_ter20,"Normal, DDoS, UDP_DDoS, Botnet, Syn_DDoS",102300,3,18593,7,1857,0.9089,0.3,0.0016,0.0032,0.8026,0.5974,0.0016,0.9984,0.9996,0.0004
75,2026-07-16 17:32:39,nb15_generic,nb15_sat20,"Normal, Syn_DDoS",102300,0,18593,7,1860,0.9087,0.0,0.0,0.0,0.2052,0.086,0.0,1.0,0.9996,0.0004
82,2026-07-16 17:32:53,nb15_generic,nb15_sat20,"Normal, UDP_DDoS",102300,931,18593,7,929,0.9543,0.9925,0.5005,0.6655,0.9593,0.7653,0.5005,0.4995,0.9996,0.0004
89,2026-07-16 17:33:08,nb15_generic,nb15_ter20,"Normal, Botnet",102300,21,18593,7,1839,0.9098,0.75,0.0113,0.0222,0.9762,0.8421,0.0113,0.9887,0.9996,0.0004
96,2026-07-16 17:33:22,nb15_generic,nb15_ter20,"Normal, DDoS",102300,0,18593,7,1860,0.9087,0.0,0.0,0.0,0.9697,0.7437,0.0,1.0,0.9996,0.0004
103,2026-07-16 17:33:36,nb15_generic,nb15_ter20,"Normal, Syn_DDoS",102300,0,18593,7,1860,0.9087,0.0,0.0,0.0,0.3015,0.0795,0.0,1.0,0.9996,0.0004
110,2026-07-16 17:33:50,nb15_generic,nb15_ter20,"Normal, UDP_DDoS",102300,0,18593,7,1860,0.9087,0.0,0.0,0.0,0.1917,0.0797,0.0,1.0,0.9996,0.0004
