id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
9,2026-07-17 10:24:29,nb15_ter20_udp_ddos,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.487,0.1156,0.0,1.0,1.0,0.0
19,2026-07-17 10:24:45,nb15_ter20_udp_ddos,nb15,"Normal, DoS",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.4902,0.1097,0.0,1.0,1.0,0.0
29,2026-07-17 10:25:02,nb15_ter20_udp_ddos,nb15,"Normal, Exploits",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.487,0.0998,0.0,1.0,1.0,0.0
39,2026-07-17 10:25:18,nb15_ter20_udp_ddos,nb15,"Normal, Fuzzers",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.4559,0.0899,0.0,1.0,1.0,0.0
49,2026-07-17 10:25:35,nb15_ter20_udp_ddos,nb15,"Normal, Generic",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.4902,0.1202,0.0,1.0,1.0,0.0
59,2026-07-17 10:25:53,nb15_ter20_udp_ddos,nb15,"Normal, Reconnaissance",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.4943,0.1114,0.0,1.0,1.0,0.0
69,2026-07-17 10:26:09,nb15_ter20_udp_ddos,injection,"Normal, Generic, Exploits, DoS, Fuzzers, Reconnaissance, UDP_DDoS, DDoS, Syn_DDoS, Botnet",102300,1,18600,0,1859,0.9091,1.0,0.0005,0.0011,0.4834,0.1069,0.0005,0.9995,1.0,0.0
79,2026-07-17 10:26:26,nb15_ter20_udp_ddos,nb15_stin,"Normal, DDoS, Syn_DDoS, UDP_DDoS, Botnet",102300,539,18600,0,1321,0.9354,1.0,0.2898,0.4494,0.7969,0.7363,0.2898,0.7102,1.0,0.0
89,2026-07-17 10:26:44,nb15_ter20_udp_ddos,nb15_sat20,"Normal, Syn_DDoS, UDP_DDoS",102300,872,18600,0,988,0.9517,1.0,0.4688,0.6384,0.8275,0.7127,0.4688,0.5312,1.0,0.0
99,2026-07-17 10:27:01,nb15_ter20_udp_ddos,nb15_ter20,"Normal, DDoS, UDP_DDoS, Botnet, Syn_DDoS",102300,307,18600,0,1553,0.9241,1.0,0.1651,0.2833,0.7925,0.7625,0.1651,0.8349,1.0,0.0
109,2026-07-17 10:27:18,nb15_ter20_udp_ddos,nb15_sat20,"Normal, Syn_DDoS",102300,1860,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
119,2026-07-17 10:27:35,nb15_ter20_udp_ddos,nb15_sat20,"Normal, UDP_DDoS",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.672,0.4518,0.0,1.0,1.0,0.0
129,2026-07-17 10:27:52,nb15_ter20_udp_ddos,nb15_ter20,"Normal, Botnet",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.5939,0.5533,0.0,1.0,1.0,0.0
139,2026-07-17 10:28:09,nb15_ter20_udp_ddos,nb15_ter20,"Normal, DDoS",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.8287,0.7988,0.0,1.0,1.0,0.0
149,2026-07-17 10:28:26,nb15_ter20_udp_ddos,nb15_ter20,"Normal, Syn_DDoS",102300,806,18600,0,1054,0.9485,1.0,0.4333,0.6047,1.0,1.0,0.4333,0.5667,1.0,0.0
159,2026-07-17 10:28:42,nb15_ter20_udp_ddos,nb15_ter20,"Normal, UDP_DDoS",102300,1860,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
