id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
4,2026-07-16 17:23:10,nb15_fuzzers,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,463,18411,189,1397,0.9225,0.7101,0.2489,0.3686,0.8911,0.5706,0.2489,0.7511,0.9898,0.0102
11,2026-07-16 17:23:24,nb15_fuzzers,nb15,"Normal, DoS",102300,1417,18411,189,443,0.9691,0.8823,0.7618,0.8177,0.9269,0.8431,0.7618,0.2382,0.9898,0.0102
18,2026-07-16 17:23:38,nb15_fuzzers,nb15,"Normal, Exploits",102300,678,18411,189,1182,0.933,0.782,0.3645,0.4972,0.7536,0.5111,0.3645,0.6355,0.9898,0.0102
25,2026-07-16 17:23:50,nb15_fuzzers,nb15,"Normal, Fuzzers",102300,633,18411,189,1227,0.9308,0.7701,0.3403,0.472,0.9423,0.6498,0.3403,0.6597,0.9898,0.0102
32,2026-07-16 17:24:03,nb15_fuzzers,nb15,"Normal, Generic",102300,17,18411,189,1843,0.9007,0.0825,0.0091,0.0165,0.9405,0.4802,0.0091,0.9909,0.9898,0.0102
39,2026-07-16 17:24:16,nb15_fuzzers,nb15,"Normal, Reconnaissance",102300,273,18411,189,1587,0.9132,0.5909,0.1468,0.2351,0.9222,0.4862,0.1468,0.8532,0.9898,0.0102
46,2026-07-16 17:24:29,nb15_fuzzers,injection,"Normal, Generic, Exploits, DoS, Fuzzers, Reconnaissance, UDP_DDoS, DDoS, Syn_DDoS, Botnet",102300,466,18411,189,1394,0.9226,0.7115,0.2505,0.3706,0.8872,0.5688,0.2505,0.7495,0.9898,0.0102
53,2026-07-16 17:24:42,nb15_fuzzers,nb15_stin,"Normal, DDoS, Syn_DDoS, UDP_DDoS, Botnet",102300,538,18411,189,1322,0.9261,0.74,0.2892,0.4159,0.8637,0.5313,0.2892,0.7108,0.9898,0.0102
60,2026-07-16 17:24:55,nb15_fuzzers,nb15_sat20,"Normal, Syn_DDoS, UDP_DDoS",102300,488,18411,189,1372,0.9237,0.7208,0.2624,0.3847,0.8244,0.4469,0.2624,0.7376,0.9898,0.0102
67,2026-07-16 17:25:08,nb15_fuzzers,nb15_ter20,"Normal, DDoS, UDP_DDoS, Botnet, Syn_DDoS",102300,595,18411,189,1265,0.9289,0.7589,0.3199,0.4501,0.8935,0.5992,0.3199,0.6801,0.9898,0.0102
74,2026-07-16 17:25:22,nb15_fuzzers,nb15_sat20,"Normal, Syn_DDoS",102300,0,18411,189,1860,0.8999,0.0,0.0,0.0,0.6459,0.1678,0.0,1.0,0.9898,0.0102
81,2026-07-16 17:25:35,nb15_fuzzers,nb15_sat20,"Normal, UDP_DDoS",102300,938,18411,189,922,0.9457,0.8323,0.5043,0.6281,0.9824,0.7874,0.5043,0.4957,0.9898,0.0102
88,2026-07-16 17:25:48,nb15_fuzzers,nb15_ter20,"Normal, Botnet",102300,1111,18411,189,749,0.9542,0.8546,0.5973,0.7032,0.9747,0.8301,0.5973,0.4027,0.9898,0.0102
95,2026-07-16 17:26:01,nb15_fuzzers,nb15_ter20,"Normal, DDoS",102300,544,18411,189,1316,0.9264,0.7422,0.2925,0.4196,0.967,0.7264,0.2925,0.7075,0.9898,0.0102
102,2026-07-16 17:26:14,nb15_fuzzers,nb15_ter20,"Normal, Syn_DDoS",102300,0,18411,189,1860,0.8999,0.0,0.0,0.0,0.6529,0.1523,0.0,1.0,0.9898,0.0102
109,2026-07-16 17:26:27,nb15_fuzzers,nb15_ter20,"Normal, UDP_DDoS",102300,0,18411,189,1860,0.8999,0.0,0.0,0.0,0.6457,0.1592,0.0,1.0,0.9898,0.0102
