id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
8,2026-07-17 10:05:53,nb15_ter20_syn_ddos,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.5174,0.1146,0.0,1.0,1.0,0.0
18,2026-07-17 10:06:13,nb15_ter20_syn_ddos,nb15,"Normal, DoS",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.449,0.0994,0.0,1.0,1.0,0.0
28,2026-07-17 10:06:30,nb15_ter20_syn_ddos,nb15,"Normal, Exploits",102300,1,18600,0,1859,0.9091,1.0,0.0005,0.0011,0.5221,0.1069,0.0005,0.9995,1.0,0.0
38,2026-07-17 10:06:47,nb15_ter20_syn_ddos,nb15,"Normal, Fuzzers",102300,1,18600,0,1859,0.9091,1.0,0.0005,0.0011,0.5317,0.1152,0.0005,0.9995,1.0,0.0
48,2026-07-17 10:07:04,nb15_ter20_syn_ddos,nb15,"Normal, Generic",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.5617,0.1352,0.0,1.0,1.0,0.0
58,2026-07-17 10:07:20,nb15_ter20_syn_ddos,nb15,"Normal, Reconnaissance",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.4348,0.1004,0.0,1.0,1.0,0.0
68,2026-07-17 10:07:37,nb15_ter20_syn_ddos,injection,"Normal, Generic, Exploits, DoS, Fuzzers, Reconnaissance, UDP_DDoS, DDoS, Syn_DDoS, Botnet",102300,4,18600,0,1856,0.9093,1.0,0.0022,0.0043,0.5185,0.1072,0.0022,0.9978,1.0,0.0
78,2026-07-17 10:07:54,nb15_ter20_syn_ddos,nb15_stin,"Normal, DDoS, Syn_DDoS, UDP_DDoS, Botnet",102300,975,18600,0,885,0.9567,1.0,0.5242,0.6878,0.9994,0.9936,0.5242,0.4758,1.0,0.0
88,2026-07-17 10:08:11,nb15_ter20_syn_ddos,nb15_sat20,"Normal, Syn_DDoS, UDP_DDoS",102300,1264,18600,0,596,0.9709,1.0,0.6796,0.8092,0.9992,0.9923,0.6796,0.3204,1.0,0.0
98,2026-07-17 10:08:28,nb15_ter20_syn_ddos,nb15_ter20,"Normal, DDoS, UDP_DDoS, Botnet, Syn_DDoS",102300,768,18600,0,1092,0.9466,1.0,0.4129,0.5845,0.9995,0.9949,0.4129,0.5871,1.0,0.0
108,2026-07-17 10:08:45,nb15_ter20_syn_ddos,nb15_sat20,"Normal, Syn_DDoS",102300,1860,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
118,2026-07-17 10:09:03,nb15_ter20_syn_ddos,nb15_sat20,"Normal, UDP_DDoS",102300,739,18600,0,1121,0.9452,1.0,0.3973,0.5687,0.9985,0.9847,0.3973,0.6027,1.0,0.0
128,2026-07-17 10:09:20,nb15_ter20_syn_ddos,nb15_ter20,"Normal, Botnet",102300,10,18600,0,1850,0.9096,1.0,0.0054,0.0107,0.9992,0.9902,0.0054,0.9946,1.0,0.0
138,2026-07-17 10:09:37,nb15_ter20_syn_ddos,nb15_ter20,"Normal, DDoS",102300,744,18600,0,1116,0.9455,1.0,0.4,0.5714,0.9996,0.9956,0.4,0.6,1.0,0.0
148,2026-07-17 10:09:54,nb15_ter20_syn_ddos,nb15_ter20,"Normal, Syn_DDoS",102300,1860,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
158,2026-07-17 10:10:11,nb15_ter20_syn_ddos,nb15_ter20,"Normal, UDP_DDoS",102300,1860,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
