id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
2,2026-07-16 17:19:34,nb15_dos,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,1331,18563,37,529,0.9723,0.973,0.7156,0.8247,0.971,0.8746,0.7156,0.2844,0.998,0.002
9,2026-07-16 17:19:47,nb15_dos,nb15,"Normal, DoS",102300,1691,18563,37,169,0.9899,0.9786,0.9091,0.9426,0.9967,0.9798,0.9091,0.0909,0.998,0.002
16,2026-07-16 17:20:00,nb15_dos,nb15,"Normal, Exploits",102300,1402,18563,37,458,0.9758,0.9743,0.7538,0.85,0.9904,0.9437,0.7538,0.2462,0.998,0.002
23,2026-07-16 17:20:13,nb15_dos,nb15,"Normal, Fuzzers",102300,256,18563,37,1604,0.9198,0.8737,0.1376,0.2378,0.8909,0.4649,0.1376,0.8624,0.998,0.002
30,2026-07-16 17:20:26,nb15_dos,nb15,"Normal, Generic",102300,1837,18563,37,23,0.9971,0.9803,0.9876,0.9839,0.9982,0.9679,0.9876,0.0124,0.998,0.002
37,2026-07-16 17:20:39,nb15_dos,nb15,"Normal, Reconnaissance",102300,340,18563,37,1520,0.9239,0.9019,0.1828,0.304,0.9189,0.672,0.1828,0.8172,0.998,0.002
44,2026-07-16 17:20:53,nb15_dos,injection,"Normal, Generic, Exploits, DoS, Fuzzers, Reconnaissance, UDP_DDoS, DDoS, Syn_DDoS, Botnet",102300,1333,18563,37,527,0.9724,0.973,0.7167,0.8254,0.9723,0.8789,0.7167,0.2833,0.998,0.002
51,2026-07-16 17:21:06,nb15_dos,nb15_stin,"Normal, DDoS, Syn_DDoS, UDP_DDoS, Botnet",102300,26,18563,37,1834,0.9086,0.4127,0.014,0.027,0.8227,0.5692,0.014,0.986,0.998,0.002
58,2026-07-16 17:21:19,nb15_dos,nb15_sat20,"Normal, Syn_DDoS, UDP_DDoS",102300,33,18563,37,1827,0.9089,0.4714,0.0177,0.0342,0.775,0.5258,0.0177,0.9823,0.998,0.002
65,2026-07-16 17:21:33,nb15_dos,nb15_ter20,"Normal, DDoS, UDP_DDoS, Botnet, Syn_DDoS",102300,20,18563,37,1840,0.9083,0.3509,0.0108,0.0209,0.8583,0.6288,0.0108,0.9892,0.998,0.002
72,2026-07-16 17:21:45,nb15_dos,nb15_sat20,"Normal, Syn_DDoS",102300,0,18563,37,1860,0.9073,0.0,0.0,0.0,0.5232,0.1205,0.0,1.0,0.998,0.002
79,2026-07-16 17:21:58,nb15_dos,nb15_sat20,"Normal, UDP_DDoS",102300,53,18563,37,1807,0.9099,0.5889,0.0285,0.0544,0.9932,0.9137,0.0285,0.9715,0.998,0.002
86,2026-07-16 17:22:11,nb15_dos,nb15_ter20,"Normal, Botnet",102300,27,18563,37,1833,0.9086,0.4219,0.0145,0.0281,0.9569,0.7804,0.0145,0.9855,0.998,0.002
93,2026-07-16 17:22:24,nb15_dos,nb15_ter20,"Normal, DDoS",102300,24,18563,37,1836,0.9085,0.3934,0.0129,0.025,0.9782,0.8282,0.0129,0.9871,0.998,0.002
100,2026-07-16 17:22:37,nb15_dos,nb15_ter20,"Normal, Syn_DDoS",102300,0,18563,37,1860,0.9073,0.0,0.0,0.0,0.5091,0.111,0.0,1.0,0.998,0.002
107,2026-07-16 17:22:50,nb15_dos,nb15_ter20,"Normal, UDP_DDoS",102300,0,18563,37,1860,0.9073,0.0,0.0,0.0,0.481,0.1074,0.0,1.0,0.998,0.002
