id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
10,2026-07-17 10:19:50,injection_aggregate,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,1492,18533,67,368,0.9787,0.957,0.8022,0.8728,0.9839,0.9245,0.8022,0.1978,0.9964,0.0036
20,2026-07-17 10:20:07,injection_aggregate,nb15,"Normal, DoS",102300,1666,18533,67,194,0.9872,0.9613,0.8957,0.9274,0.9931,0.9641,0.8957,0.1043,0.9964,0.0036
30,2026-07-17 10:20:24,injection_aggregate,nb15,"Normal, Exploits",102300,1529,18533,67,331,0.9805,0.958,0.822,0.8848,0.9899,0.9441,0.822,0.178,0.9964,0.0036
40,2026-07-17 10:20:42,injection_aggregate,nb15,"Normal, Fuzzers",102300,348,18533,67,1512,0.9228,0.8386,0.1871,0.3059,0.9259,0.5805,0.1871,0.8129,0.9964,0.0036
50,2026-07-17 10:21:01,injection_aggregate,nb15,"Normal, Generic",102300,1841,18533,67,19,0.9958,0.9649,0.9898,0.9772,0.9993,0.9967,0.9898,0.0102,0.9964,0.0036
60,2026-07-17 10:21:18,injection_aggregate,nb15,"Normal, Reconnaissance",102300,1638,18533,67,222,0.9859,0.9607,0.8806,0.9189,0.9954,0.9585,0.8806,0.1194,0.9964,0.0036
70,2026-07-17 10:21:35,injection_aggregate,injection,"Normal, Generic, Exploits, DoS, Fuzzers, Reconnaissance, UDP_DDoS, DDoS, Syn_DDoS, Botnet",102300,1498,18533,67,362,0.979,0.9572,0.8054,0.8747,0.9862,0.9313,0.8054,0.1946,0.9964,0.0036
80,2026-07-17 10:21:52,injection_aggregate,nb15_stin,"Normal, DDoS, Syn_DDoS, UDP_DDoS, Botnet",102300,1783,18533,67,77,0.993,0.9638,0.9586,0.9612,0.9935,0.9756,0.9586,0.0414,0.9964,0.0036
90,2026-07-17 10:22:08,injection_aggregate,nb15_sat20,"Normal, Syn_DDoS, UDP_DDoS",102300,1852,18533,67,8,0.9963,0.9651,0.9957,0.9802,0.9996,0.9964,0.9957,0.0043,0.9964,0.0036
100,2026-07-17 10:22:25,injection_aggregate,nb15_ter20,"Normal, DDoS, UDP_DDoS, Botnet, Syn_DDoS",102300,1758,18533,67,102,0.9917,0.9633,0.9452,0.9541,0.9907,0.9659,0.9452,0.0548,0.9964,0.0036
110,2026-07-17 10:22:42,injection_aggregate,nb15_sat20,"Normal, Syn_DDoS",102300,1832,18533,67,28,0.9954,0.9647,0.9849,0.9747,0.9992,0.9921,0.9849,0.0151,0.9964,0.0036
120,2026-07-17 10:22:58,injection_aggregate,nb15_sat20,"Normal, UDP_DDoS",102300,1860,18533,67,0,0.9967,0.9652,1.0,0.9823,1.0,0.9998,1.0,0.0,0.9964,0.0036
130,2026-07-17 10:23:16,injection_aggregate,nb15_ter20,"Normal, Botnet",102300,1860,18533,67,0,0.9967,0.9652,1.0,0.9823,0.9999,0.9992,1.0,0.0,0.9964,0.0036
140,2026-07-17 10:23:33,injection_aggregate,nb15_ter20,"Normal, DDoS",102300,1860,18533,67,0,0.9967,0.9652,1.0,0.9823,1.0,0.9995,1.0,0.0,0.9964,0.0036
150,2026-07-17 10:23:51,injection_aggregate,nb15_ter20,"Normal, Syn_DDoS",102300,1090,18533,67,770,0.9591,0.9421,0.586,0.7226,0.9247,0.7293,0.586,0.414,0.9964,0.0036
160,2026-07-17 10:24:09,injection_aggregate,nb15_ter20,"Normal, UDP_DDoS",102300,1770,18533,67,90,0.9923,0.9635,0.9516,0.9575,0.9972,0.9786,0.9516,0.0484,0.9964,0.0036
