id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
10,2026-07-17 09:22:19,injection_aggregate,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,1537,18312,288,323,0.9701,0.8422,0.8263,0.8342,0.9129,0.7148,0.8263,0.1737,0.9845,0.0155
20,2026-07-17 09:22:35,injection_aggregate,nb15,"Normal, DoS",102300,1694,18312,288,166,0.9778,0.8547,0.9108,0.8818,0.9496,0.7596,0.9108,0.0892,0.9845,0.0155
30,2026-07-17 09:22:51,injection_aggregate,nb15,"Normal, Exploits",102300,1564,18312,288,296,0.9715,0.8445,0.8409,0.8427,0.9104,0.7122,0.8409,0.1591,0.9845,0.0155
40,2026-07-17 09:23:06,injection_aggregate,nb15,"Normal, Fuzzers",102300,527,18312,288,1333,0.9208,0.6466,0.2833,0.394,0.6788,0.293,0.2833,0.7167,0.9845,0.0155
50,2026-07-17 09:23:22,injection_aggregate,nb15,"Normal, Generic",102300,1842,18312,288,18,0.985,0.8648,0.9903,0.9233,0.9879,0.8603,0.9903,0.0097,0.9845,0.0155
60,2026-07-17 09:23:38,injection_aggregate,nb15,"Normal, Reconnaissance",102300,1614,18312,288,246,0.9739,0.8486,0.8677,0.8581,0.9219,0.7067,0.8677,0.1323,0.9845,0.0155
70,2026-07-17 09:23:54,injection_aggregate,injection,"Normal, Generic, Exploits, DoS, Fuzzers, Reconnaissance, UDP_DDoS, DDoS, Syn_DDoS, Botnet",102300,1542,18312,288,318,0.9704,0.8426,0.829,0.8358,0.9136,0.7171,0.829,0.171,0.9845,0.0155
80,2026-07-17 09:24:10,injection_aggregate,nb15_stin,"Normal, DDoS, Syn_DDoS, UDP_DDoS, Botnet",102300,1795,18312,288,65,0.9827,0.8617,0.9651,0.9105,0.9742,0.8372,0.9651,0.0349,0.9845,0.0155
90,2026-07-17 09:24:26,injection_aggregate,nb15_sat20,"Normal, Syn_DDoS, UDP_DDoS",102300,1842,18312,288,18,0.985,0.8648,0.9903,0.9233,0.9874,0.8597,0.9903,0.0097,0.9845,0.0155
100,2026-07-17 09:24:43,injection_aggregate,nb15_ter20,"Normal, DDoS, UDP_DDoS, Botnet, Syn_DDoS",102300,1760,18312,288,100,0.981,0.8594,0.9462,0.9007,0.9649,0.8211,0.9462,0.0538,0.9845,0.0155
110,2026-07-17 09:24:59,injection_aggregate,nb15_sat20,"Normal, Syn_DDoS",102300,1825,18312,288,35,0.9842,0.8637,0.9812,0.9187,0.9826,0.8516,0.9812,0.0188,0.9845,0.0155
120,2026-07-17 09:25:15,injection_aggregate,nb15_sat20,"Normal, UDP_DDoS",102300,1859,18312,288,1,0.9859,0.8659,0.9995,0.9279,0.9921,0.8679,0.9995,0.0005,0.9845,0.0155
130,2026-07-17 09:25:31,injection_aggregate,nb15_ter20,"Normal, Botnet",102300,1635,18312,288,225,0.9749,0.8502,0.879,0.8644,0.9294,0.7607,0.879,0.121,0.9845,0.0155
140,2026-07-17 09:25:47,injection_aggregate,nb15_ter20,"Normal, DDoS",102300,1859,18312,288,1,0.9859,0.8659,0.9995,0.9279,0.9921,0.8679,0.9995,0.0005,0.9845,0.0155
150,2026-07-17 09:26:04,injection_aggregate,nb15_ter20,"Normal, Syn_DDoS",102300,1810,18312,288,50,0.9835,0.8627,0.9731,0.9146,0.9784,0.8444,0.9731,0.0269,0.9845,0.0155
160,2026-07-17 09:26:20,injection_aggregate,nb15_ter20,"Normal, UDP_DDoS",102300,1711,18312,288,149,0.9786,0.8559,0.9199,0.8868,0.9507,0.797,0.9199,0.0801,0.9845,0.0155
