model_label,Aggregate nb15,DoS nb15,Exploits nb15,Fuzzers nb15,Generic nb15,Reconnaissance nb15,Aggregate injection,Aggregate nb15_stin,Aggregate nb15_sat20,Aggregate nb15_ter20,Syn_DDoS nb15_sat20,UDP_DDoS nb15_sat20,Botnet nb15_ter20,DDoS nb15_ter20,Syn_DDoS nb15_ter20,UDP_DDoS nb15_ter20, ,Average
DT (Aggregate nb15_stin),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
DT (Aggregate nb15_sat20),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
DT (Aggregate nb15_ter20),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
DT (Syn_DDoS nb15_sat20),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
DT (UDP_DDoS nb15_sat20),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
DT (Botnet nb15_ter20),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
DT (DDoS nb15_ter20),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
DT (Syn_DDoS nb15_ter20),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
DT (UDP_DDoS nb15_ter20),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
  ,,,,,,,,,,,,,,,,,,
DT (Aggregate injection),1.4222222222221306e-07,1.4222222222221306e-07,1.4222222222221306e-07,1.4222222222221306e-07,1.4222222222221306e-07,1.4222222222221306e-07,1.4222222222221306e-07,1.4222222222221306e-07,1.4222222222221306e-07,1.4222222222221306e-07,1.4222222222221306e-07,1.4222222222221306e-07,1.4222222222221306e-07,1.4222222222221306e-07,1.4222222222221306e-07,1.4222222222221306e-07,,1.4222222222221306e-07
