model_label,Aggregate nb15,DoS nb15,Exploits nb15,Fuzzers nb15,Generic nb15,Reconnaissance nb15,Aggregate injection,Aggregate nb15_stin,Aggregate nb15_sat20,Aggregate nb15_ter20,Syn_DDoS nb15_sat20,UDP_DDoS nb15_sat20,Botnet nb15_ter20,DDoS nb15_ter20,Syn_DDoS nb15_ter20,UDP_DDoS nb15_ter20, ,Average
DT (Aggregate nb15_stin),0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.9995,0.9998000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.56265625
DT (Aggregate nb15_sat20),0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.9995,0.9995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5626375
DT (Aggregate nb15_ter20),0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.9995,0.9998000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.56265625
DT (Syn_DDoS nb15_sat20),0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.32145999999999997,0.4688,0.21051000000000003,1.0,0.0,0.0,0.0,0.8187099999999999,1.0,,0.23874875
DT (UDP_DDoS nb15_sat20),0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.98317,0.99326,0.9793900000000001,0.9869899999999999,1.0,1.0,1.0,0.84527,0.9860199999999999,,0.54858125
DT (Botnet nb15_ter20),0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.9652100000000001,0.97474,0.9649800000000001,0.9479599999999999,1.0,1.0,1.0,0.77485,0.9440799999999999,,0.53593875
DT (DDoS nb15_ter20),0.0,0.0,0.0,0.0,0.0,0.0,0.0031,0.87256,0.8558,0.89664,0.69592,1.0,1.0,1.0,0.46024000000000004,0.68816,,0.46702625000000003
DT (Syn_DDoS nb15_ter20),0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.9995,0.99985,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.562659375
DT (UDP_DDoS nb15_ter20),0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.98688,0.9996,0.98095,1.0,1.0,1.0,1.0,0.8405900000000001,1.0,,0.5507012499999999
  ,,,,,,,,,,,,,,,,,,
DT (Aggregate injection),0.8272999999999999,0.9112899999999999,0.8381700000000001,0.28059,0.9906499999999999,0.8677999999999999,0.8274800000000001,0.9728199999999999,0.9863,0.96182,0.97323,0.9995,0.93897,0.99975,0.9673,0.8953599999999999,,0.889895625
