model_label,Aggregate nb15,DoS nb15,Exploits nb15,Fuzzers nb15,Generic nb15,Reconnaissance nb15,Aggregate injection,Aggregate nb15_stin,Aggregate nb15_sat20,Aggregate nb15_ter20,Syn_DDoS nb15_sat20,UDP_DDoS nb15_sat20,Botnet nb15_ter20,DDoS nb15_ter20,Syn_DDoS nb15_ter20,UDP_DDoS nb15_ter20, ,Average
DT (Aggregate nb15_stin),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666665552e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.16666666666597e-09
DT (Aggregate nb15_sat20),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
DT (Aggregate nb15_ter20),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666665552e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.16666666666597e-09
DT (Syn_DDoS nb15_sat20),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021251600000000038,0.0,0.00045147433333333326,0.0,0.0,0.0,0.0,0.032969647666666636,0.0,,0.0021021023749999983
DT (UDP_DDoS nb15_sat20),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005998445555555568,0.00038937600000000003,0.0007036676666666667,0.0016926010000000004,0.0,0.0,0.0,0.03699845122222221,0.0019544040000000016,,0.0026461465277777775
DT (Botnet nb15_ter20),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013132610000000033,0.0010217626666666688,0.0011701351111111102,0.0045136026666666666,0.0,0.0,0.0,0.04479080277777778,0.005211744000000004,,0.003626331763888889
DT (DDoS nb15_ter20),0.0,0.0,0.0,0.0,0.0,0.0,4.444444444444443e-08,0.012082575999999992,0.02937640000000001,0.004654087111111116,0.13452906844444443,0.0,0.0,0.0,0.05883912711111112,0.13154560711111107,,0.023189181888888886
DT (Syn_DDoS nb15_ter20),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.833333333331933e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.645833333332458e-09
DT (UDP_DDoS nb15_ter20),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021944844444444554,4.4444444444434376e-08,0.0004665583333333349,0.0,0.0,0.0,0.0,0.03416386544444445,0.0,,0.0021781197916666667
  ,,,,,,,,,,,,,,,,,,
DT (Aggregate injection),1.2977777777776887e-06,3.2921111111110083e-06,7.373444444444283e-06,5.361000000000002e-06,1.5833333333336354e-07,3.046666666666535e-06,1.997333333333284e-06,0.0001238795555555557,2.152444444444477e-05,0.00040711955555555756,0.00010623566666666694,0.0,0.003964162333333331,6.944444444443007e-08,1.863333333333333e-05,0.0010485048888888905,,0.00035704099305555563
