id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
9,2026-07-17 10:33:43,nb15_ter20_udp_ddos,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.4861,0.1152,0.0,1.0,1.0,0.0
19,2026-07-17 10:34:00,nb15_ter20_udp_ddos,nb15,"Normal, DoS",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.49,0.1107,0.0,1.0,1.0,0.0
29,2026-07-17 10:34:17,nb15_ter20_udp_ddos,nb15,"Normal, Exploits",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.4861,0.0995,0.0,1.0,1.0,0.0
39,2026-07-17 10:34:34,nb15_ter20_udp_ddos,nb15,"Normal, Fuzzers",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.4535,0.0889,0.0,1.0,1.0,0.0
49,2026-07-17 10:34:51,nb15_ter20_udp_ddos,nb15,"Normal, Generic",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.4898,0.1202,0.0,1.0,1.0,0.0
59,2026-07-17 10:35:08,nb15_ter20_udp_ddos,nb15,"Normal, Reconnaissance",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.494,0.1116,0.0,1.0,1.0,0.0
69,2026-07-17 10:35:25,nb15_ter20_udp_ddos,injection,"Normal, Generic, Exploits, DoS, Fuzzers, Reconnaissance, UDP_DDoS, DDoS, Syn_DDoS, Botnet",102300,1,18600,0,1859,0.9091,1.0,0.0005,0.0011,0.4826,0.1065,0.0005,0.9995,1.0,0.0
79,2026-07-17 10:35:41,nb15_ter20_udp_ddos,nb15_stin,"Normal, DDoS, Syn_DDoS, UDP_DDoS, Botnet",102300,539,18600,0,1321,0.9354,1.0,0.2898,0.4494,0.7968,0.7365,0.2898,0.7102,1.0,0.0
89,2026-07-17 10:35:58,nb15_ter20_udp_ddos,nb15_sat20,"Normal, Syn_DDoS, UDP_DDoS",102300,872,18600,0,988,0.9517,1.0,0.4688,0.6384,0.8274,0.7127,0.4688,0.5312,1.0,0.0
99,2026-07-17 10:36:16,nb15_ter20_udp_ddos,nb15_ter20,"Normal, DDoS, UDP_DDoS, Botnet, Syn_DDoS",102300,307,18600,0,1553,0.9241,1.0,0.1651,0.2833,0.7925,0.7628,0.1651,0.8349,1.0,0.0
109,2026-07-17 10:36:33,nb15_ter20_udp_ddos,nb15_sat20,"Normal, Syn_DDoS",102300,1860,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
119,2026-07-17 10:36:51,nb15_ter20_udp_ddos,nb15_sat20,"Normal, UDP_DDoS",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.6718,0.4518,0.0,1.0,1.0,0.0
129,2026-07-17 10:37:07,nb15_ter20_udp_ddos,nb15_ter20,"Normal, Botnet",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.5939,0.5537,0.0,1.0,1.0,0.0
139,2026-07-17 10:37:24,nb15_ter20_udp_ddos,nb15_ter20,"Normal, DDoS",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.8287,0.7991,0.0,1.0,1.0,0.0
149,2026-07-17 10:37:41,nb15_ter20_udp_ddos,nb15_ter20,"Normal, Syn_DDoS",102300,806,18600,0,1054,0.9485,1.0,0.4333,0.6047,1.0,1.0,0.4333,0.5667,1.0,0.0
159,2026-07-17 10:37:58,nb15_ter20_udp_ddos,nb15_ter20,"Normal, UDP_DDoS",102300,1860,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
