id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
31,2026-07-17 10:29:42,nb15_stin_aggregate,nb15,"Normal, Fuzzers",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.5,0.0909,0.0,1.0,1.0,0.0
32,2026-07-17 10:29:43,nb15_sat20_aggregate,nb15,"Normal, Fuzzers",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.5016,0.0922,0.0,1.0,1.0,0.0
33,2026-07-17 10:29:45,nb15_ter20_aggregate,nb15,"Normal, Fuzzers",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.5067,0.0949,0.0,1.0,1.0,0.0
34,2026-07-17 10:29:47,nb15_sat20_syn_ddos,nb15,"Normal, Fuzzers",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.5051,0.095,0.0,1.0,1.0,0.0
35,2026-07-17 10:29:49,nb15_sat20_udp_ddos,nb15,"Normal, Fuzzers",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.4962,0.0905,0.0,1.0,1.0,0.0
36,2026-07-17 10:29:50,nb15_ter20_botnet,nb15,"Normal, Fuzzers",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.5014,0.0913,0.0,1.0,1.0,0.0
37,2026-07-17 10:29:52,nb15_ter20_ddos,nb15,"Normal, Fuzzers",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.5018,0.0915,0.0,1.0,1.0,0.0
38,2026-07-17 10:29:53,nb15_ter20_syn_ddos,nb15,"Normal, Fuzzers",102300,1,18600,0,1859,0.9091,1.0,0.0005,0.0011,0.5065,0.1318,0.0005,0.9995,1.0,0.0
39,2026-07-17 10:29:55,nb15_ter20_udp_ddos,nb15,"Normal, Fuzzers",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.4821,0.0918,0.0,1.0,1.0,0.0
40,2026-07-17 10:29:57,injection_aggregate,nb15,"Normal, Fuzzers",102300,348,18535,65,1512,0.9229,0.8426,0.1871,0.3062,0.9275,0.5816,0.1871,0.8129,0.9965,0.0035
