id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
8,2026-07-17 10:29:02,nb15_ter20_syn_ddos,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.6262,0.2257,0.0,1.0,1.0,0.0
18,2026-07-17 10:29:20,nb15_ter20_syn_ddos,nb15,"Normal, DoS",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.6482,0.2426,0.0,1.0,1.0,0.0
28,2026-07-17 10:29:37,nb15_ter20_syn_ddos,nb15,"Normal, Exploits",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.5685,0.146,0.0,1.0,1.0,0.0
38,2026-07-17 10:29:53,nb15_ter20_syn_ddos,nb15,"Normal, Fuzzers",102300,1,18600,0,1859,0.9091,1.0,0.0005,0.0011,0.5065,0.1318,0.0005,0.9995,1.0,0.0
48,2026-07-17 10:30:11,nb15_ter20_syn_ddos,nb15,"Normal, Generic",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.7493,0.37,0.0,1.0,1.0,0.0
58,2026-07-17 10:30:28,nb15_ter20_syn_ddos,nb15,"Normal, Reconnaissance",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.4586,0.1532,0.0,1.0,1.0,0.0
68,2026-07-17 10:30:46,nb15_ter20_syn_ddos,injection,"Normal, Generic, Exploits, DoS, Fuzzers, Reconnaissance, UDP_DDoS, DDoS, Syn_DDoS, Botnet",102300,3,18600,0,1857,0.9092,1.0,0.0016,0.0032,0.6261,0.2145,0.0016,0.9984,1.0,0.0
78,2026-07-17 10:31:03,nb15_ter20_syn_ddos,nb15_stin,"Normal, DDoS, Syn_DDoS, UDP_DDoS, Botnet",102300,973,18600,0,887,0.9566,1.0,0.5231,0.6869,0.9996,0.9959,0.5231,0.4769,1.0,0.0
88,2026-07-17 10:31:20,nb15_ter20_syn_ddos,nb15_sat20,"Normal, Syn_DDoS, UDP_DDoS",102300,1264,18600,0,596,0.9709,1.0,0.6796,0.8092,0.9994,0.9943,0.6796,0.3204,1.0,0.0
98,2026-07-17 10:31:38,nb15_ter20_syn_ddos,nb15_ter20,"Normal, DDoS, UDP_DDoS, Botnet, Syn_DDoS",102300,767,18600,0,1093,0.9466,1.0,0.4124,0.5839,0.9997,0.9973,0.4124,0.5876,1.0,0.0
108,2026-07-17 10:31:55,nb15_ter20_syn_ddos,nb15_sat20,"Normal, Syn_DDoS",102300,1860,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
118,2026-07-17 10:32:11,nb15_ter20_syn_ddos,nb15_sat20,"Normal, UDP_DDoS",102300,739,18600,0,1121,0.9452,1.0,0.3973,0.5687,0.9989,0.9885,0.3973,0.6027,1.0,0.0
128,2026-07-17 10:32:28,nb15_ter20_syn_ddos,nb15_ter20,"Normal, Botnet",102300,10,18600,0,1850,0.9096,1.0,0.0054,0.0107,0.9995,0.9938,0.0054,0.9946,1.0,0.0
138,2026-07-17 10:32:45,nb15_ter20_syn_ddos,nb15_ter20,"Normal, DDoS",102300,739,18600,0,1121,0.9452,1.0,0.3973,0.5687,0.9998,0.9982,0.3973,0.6027,1.0,0.0
148,2026-07-17 10:33:02,nb15_ter20_syn_ddos,nb15_ter20,"Normal, Syn_DDoS",102300,1860,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
158,2026-07-17 10:33:20,nb15_ter20_syn_ddos,nb15_ter20,"Normal, UDP_DDoS",102300,1860,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
