id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
10,2026-07-17 10:01:18,injection_aggregate,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,1483,18533,67,377,0.9783,0.9568,0.7973,0.8698,0.9839,0.9242,0.7973,0.2027,0.9964,0.0036
20,2026-07-17 10:01:35,injection_aggregate,nb15,"Normal, DoS",102300,1663,18533,67,197,0.9871,0.9613,0.8941,0.9265,0.9928,0.9631,0.8941,0.1059,0.9964,0.0036
30,2026-07-17 10:01:52,injection_aggregate,nb15,"Normal, Exploits",102300,1525,18533,67,335,0.9804,0.9579,0.8199,0.8835,0.9901,0.9454,0.8199,0.1801,0.9964,0.0036
40,2026-07-17 10:02:09,injection_aggregate,nb15,"Normal, Fuzzers",102300,339,18533,67,1521,0.9224,0.835,0.1823,0.2992,0.9262,0.5768,0.1823,0.8177,0.9964,0.0036
50,2026-07-17 10:02:26,injection_aggregate,nb15,"Normal, Generic",102300,1841,18533,67,19,0.9958,0.9649,0.9898,0.9772,0.9993,0.9967,0.9898,0.0102,0.9964,0.0036
60,2026-07-17 10:02:44,injection_aggregate,nb15,"Normal, Reconnaissance",102300,1645,18533,67,215,0.9862,0.9609,0.8844,0.9211,0.9957,0.9607,0.8844,0.1156,0.9964,0.0036
70,2026-07-17 10:03:02,injection_aggregate,injection,"Normal, Generic, Exploits, DoS, Fuzzers, Reconnaissance, UDP_DDoS, DDoS, Syn_DDoS, Botnet",102300,1506,18533,67,354,0.9794,0.9574,0.8097,0.8774,0.9866,0.9325,0.8097,0.1903,0.9964,0.0036
80,2026-07-17 10:03:19,injection_aggregate,nb15_stin,"Normal, DDoS, Syn_DDoS, UDP_DDoS, Botnet",102300,1781,18533,67,79,0.9929,0.9637,0.9575,0.9606,0.999,0.9925,0.9575,0.0425,0.9964,0.0036
90,2026-07-17 10:03:36,injection_aggregate,nb15_sat20,"Normal, Syn_DDoS, UDP_DDoS",102300,1852,18533,67,8,0.9963,0.9651,0.9957,0.9802,0.9996,0.9959,0.9957,0.0043,0.9964,0.0036
100,2026-07-17 10:03:53,injection_aggregate,nb15_ter20,"Normal, DDoS, UDP_DDoS, Botnet, Syn_DDoS",102300,1756,18533,67,104,0.9916,0.9632,0.9441,0.9536,0.9983,0.9901,0.9441,0.0559,0.9964,0.0036
110,2026-07-17 10:04:10,injection_aggregate,nb15_sat20,"Normal, Syn_DDoS",102300,1832,18533,67,28,0.9954,0.9647,0.9849,0.9747,0.9991,0.9898,0.9849,0.0151,0.9964,0.0036
120,2026-07-17 10:04:27,injection_aggregate,nb15_sat20,"Normal, UDP_DDoS",102300,1860,18533,67,0,0.9967,0.9652,1.0,0.9823,1.0,0.9999,1.0,0.0,0.9964,0.0036
130,2026-07-17 10:04:43,injection_aggregate,nb15_ter20,"Normal, Botnet",102300,1860,18533,67,0,0.9967,0.9652,1.0,0.9823,0.9999,0.9994,1.0,0.0,0.9964,0.0036
140,2026-07-17 10:05:00,injection_aggregate,nb15_ter20,"Normal, DDoS",102300,1860,18533,67,0,0.9967,0.9652,1.0,0.9823,1.0,0.9997,1.0,0.0,0.9964,0.0036
150,2026-07-17 10:05:18,injection_aggregate,nb15_ter20,"Normal, Syn_DDoS",102300,1070,18533,67,790,0.9581,0.9411,0.5753,0.714,0.993,0.949,0.5753,0.4247,0.9964,0.0036
160,2026-07-17 10:05:35,injection_aggregate,nb15_ter20,"Normal, UDP_DDoS",102300,1769,18533,67,91,0.9923,0.9635,0.9511,0.9573,0.9964,0.9743,0.9511,0.0489,0.9964,0.0036
