id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
5,2026-07-17 10:19:42,nb15_sat20_udp_ddos,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.7364,0.1845,0.0,1.0,1.0,0.0
15,2026-07-17 10:19:59,nb15_sat20_udp_ddos,nb15,"Normal, DoS",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.7629,0.205,0.0,1.0,1.0,0.0
25,2026-07-17 10:20:16,nb15_sat20_udp_ddos,nb15,"Normal, Exploits",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.6237,0.1524,0.0,1.0,1.0,0.0
35,2026-07-17 10:20:33,nb15_sat20_udp_ddos,nb15,"Normal, Fuzzers",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.6312,0.1242,0.0,1.0,1.0,0.0
45,2026-07-17 10:20:51,nb15_sat20_udp_ddos,nb15,"Normal, Generic",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.8506,0.2741,0.0,1.0,1.0,0.0
55,2026-07-17 10:21:09,nb15_sat20_udp_ddos,nb15,"Normal, Reconnaissance",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.7813,0.2017,0.0,1.0,1.0,0.0
65,2026-07-17 10:21:26,nb15_sat20_udp_ddos,injection,"Normal, Generic, Exploits, DoS, Fuzzers, Reconnaissance, UDP_DDoS, DDoS, Syn_DDoS, Botnet",102300,5,18600,0,1855,0.9093,1.0,0.0027,0.0054,0.7368,0.1907,0.0027,0.9973,1.0,0.0
75,2026-07-17 10:21:43,nb15_sat20_udp_ddos,nb15_stin,"Normal, DDoS, Syn_DDoS, UDP_DDoS, Botnet",102300,1235,18600,0,625,0.9695,1.0,0.664,0.7981,0.9996,0.9959,0.664,0.336,1.0,0.0
85,2026-07-17 10:22:01,nb15_sat20_udp_ddos,nb15_sat20,"Normal, Syn_DDoS, UDP_DDoS",102300,987,18600,0,873,0.9573,1.0,0.5306,0.6934,0.9994,0.9941,0.5306,0.4694,1.0,0.0
95,2026-07-17 10:22:17,nb15_sat20_udp_ddos,nb15_ter20,"Normal, DDoS, UDP_DDoS, Botnet, Syn_DDoS",102300,1427,18600,0,433,0.9788,1.0,0.7672,0.8683,0.9998,0.9977,0.7672,0.2328,1.0,0.0
105,2026-07-17 10:22:34,nb15_sat20_udp_ddos,nb15_sat20,"Normal, Syn_DDoS",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.9988,0.9868,0.0,1.0,1.0,0.0
115,2026-07-17 10:22:51,nb15_sat20_udp_ddos,nb15_sat20,"Normal, UDP_DDoS",102300,1860,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
125,2026-07-17 10:23:07,nb15_sat20_udp_ddos,nb15_ter20,"Normal, Botnet",102300,1860,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
135,2026-07-17 10:23:25,nb15_sat20_udp_ddos,nb15_ter20,"Normal, DDoS",102300,1860,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
145,2026-07-17 10:23:42,nb15_sat20_udp_ddos,nb15_ter20,"Normal, Syn_DDoS",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.999,0.9869,0.0,1.0,1.0,0.0
155,2026-07-17 10:23:59,nb15_sat20_udp_ddos,nb15_ter20,"Normal, UDP_DDoS",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.9989,0.9883,0.0,1.0,1.0,0.0
