model_label,Aggregate nb15,DoS nb15,Exploits nb15,Fuzzers nb15,Generic nb15,Reconnaissance nb15,Aggregate injection,Aggregate nb15_stin,Aggregate nb15_sat20,Aggregate nb15_ter20,Syn_DDoS nb15_sat20,UDP_DDoS nb15_sat20,Botnet nb15_ter20,DDoS nb15_ter20,Syn_DDoS nb15_ter20,UDP_DDoS nb15_ter20, ,Average
HGB (Aggregate nb15_stin),0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.9995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.56266875
HGB (Aggregate nb15_sat20),0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.98894,0.9996500000000001,0.98386,1.0,1.0,1.0,1.0,0.86371,1.0,,0.55246
HGB (Aggregate nb15_ter20),0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.9995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.56266875
HGB (Syn_DDoS nb15_sat20),0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.2586,0.4688,0.1129,1.0,0.0,0.0,0.0,0.0,1.0,,0.17754999999999999
HGB (UDP_DDoS nb15_sat20),0.0,0.0,0.0,0.0,0.0,0.0,0.0027,0.664,0.5306,0.7672,0.0,1.0,1.0,1.0,0.0,0.0,,0.31028125
HGB (Botnet nb15_ter20),0.0,0.0,0.0,0.0,0.0,0.0,0.0031,0.88376,0.87476,0.90136,0.73469,1.0,1.0,1.0,0.46029,0.72406,,0.47387625
HGB (DDoS nb15_ter20),0.0,0.0,0.0,0.0,0.0,0.0,0.0027,0.664,0.5306,0.7672,0.0,1.0,1.0,1.0,0.0,0.0,,0.31028125
HGB (Syn_DDoS nb15_ter20),0.0,0.0,5e-05,0.0001,0.0,0.0,0.00196,0.55897,0.68247,0.46468,1.0,0.40214,0.10339000000000001,0.45452000000000004,1.0,1.0,,0.35426749999999996
HGB (UDP_DDoS nb15_ter20),0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.27732,0.4688,0.14422,1.0,0.0,0.0,0.0,0.25998,1.0,,0.19692625000000002
  ,,,,,,,,,,,,,,,,,,
HGB (Aggregate injection),0.79802,0.8929500000000001,0.81859,0.18392999999999998,0.9904999999999999,0.88113,0.80695,0.84945,0.9095599999999999,0.81505,0.92871,0.8944000000000001,0.8683400000000001,0.8763400000000001,0.49885999999999997,0.82656,,0.80245875
