id,model_name,seed_0,seed_1,seed_101,seed_123,seed_12345,seed_1337,seed_2026,seed_42,seed_7,seed_999
1,injection_aggregate,0.890875,0.8347875,0.8525,0.8009875,0.839475,0.87045625,0.87680625,0.79354375,0.8901249999999999,0.89118125
2,nb15_sat20_aggregate,0.5628625,0.5608375,0.5628625,0.544025,0.5608375,0.5433375,0.56288125,0.5628625,0.54375,0.56288125
3,nb15_sat20_syn_ddos,0.20333125,0.20333125,0.20333125,0.20333125,0.20333125,0.20333125,0.20333125,0.20333125,0.20333125,0.20333125
4,nb15_sat20_udp_ddos,0.335325,0.335325,0.335325,0.335325,0.335325,0.335325,0.335325,0.335325,0.335325,0.335325
5,nb15_stin_aggregate,0.56288125,0.56288125,0.56288125,0.56288125,0.56288125,0.56288125,0.56288125,0.56288125,0.56288125,0.56288125
6,nb15_ter20_aggregate,0.56288125,0.56288125,0.56288125,0.56288125,0.56288125,0.56288125,0.56288125,0.56288125,0.56288125,0.56288125
7,nb15_ter20_botnet,0.5349375,0.5349375,0.5349375,0.5349375,0.5349375,0.34878125,0.53023125,0.34865,0.5349375,0.53023125
8,nb15_ter20_ddos,0.335325,0.335325,0.335325,0.335325,0.335325,0.335325,0.335325,0.335325,0.335325,0.335325
9,nb15_ter20_syn_ddos,0.4281375,0.4281375,0.42538750000000003,0.42538750000000003,0.3938125,0.38971875,0.389525,0.389925,0.4246,0.38975
10,nb15_ter20_udp_ddos,0.20333125,0.20333125,0.24855624999999998,0.24855624999999998,0.24855624999999998,0.24855624999999998,0.20333125,0.20333125,0.24855624999999998,0.24855624999999998
