id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
4,2026-07-17 08:13:28,nb15_sat20_syn_ddos,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.5,0.0909,0.0,1.0,1.0,0.0
14,2026-07-17 08:13:47,nb15_sat20_syn_ddos,nb15,"Normal, DoS",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.5,0.0909,0.0,1.0,1.0,0.0
24,2026-07-17 08:14:05,nb15_sat20_syn_ddos,nb15,"Normal, Exploits",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.5,0.0909,0.0,1.0,1.0,0.0
34,2026-07-17 08:14:24,nb15_sat20_syn_ddos,nb15,"Normal, Fuzzers",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.5,0.0909,0.0,1.0,1.0,0.0
44,2026-07-17 08:14:42,nb15_sat20_syn_ddos,nb15,"Normal, Generic",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.5,0.0909,0.0,1.0,1.0,0.0
54,2026-07-17 08:15:00,nb15_sat20_syn_ddos,nb15,"Normal, Reconnaissance",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.5,0.0909,0.0,1.0,1.0,0.0
64,2026-07-17 08:15:18,nb15_sat20_syn_ddos,injection,"Normal, Generic, Exploits, DoS, Fuzzers, Reconnaissance, UDP_DDoS, DDoS, Syn_DDoS, Botnet",102300,1,18600,0,1859,0.9091,1.0,0.0005,0.0011,0.5016,0.0938,0.0005,0.9995,1.0,0.0
74,2026-07-17 08:15:37,nb15_sat20_syn_ddos,nb15_stin,"Normal, DDoS, Syn_DDoS, UDP_DDoS, Botnet",102300,615,18600,0,1245,0.9391,1.0,0.3306,0.497,0.9997,0.9995,0.3306,0.6694,1.0,0.0
84,2026-07-17 08:15:54,nb15_sat20_syn_ddos,nb15_sat20,"Normal, Syn_DDoS, UDP_DDoS",102300,872,18600,0,988,0.9517,1.0,0.4688,0.6384,1.0,1.0,0.4688,0.5312,1.0,0.0
94,2026-07-17 08:16:12,nb15_sat20_syn_ddos,nb15_ter20,"Normal, DDoS, UDP_DDoS, Botnet, Syn_DDoS",102300,418,18600,0,1442,0.9295,1.0,0.2247,0.367,1.0,1.0,0.2247,0.7753,1.0,0.0
104,2026-07-17 08:16:29,nb15_sat20_syn_ddos,nb15_sat20,"Normal, Syn_DDoS",102300,1860,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
114,2026-07-17 08:16:47,nb15_sat20_syn_ddos,nb15_sat20,"Normal, UDP_DDoS",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
124,2026-07-17 08:17:04,nb15_sat20_syn_ddos,nb15_ter20,"Normal, Botnet",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
134,2026-07-17 08:17:22,nb15_sat20_syn_ddos,nb15_ter20,"Normal, DDoS",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
144,2026-07-17 08:17:40,nb15_sat20_syn_ddos,nb15_ter20,"Normal, Syn_DDoS",102300,1741,18600,0,119,0.9942,1.0,0.936,0.967,1.0,1.0,0.936,0.064,1.0,0.0
154,2026-07-17 08:17:57,nb15_sat20_syn_ddos,nb15_ter20,"Normal, UDP_DDoS",102300,1860,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
