id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
10,2026-07-17 08:41:56,injection_aggregate,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,1524,18425,175,336,0.975,0.897,0.8194,0.8564,0.9694,0.9098,0.8194,0.1806,0.9906,0.0094
20,2026-07-17 08:42:13,injection_aggregate,nb15,"Normal, DoS",102300,1700,18425,175,160,0.9836,0.9067,0.914,0.9103,0.9899,0.9609,0.914,0.086,0.9906,0.0094
30,2026-07-17 08:42:31,injection_aggregate,nb15,"Normal, Exploits",102300,1605,18425,175,255,0.979,0.9017,0.8629,0.8819,0.9833,0.9356,0.8629,0.1371,0.9906,0.0094
40,2026-07-17 08:42:48,injection_aggregate,nb15,"Normal, Fuzzers",102300,445,18425,175,1415,0.9223,0.7177,0.2392,0.3589,0.8436,0.5127,0.2392,0.7608,0.9906,0.0094
50,2026-07-17 08:43:05,injection_aggregate,nb15,"Normal, Generic",102300,1844,18425,175,16,0.9907,0.9133,0.9914,0.9508,0.9992,0.9938,0.9914,0.0086,0.9906,0.0094
60,2026-07-17 08:43:23,injection_aggregate,nb15,"Normal, Reconnaissance",102300,1597,18425,175,263,0.9786,0.9012,0.8586,0.8794,0.99,0.9469,0.8586,0.1414,0.9906,0.0094
70,2026-07-17 08:43:40,injection_aggregate,injection,"Normal, Generic, Exploits, DoS, Fuzzers, Reconnaissance, UDP_DDoS, DDoS, Syn_DDoS, Botnet",102300,1533,18425,175,327,0.9755,0.8975,0.8242,0.8593,0.973,0.9171,0.8242,0.1758,0.9906,0.0094
80,2026-07-17 08:43:57,injection_aggregate,nb15_stin,"Normal, DDoS, Syn_DDoS, UDP_DDoS, Botnet",102300,1852,18425,175,8,0.9911,0.9137,0.9957,0.9529,0.9988,0.9783,0.9957,0.0043,0.9906,0.0094
90,2026-07-17 08:44:14,injection_aggregate,nb15_sat20,"Normal, Syn_DDoS, UDP_DDoS",102300,1859,18425,175,1,0.9914,0.914,0.9995,0.9548,0.9991,0.9844,0.9995,0.0005,0.9906,0.0094
100,2026-07-17 08:44:31,injection_aggregate,nb15_ter20,"Normal, DDoS, UDP_DDoS, Botnet, Syn_DDoS",102300,1844,18425,175,16,0.9907,0.9133,0.9914,0.9508,0.9985,0.975,0.9914,0.0086,0.9906,0.0094
110,2026-07-17 08:44:49,injection_aggregate,nb15_sat20,"Normal, Syn_DDoS",102300,1860,18425,175,0,0.9914,0.914,1.0,0.9551,0.999,0.982,1.0,0.0,0.9906,0.0094
120,2026-07-17 08:45:06,injection_aggregate,nb15_sat20,"Normal, UDP_DDoS",102300,1859,18425,175,1,0.9914,0.914,0.9995,0.9548,0.9993,0.9882,0.9995,0.0005,0.9906,0.0094
130,2026-07-17 08:45:24,injection_aggregate,nb15_ter20,"Normal, Botnet",102300,1857,18425,175,3,0.9913,0.9139,0.9984,0.9543,0.9978,0.9646,0.9984,0.0016,0.9906,0.0094
140,2026-07-17 08:45:42,injection_aggregate,nb15_ter20,"Normal, DDoS",102300,1860,18425,175,0,0.9914,0.914,1.0,0.9551,0.9992,0.9861,1.0,0.0,0.9906,0.0094
150,2026-07-17 08:45:58,injection_aggregate,nb15_ter20,"Normal, Syn_DDoS",102300,1736,18425,175,124,0.9854,0.9084,0.9333,0.9207,0.9979,0.9584,0.9333,0.0667,0.9906,0.0094
160,2026-07-17 08:46:15,injection_aggregate,nb15_ter20,"Normal, UDP_DDoS",102300,1860,18425,175,0,0.9914,0.914,1.0,0.9551,0.9985,0.9758,1.0,0.0,0.9906,0.0094
