id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
6,2026-07-17 08:18:21,nb15_ter20_botnet,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.505,0.097,0.0,1.0,1.0,0.0
16,2026-07-17 08:18:39,nb15_ter20_botnet,nb15,"Normal, DoS",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.5158,0.1161,0.0,1.0,1.0,0.0
26,2026-07-17 08:18:56,nb15_ter20_botnet,nb15,"Normal, Exploits",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.5077,0.1016,0.0,1.0,1.0,0.0
36,2026-07-17 08:19:13,nb15_ter20_botnet,nb15,"Normal, Fuzzers",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.509,0.1028,0.0,1.0,1.0,0.0
46,2026-07-17 08:19:31,nb15_ter20_botnet,nb15,"Normal, Generic",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.5004,0.0913,0.0,1.0,1.0,0.0
56,2026-07-17 08:19:48,nb15_ter20_botnet,nb15,"Normal, Reconnaissance",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.5028,0.094,0.0,1.0,1.0,0.0
66,2026-07-17 08:20:05,nb15_ter20_botnet,injection,"Normal, Generic, Exploits, DoS, Fuzzers, Reconnaissance, UDP_DDoS, DDoS, Syn_DDoS, Botnet",102300,6,18600,0,1854,0.9094,1.0,0.0032,0.0064,0.5072,0.1019,0.0032,0.9968,1.0,0.0
76,2026-07-17 08:20:23,nb15_ter20_botnet,nb15_stin,"Normal, DDoS, Syn_DDoS, UDP_DDoS, Botnet",102300,1720,18600,0,140,0.9932,1.0,0.9247,0.9609,1.0,1.0,0.9247,0.0753,1.0,0.0
86,2026-07-17 08:20:40,nb15_ter20_botnet,nb15_sat20,"Normal, Syn_DDoS, UDP_DDoS",102300,1743,18600,0,117,0.9943,1.0,0.9371,0.9675,1.0,1.0,0.9371,0.0629,1.0,0.0
96,2026-07-17 08:20:58,nb15_ter20_botnet,nb15_ter20,"Normal, DDoS, UDP_DDoS, Botnet, Syn_DDoS",102300,1728,18600,0,132,0.9935,1.0,0.929,0.9632,1.0,1.0,0.929,0.071,1.0,0.0
106,2026-07-17 08:21:15,nb15_ter20_botnet,nb15_sat20,"Normal, Syn_DDoS",102300,1618,18600,0,242,0.9882,1.0,0.8699,0.9304,1.0,1.0,0.8699,0.1301,1.0,0.0
116,2026-07-17 08:21:33,nb15_ter20_botnet,nb15_sat20,"Normal, UDP_DDoS",102300,1860,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
126,2026-07-17 08:21:50,nb15_ter20_botnet,nb15_ter20,"Normal, Botnet",102300,1860,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
136,2026-07-17 08:22:08,nb15_ter20_botnet,nb15_ter20,"Normal, DDoS",102300,1860,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
146,2026-07-17 08:22:25,nb15_ter20_botnet,nb15_ter20,"Normal, Syn_DDoS",102300,1070,18600,0,790,0.9614,1.0,0.5753,0.7304,1.0,1.0,0.5753,0.4247,1.0,0.0
156,2026-07-17 08:22:43,nb15_ter20_botnet,nb15_ter20,"Normal, UDP_DDoS",102300,1600,18600,0,260,0.9873,1.0,0.8602,0.9249,1.0,1.0,0.8602,0.1398,1.0,0.0
