model_label,Aggregate nb15,DoS nb15,Exploits nb15,Fuzzers nb15,Generic nb15,Reconnaissance nb15,Aggregate injection,Aggregate nb15_stin,Aggregate nb15_sat20,Aggregate nb15_ter20,Syn_DDoS nb15_sat20,UDP_DDoS nb15_sat20,Botnet nb15_ter20,DDoS nb15_ter20,Syn_DDoS nb15_ter20,UDP_DDoS nb15_ter20, ,Average
RF (Aggregate nb15_stin),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666665875e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.166666666666172e-09
RF (Aggregate nb15_sat20),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49999999999969e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.5624999999998062e-09
RF (Aggregate nb15_ter20),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.833333333332607e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.645833333332879e-09
RF (Syn_DDoS nb15_sat20),0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.936111111111109e-06,0.0,2.4381000000000077e-05,0.0,0.0,0.0,0.0,0.0014312217777777822,0.0,,9.147118055555584e-05
RF (UDP_DDoS nb15_sat20),0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333333334262e-07,0.0,1.70100000000003e-06,0.0,0.0,0.0,0.0,6.902933333333329e-05,0.0,,4.435229166666666e-06
RF (Botnet nb15_ter20),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002410355555555563,0.0005886587777777765,6.730988888888828e-05,0.0024819039999999975,0.0,0.0,0.0,0.0,0.002747001000000005,,0.000382869326388889
RF (DDoS nb15_ter20),0.0,0.0,0.0,0.0,0.0,0.0,5.833333333333335e-08,0.013648626222222213,0.03549971655555557,0.00469764455555556,0.16338588933333334,0.0,0.0,0.0,0.053166822777777775,0.15917021788888885,,0.026848060979166664
RF (Syn_DDoS nb15_ter20),0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.600000000000191e-08,0.0,2.4999999999995254e-08,0.0,0.0,2.4999999999995254e-08,5.83333333333185e-08,0.0,0.0,,9.020833333331933e-09
RF (UDP_DDoS nb15_ter20),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
  ,,,,,,,,,,,,,,,,,,
RF (Aggregate injection),2.752111111111129e-06,2.7311111111110716e-06,2.4112222222220957e-06,9.23822222222226e-06,5.833333333331933e-08,2.1715555555555303e-06,3.5973333333332913e-06,9.124900000000018e-05,9.377777777776534e-08,0.0002277155555555551,7.3960000000001076e-06,5.833333333332198e-08,0.0013943143333333343,0.0,0.00021460622222222245,0.0002627716666666669,,0.0001388227986111112
