id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
4,2026-07-16 16:42:38,nb15_fuzzers,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,642,17899,701,1218,0.9062,0.478,0.3452,0.4009,0.7139,0.2662,0.3452,0.6548,0.9623,0.0377
11,2026-07-16 16:42:51,nb15_fuzzers,nb15,"Normal, DoS",102300,1456,17899,701,404,0.946,0.675,0.7828,0.7249,0.873,0.5026,0.7828,0.2172,0.9623,0.0377
18,2026-07-16 16:43:03,nb15_fuzzers,nb15,"Normal, Exploits",102300,780,17899,701,1080,0.913,0.5267,0.4194,0.4669,0.6785,0.2488,0.4194,0.5806,0.9623,0.0377
25,2026-07-16 16:43:15,nb15_fuzzers,nb15,"Normal, Fuzzers",102300,897,17899,701,963,0.9187,0.5613,0.4823,0.5188,0.7725,0.3609,0.4823,0.5177,0.9623,0.0377
32,2026-07-16 16:43:28,nb15_fuzzers,nb15,"Normal, Generic",102300,285,17899,701,1575,0.8888,0.289,0.1532,0.2003,0.6795,0.2167,0.1532,0.8468,0.9623,0.0377
39,2026-07-16 16:43:40,nb15_fuzzers,nb15,"Normal, Reconnaissance",102300,349,17899,701,1511,0.8919,0.3324,0.1876,0.2399,0.585,0.1424,0.1876,0.8124,0.9623,0.0377
46,2026-07-16 16:43:53,nb15_fuzzers,injection,"Normal, Generic, Exploits, DoS, Fuzzers, Reconnaissance, UDP_DDoS, DDoS, Syn_DDoS, Botnet",102300,644,17899,701,1216,0.9063,0.4788,0.3462,0.4019,0.7062,0.2609,0.3462,0.6538,0.9623,0.0377
53,2026-07-16 16:44:05,nb15_fuzzers,nb15_stin,"Normal, DDoS, Syn_DDoS, UDP_DDoS, Botnet",102300,860,17899,701,1000,0.9169,0.5509,0.4624,0.5028,0.7407,0.3444,0.4624,0.5376,0.9623,0.0377
60,2026-07-16 16:44:18,nb15_fuzzers,nb15_sat20,"Normal, Syn_DDoS, UDP_DDoS",102300,882,17899,701,978,0.9179,0.5572,0.4742,0.5123,0.7567,0.3638,0.4742,0.5258,0.9623,0.0377
67,2026-07-16 16:44:30,nb15_fuzzers,nb15_ter20,"Normal, DDoS, UDP_DDoS, Botnet, Syn_DDoS",102300,885,17899,701,975,0.9181,0.558,0.4758,0.5136,0.7406,0.3468,0.4758,0.5242,0.9623,0.0377
74,2026-07-16 16:44:42,nb15_fuzzers,nb15_sat20,"Normal, Syn_DDoS",102300,166,17899,701,1694,0.8829,0.1915,0.0892,0.1217,0.608,0.1701,0.0892,0.9108,0.9623,0.0377
81,2026-07-16 16:44:54,nb15_fuzzers,nb15_sat20,"Normal, UDP_DDoS",102300,1513,17899,701,347,0.9488,0.6834,0.8134,0.7428,0.8835,0.5741,0.8134,0.1866,0.9623,0.0377
88,2026-07-16 16:45:06,nb15_fuzzers,nb15_ter20,"Normal, Botnet",102300,1635,17899,701,225,0.9547,0.6999,0.879,0.7793,0.9312,0.6436,0.879,0.121,0.9623,0.0377
95,2026-07-16 16:45:18,nb15_fuzzers,nb15_ter20,"Normal, DDoS",102300,826,17899,701,1034,0.9152,0.5409,0.4441,0.4877,0.692,0.2932,0.4441,0.5559,0.9623,0.0377
102,2026-07-16 16:45:29,nb15_fuzzers,nb15_ter20,"Normal, Syn_DDoS",102300,0,17899,701,1860,0.8748,0.0,0.0,0.0,0.5412,0.1255,0.0,1.0,0.9623,0.0377
109,2026-07-16 16:45:42,nb15_fuzzers,nb15_ter20,"Normal, UDP_DDoS",102300,172,17899,701,1688,0.8832,0.197,0.0925,0.1259,0.6488,0.2142,0.0925,0.9075,0.9623,0.0377
