id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
1,2026-07-16 16:52:40,nb15_aggregate,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,1525,18284,316,335,0.9682,0.8284,0.8199,0.8241,0.9079,0.6971,0.8199,0.1801,0.983,0.017
8,2026-07-16 16:52:52,nb15_aggregate,nb15,"Normal, DoS",102300,1682,18284,316,178,0.9759,0.8418,0.9043,0.872,0.9445,0.7406,0.9043,0.0957,0.983,0.017
15,2026-07-16 16:53:05,nb15_aggregate,nb15,"Normal, Exploits",102300,1563,18284,316,297,0.97,0.8318,0.8403,0.8361,0.9096,0.7016,0.8403,0.1597,0.983,0.017
22,2026-07-16 16:53:18,nb15_aggregate,nb15,"Normal, Fuzzers",102300,525,18284,316,1335,0.9193,0.6243,0.2823,0.3887,0.6741,0.2815,0.2823,0.7177,0.983,0.017
29,2026-07-16 16:53:30,nb15_aggregate,nb15,"Normal, Generic",102300,1845,18284,316,15,0.9838,0.8538,0.9919,0.9177,0.9878,0.8514,0.9919,0.0081,0.983,0.017
36,2026-07-16 16:53:43,nb15_aggregate,nb15,"Normal, Reconnaissance",102300,1624,18284,316,236,0.973,0.8371,0.8731,0.8547,0.9305,0.7117,0.8731,0.1269,0.983,0.017
43,2026-07-16 16:53:54,nb15_aggregate,injection,"Normal, Generic, Exploits, DoS, Fuzzers, Reconnaissance, UDP_DDoS, DDoS, Syn_DDoS, Botnet",102300,1537,18284,316,323,0.9688,0.8295,0.8263,0.8279,0.9108,0.7032,0.8263,0.1737,0.983,0.017
50,2026-07-16 16:54:07,nb15_aggregate,nb15_stin,"Normal, DDoS, Syn_DDoS, UDP_DDoS, Botnet",102300,1076,18284,316,784,0.9462,0.773,0.5785,0.6617,0.7725,0.4891,0.5785,0.4215,0.983,0.017
57,2026-07-16 16:54:18,nb15_aggregate,nb15_sat20,"Normal, Syn_DDoS, UDP_DDoS",102300,925,18284,316,935,0.9389,0.7454,0.4973,0.5966,0.7296,0.4191,0.4973,0.5027,0.983,0.017
64,2026-07-16 16:54:31,nb15_aggregate,nb15_ter20,"Normal, DDoS, UDP_DDoS, Botnet, Syn_DDoS",102300,1231,18284,316,629,0.9538,0.7957,0.6618,0.7226,0.8163,0.5616,0.6618,0.3382,0.983,0.017
71,2026-07-16 16:54:43,nb15_aggregate,nb15_sat20,"Normal, Syn_DDoS",102300,142,18284,316,1718,0.9006,0.31,0.0763,0.1225,0.5102,0.1081,0.0763,0.9237,0.983,0.017
78,2026-07-16 16:54:54,nb15_aggregate,nb15_sat20,"Normal, UDP_DDoS",102300,1615,18284,316,245,0.9726,0.8364,0.8683,0.852,0.9231,0.7416,0.8683,0.1317,0.983,0.017
85,2026-07-16 16:55:07,nb15_aggregate,nb15_ter20,"Normal, Botnet",102300,1694,18284,316,166,0.9764,0.8428,0.9108,0.8755,0.9452,0.7791,0.9108,0.0892,0.983,0.017
92,2026-07-16 16:55:18,nb15_aggregate,nb15_ter20,"Normal, DDoS",102300,1480,18284,316,380,0.966,0.8241,0.7957,0.8096,0.8852,0.6776,0.7957,0.2043,0.983,0.017
99,2026-07-16 16:55:31,nb15_aggregate,nb15_ter20,"Normal, Syn_DDoS",102300,116,18284,316,1744,0.8993,0.2685,0.0624,0.1012,0.5029,0.1023,0.0624,0.9376,0.983,0.017
106,2026-07-16 16:55:42,nb15_aggregate,nb15_ter20,"Normal, UDP_DDoS",102300,250,18284,316,1610,0.9059,0.4417,0.1344,0.2061,0.5404,0.139,0.1344,0.8656,0.983,0.017
