id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
5,2026-07-16 16:52:47,nb15_generic,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,1125,18591,9,735,0.9636,0.9921,0.6048,0.7515,0.8025,0.6365,0.6048,0.3952,0.9995,0.0005
12,2026-07-16 16:53:00,nb15_generic,nb15,"Normal, DoS",102300,1366,18591,9,494,0.9754,0.9935,0.7344,0.8445,0.8676,0.753,0.7344,0.2656,0.9995,0.0005
19,2026-07-16 16:53:12,nb15_generic,nb15,"Normal, Exploits",102300,816,18591,9,1044,0.9485,0.9891,0.4387,0.6078,0.7187,0.4834,0.4387,0.5613,0.9995,0.0005
26,2026-07-16 16:53:25,nb15_generic,nb15,"Normal, Fuzzers",102300,225,18591,9,1635,0.9196,0.9615,0.121,0.2149,0.5616,0.1975,0.121,0.879,0.9995,0.0005
33,2026-07-16 16:53:37,nb15_generic,nb15,"Normal, Generic",102300,1834,18591,9,26,0.9983,0.9951,0.986,0.9905,0.9928,0.9825,0.986,0.014,0.9995,0.0005
40,2026-07-16 16:53:49,nb15_generic,nb15,"Normal, Reconnaissance",102300,263,18591,9,1597,0.9215,0.9669,0.1414,0.2467,0.5697,0.2127,0.1414,0.8586,0.9995,0.0005
47,2026-07-16 16:54:02,nb15_generic,injection,"Normal, Generic, Exploits, DoS, Fuzzers, Reconnaissance, UDP_DDoS, DDoS, Syn_DDoS, Botnet",102300,1118,18591,9,742,0.9633,0.992,0.6011,0.7486,0.7998,0.6317,0.6011,0.3989,0.9995,0.0005
54,2026-07-16 16:54:13,nb15_generic,nb15_stin,"Normal, DDoS, Syn_DDoS, UDP_DDoS, Botnet",102300,257,18591,9,1603,0.9212,0.9662,0.1382,0.2418,0.5678,0.2118,0.1382,0.8618,0.9995,0.0005
61,2026-07-16 16:54:26,nb15_generic,nb15_sat20,"Normal, Syn_DDoS, UDP_DDoS",102300,610,18591,9,1250,0.9385,0.9855,0.328,0.4921,0.6629,0.3843,0.328,0.672,0.9995,0.0005
68,2026-07-16 16:54:37,nb15_generic,nb15_ter20,"Normal, DDoS, UDP_DDoS, Botnet, Syn_DDoS",102300,36,18591,9,1824,0.9104,0.8,0.0194,0.0378,0.5088,0.105,0.0194,0.9806,0.9995,0.0005
75,2026-07-16 16:54:49,nb15_generic,nb15_sat20,"Normal, Syn_DDoS",102300,169,18591,9,1691,0.9169,0.9494,0.0909,0.1658,0.5441,0.1689,0.0909,0.9091,0.9995,0.0005
82,2026-07-16 16:55:01,nb15_generic,nb15_sat20,"Normal, UDP_DDoS",102300,985,18591,9,875,0.9568,0.9909,0.5296,0.6903,0.764,0.5675,0.5296,0.4704,0.9995,0.0005
89,2026-07-16 16:55:13,nb15_generic,nb15_ter20,"Normal, Botnet",102300,6,18591,9,1854,0.9089,0.4,0.0032,0.0064,0.5002,0.0919,0.0032,0.9968,0.9995,0.0005
96,2026-07-16 16:55:26,nb15_generic,nb15_ter20,"Normal, DDoS",102300,18,18591,9,1842,0.9095,0.6667,0.0097,0.0191,0.5034,0.0965,0.0097,0.9903,0.9995,0.0005
103,2026-07-16 16:55:37,nb15_generic,nb15_ter20,"Normal, Syn_DDoS",102300,0,18591,9,1860,0.9087,0.0,0.0,0.0,0.4985,0.0909,0.0,1.0,0.9995,0.0005
110,2026-07-16 16:55:50,nb15_generic,nb15_ter20,"Normal, UDP_DDoS",102300,170,18591,9,1690,0.917,0.9497,0.0914,0.1667,0.5444,0.1694,0.0914,0.9086,0.9995,0.0005
