id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
6,2026-07-16 17:09:22,nb15_reconnaissance,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,1226,18510,90,634,0.9646,0.9316,0.6591,0.772,0.8305,0.6496,0.6591,0.3409,0.9952,0.0048
13,2026-07-16 17:09:35,nb15_reconnaissance,nb15,"Normal, DoS",102300,1466,18510,90,394,0.9763,0.9422,0.7882,0.8583,0.893,0.7527,0.7882,0.2118,0.9952,0.0048
20,2026-07-16 17:09:47,nb15_reconnaissance,nb15,"Normal, Exploits",102300,835,18510,90,1025,0.9455,0.9027,0.4489,0.5996,0.72,0.4488,0.4489,0.5511,0.9952,0.0048
27,2026-07-16 17:09:59,nb15_reconnaissance,nb15,"Normal, Fuzzers",102300,269,18510,90,1591,0.9178,0.7493,0.1446,0.2425,0.5875,0.2047,0.1446,0.8554,0.9952,0.0048
34,2026-07-16 17:10:11,nb15_reconnaissance,nb15,"Normal, Generic",102300,1757,18510,90,103,0.9906,0.9513,0.9446,0.9479,0.97,0.9069,0.9446,0.0554,0.9952,0.0048
41,2026-07-16 17:10:23,nb15_reconnaissance,nb15,"Normal, Reconnaissance",102300,1746,18510,90,114,0.99,0.951,0.9387,0.9448,0.9665,0.8859,0.9387,0.0613,0.9952,0.0048
48,2026-07-16 17:10:36,nb15_reconnaissance,injection,"Normal, Generic, Exploits, DoS, Fuzzers, Reconnaissance, UDP_DDoS, DDoS, Syn_DDoS, Botnet",102300,1230,18510,90,630,0.9648,0.9318,0.6613,0.7736,0.8329,0.6538,0.6613,0.3387,0.9952,0.0048
55,2026-07-16 17:10:47,nb15_reconnaissance,nb15_stin,"Normal, DDoS, Syn_DDoS, UDP_DDoS, Botnet",102300,61,18510,90,1799,0.9077,0.404,0.0328,0.0607,0.5079,0.1017,0.0328,0.9672,0.9952,0.0048
62,2026-07-16 17:11:00,nb15_reconnaissance,nb15_sat20,"Normal, Syn_DDoS, UDP_DDoS",102300,4,18510,90,1856,0.9049,0.0426,0.0022,0.0041,0.4924,0.0908,0.0022,0.9978,0.9952,0.0048
69,2026-07-16 17:11:12,nb15_reconnaissance,nb15_ter20,"Normal, DDoS, UDP_DDoS, Botnet, Syn_DDoS",102300,100,18510,90,1760,0.9096,0.5263,0.0538,0.0976,0.5188,0.1154,0.0538,0.9462,0.9952,0.0048
76,2026-07-16 17:11:24,nb15_reconnaissance,nb15_sat20,"Normal, Syn_DDoS",102300,0,18510,90,1860,0.9047,0.0,0.0,0.0,0.4913,0.0909,0.0,1.0,0.9952,0.0048
83,2026-07-16 17:11:36,nb15_reconnaissance,nb15_sat20,"Normal, UDP_DDoS",102300,1,18510,90,1859,0.9047,0.011,0.0005,0.001,0.4916,0.0909,0.0005,0.9995,0.9952,0.0048
90,2026-07-16 17:11:48,nb15_reconnaissance,nb15_ter20,"Normal, Botnet",102300,17,18510,90,1843,0.9055,0.1589,0.0091,0.0173,0.4962,0.0916,0.0091,0.9909,0.9952,0.0048
97,2026-07-16 17:12:00,nb15_reconnaissance,nb15_ter20,"Normal, DDoS",102300,15,18510,90,1845,0.9054,0.1429,0.0081,0.0153,0.4954,0.0914,0.0081,0.9919,0.9952,0.0048
104,2026-07-16 17:12:12,nb15_reconnaissance,nb15_ter20,"Normal, Syn_DDoS",102300,702,18510,90,1158,0.939,0.8864,0.3774,0.5294,0.6824,0.3937,0.3774,0.6226,0.9952,0.0048
111,2026-07-16 17:12:24,nb15_reconnaissance,nb15_ter20,"Normal, UDP_DDoS",102300,0,18510,90,1860,0.9047,0.0,0.0,0.0,0.4913,0.0909,0.0,1.0,0.9952,0.0048
