id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
1,2026-07-16 17:05:51,nb15_aggregate,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,1529,18290,310,331,0.9687,0.8314,0.822,0.8267,0.9094,0.7018,0.822,0.178,0.9833,0.0167
2,2026-07-16 17:05:52,nb15_dos,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,1102,18483,117,758,0.9572,0.904,0.5925,0.7158,0.7992,0.5835,0.5925,0.4075,0.9937,0.0063
3,2026-07-16 17:05:55,nb15_exploits,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,730,18420,180,1130,0.936,0.8022,0.3925,0.5271,0.7311,0.4125,0.3925,0.6075,0.9903,0.0097
4,2026-07-16 17:05:56,nb15_fuzzers,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,555,17911,689,1305,0.9025,0.4461,0.2984,0.3576,0.7138,0.2533,0.2984,0.7016,0.963,0.037
5,2026-07-16 17:05:58,nb15_generic,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,1112,18591,9,748,0.963,0.992,0.5978,0.7461,0.799,0.6301,0.5978,0.4022,0.9995,0.0005
6,2026-07-16 17:05:59,nb15_reconnaissance,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,1224,18510,90,636,0.9645,0.9315,0.6581,0.7713,0.8299,0.6487,0.6581,0.3419,0.9952,0.0048
7,2026-07-16 17:06:01,injection_aggregate,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,1539,18325,275,321,0.9709,0.8484,0.8274,0.8378,0.9138,0.7208,0.8274,0.1726,0.9852,0.0148
8,2026-07-16 17:06:03,nb15_aggregate,nb15,"Normal, DoS",102300,1687,18290,310,173,0.9764,0.8448,0.907,0.8748,0.9461,0.7459,0.907,0.093,0.9833,0.0167
9,2026-07-16 17:06:04,nb15_dos,nb15,"Normal, DoS",102300,1729,18483,117,131,0.9879,0.9366,0.9296,0.9331,0.9649,0.8692,0.9296,0.0704,0.9937,0.0063
10,2026-07-16 17:06:06,nb15_exploits,nb15,"Normal, DoS",102300,1723,18420,180,137,0.9845,0.9054,0.9263,0.9158,0.9606,0.8274,0.9263,0.0737,0.9903,0.0097
11,2026-07-16 17:06:08,nb15_fuzzers,nb15,"Normal, DoS",102300,1469,17911,689,391,0.9472,0.6807,0.7898,0.7312,0.8771,0.5117,0.7898,0.2102,0.963,0.037
12,2026-07-16 17:06:09,nb15_generic,nb15,"Normal, DoS",102300,1366,18591,9,494,0.9754,0.9935,0.7344,0.8445,0.8676,0.753,0.7344,0.2656,0.9995,0.0005
13,2026-07-16 17:06:11,nb15_reconnaissance,nb15,"Normal, DoS",102300,1464,18510,90,396,0.9762,0.9421,0.7871,0.8576,0.8924,0.7518,0.7871,0.2129,0.9952,0.0048
14,2026-07-16 17:06:13,injection_aggregate,nb15,"Normal, DoS",102300,1697,18325,275,163,0.9786,0.8605,0.9124,0.8857,0.9508,0.7669,0.9124,0.0876,0.9852,0.0148
15,2026-07-16 17:06:15,nb15_aggregate,nb15,"Normal, Exploits",102300,1575,18290,310,285,0.9709,0.8355,0.8468,0.8411,0.9131,0.7099,0.8468,0.1532,0.9833,0.0167
16,2026-07-16 17:06:17,nb15_dos,nb15,"Normal, Exploits",102300,1344,18483,117,516,0.9691,0.9199,0.7226,0.8094,0.8565,0.6859,0.7226,0.2774,0.9937,0.0063
17,2026-07-16 17:06:19,nb15_exploits,nb15,"Normal, Exploits",102300,1657,18420,180,203,0.9813,0.902,0.8909,0.8964,0.9413,0.8071,0.8909,0.1091,0.9903,0.0097
18,2026-07-16 17:06:20,nb15_fuzzers,nb15,"Normal, Exploits",102300,779,17911,689,1081,0.9135,0.5307,0.4188,0.4681,0.6786,0.2502,0.4188,0.5812,0.963,0.037
19,2026-07-16 17:06:22,nb15_generic,nb15,"Normal, Exploits",102300,776,18591,9,1084,0.9466,0.9885,0.4172,0.5868,0.7079,0.4638,0.4172,0.5828,0.9995,0.0005
20,2026-07-16 17:06:24,nb15_reconnaissance,nb15,"Normal, Exploits",102300,831,18510,90,1029,0.9453,0.9023,0.4468,0.5976,0.7189,0.4468,0.4468,0.5532,0.9952,0.0048
21,2026-07-16 17:06:25,injection_aggregate,nb15,"Normal, Exploits",102300,1558,18325,275,302,0.9718,0.85,0.8376,0.8438,0.909,0.7143,0.8376,0.1624,0.9852,0.0148
22,2026-07-16 17:06:27,nb15_aggregate,nb15,"Normal, Fuzzers",102300,533,18290,310,1327,0.92,0.6323,0.2866,0.3944,0.6768,0.287,0.2866,0.7134,0.9833,0.0167
23,2026-07-16 17:06:29,nb15_dos,nb15,"Normal, Fuzzers",102300,316,18483,117,1544,0.9188,0.7298,0.1699,0.2756,0.6072,0.2266,0.1699,0.8301,0.9937,0.0063
24,2026-07-16 17:06:31,nb15_exploits,nb15,"Normal, Fuzzers",102300,355,18420,180,1505,0.9176,0.6636,0.1909,0.2965,0.6088,0.2158,0.1909,0.8091,0.9903,0.0097
25,2026-07-16 17:06:33,nb15_fuzzers,nb15,"Normal, Fuzzers",102300,886,17911,689,974,0.9187,0.5625,0.4763,0.5159,0.769,0.3579,0.4763,0.5237,0.963,0.037
