id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
2,2026-07-16 16:49:15,nb15_dos,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,1103,18477,123,757,0.957,0.8997,0.593,0.7148,0.7993,0.5805,0.593,0.407,0.9934,0.0066
9,2026-07-16 16:49:28,nb15_dos,nb15,"Normal, DoS",102300,1726,18477,123,134,0.9874,0.9335,0.928,0.9307,0.9641,0.8639,0.928,0.072,0.9934,0.0066
16,2026-07-16 16:49:40,nb15_dos,nb15,"Normal, Exploits",102300,1344,18477,123,516,0.9688,0.9162,0.7226,0.8079,0.8563,0.6822,0.7226,0.2774,0.9934,0.0066
23,2026-07-16 16:49:53,nb15_dos,nb15,"Normal, Fuzzers",102300,323,18477,123,1537,0.9189,0.7242,0.1737,0.2801,0.6086,0.227,0.1737,0.8263,0.9934,0.0066
30,2026-07-16 16:50:07,nb15_dos,nb15,"Normal, Generic",102300,1172,18477,123,688,0.9604,0.905,0.6301,0.7429,0.8078,0.6064,0.6301,0.3699,0.9934,0.0066
37,2026-07-16 16:50:19,nb15_dos,nb15,"Normal, Reconnaissance",102300,370,18477,123,1490,0.9212,0.7505,0.1989,0.3145,0.6184,0.2567,0.1989,0.8011,0.9934,0.0066
44,2026-07-16 16:50:31,nb15_dos,injection,"Normal, Generic, Exploits, DoS, Fuzzers, Reconnaissance, UDP_DDoS, DDoS, Syn_DDoS, Botnet",102300,1088,18477,123,772,0.9563,0.8984,0.5849,0.7086,0.7944,0.5724,0.5849,0.4151,0.9934,0.0066
51,2026-07-16 16:50:43,nb15_dos,nb15_stin,"Normal, DDoS, Syn_DDoS, UDP_DDoS, Botnet",102300,920,18477,123,940,0.948,0.8821,0.4946,0.6338,0.7382,0.4843,0.4946,0.5054,0.9934,0.0066
58,2026-07-16 16:50:56,nb15_dos,nb15_sat20,"Normal, Syn_DDoS, UDP_DDoS",102300,1481,18477,123,379,0.9755,0.9233,0.7962,0.8551,0.8926,0.756,0.7962,0.2038,0.9934,0.0066
65,2026-07-16 16:51:09,nb15_dos,nb15_ter20,"Normal, DDoS, UDP_DDoS, Botnet, Syn_DDoS",102300,533,18477,123,1327,0.9291,0.8125,0.2866,0.4237,0.6326,0.3004,0.2866,0.7134,0.9934,0.0066
72,2026-07-16 16:51:22,nb15_dos,nb15_sat20,"Normal, Syn_DDoS",102300,1860,18477,123,0,0.994,0.938,1.0,0.968,0.9968,0.9403,1.0,0.0,0.9934,0.0066
79,2026-07-16 16:51:35,nb15_dos,nb15_sat20,"Normal, UDP_DDoS",102300,1157,18477,123,703,0.9596,0.9039,0.622,0.7369,0.8034,0.5988,0.622,0.378,0.9934,0.0066
86,2026-07-16 16:51:47,nb15_dos,nb15_ter20,"Normal, Botnet",102300,279,18477,123,1581,0.9167,0.694,0.15,0.2467,0.5621,0.183,0.15,0.85,0.9934,0.0066
93,2026-07-16 16:52:00,nb15_dos,nb15_ter20,"Normal, DDoS",102300,172,18477,123,1688,0.9115,0.5831,0.0925,0.1596,0.5324,0.1371,0.0925,0.9075,0.9934,0.0066
100,2026-07-16 16:52:11,nb15_dos,nb15_ter20,"Normal, Syn_DDoS",102300,1186,18477,123,674,0.961,0.906,0.6376,0.7485,0.8114,0.6129,0.6376,0.3624,0.9934,0.0066
107,2026-07-16 16:52:24,nb15_dos,nb15_ter20,"Normal, UDP_DDoS",102300,1860,18477,123,0,0.994,0.938,1.0,0.968,0.9968,0.9403,1.0,0.0,0.9934,0.0066
